assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,219,0,0,0.0,0.0,2023-02-05T16:30:00Z,0,18,0,0,0,0,22,0,30,0,0,1,0.0,0,21,28,7,45,False,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,228,0,0,0.0,0.0,2023-02-12T16:30:00Z,0,2,0,0,0,0,23,0,76,0,1,3,0.0,0,26,34,8,45,True,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,111,0,0,0.0,0.0,2023-02-15T19:30:00Z,0,1,0,0,0,0,23,0,76,0,3,1,0.0,0,26,34,8,45,False,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,238,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,16,0,0,0,0,24,0,87,0,1,1,0.0,0,-8,21,29,45,False,0
0,0,4,0,2.6,712,0.01,0.01,0.00,0.19,241,1,0,0.8,1.0,2023-02-25T17:30:00Z,18,3,0,0,0,0,25,0,114,0,4,1,4.0,1,-2,17,19,44,False,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,257,0,0,0.0,0.0,2023-03-04T12:30:00Z,0,15,0,0,0,0,26,0,123,0,0,2,0.0,0,5,21,16,44,True,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,262,0,0,0.0,0.0,2023-03-11T17:30:00Z,0,7,0,0,0,0,27,0,133,0,1,0,0.0,0,-2,16,18,44,False,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,287,0,0,0.0,0.0,2023-04-01T11:30:00Z,0,12,0,0,0,0,29,0,170,0,1,4,0.0,0,5,13,8,44,True,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,298,0,0,0.0,0.0,2023-04-08T16:30:00Z,0,17,0,0,0,0,30,0,174,0,4,1,0.0,0,-5,9,14,44,False,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,305,0,0,0.0,0.0,2023-04-15T16:30:00Z,0,10,0,0,0,0,31,0,181,0,1,3,0.0,0,-2,14,16,44,True,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,329,0,0,0.0,0.0,2023-04-26T19:00:00Z,0,1,0,0,0,0,33,0,193,0,1,4,0.0,0,4,8,4,44,True,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,336,0,0,0.0,0.0,2023-04-30T13:00:00Z,0,9,0,0,0,0,34,0,196,0,2,1,0.0,0,0,6,6,44,False,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,277,0,0,0.0,0.0,2023-05-03T19:00:00Z,0,19,0,0,0,0,34,0,196,0,0,3,0.0,0,0,6,6,44,True,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,345,0,0,0.0,0.0,2023-05-06T14:00:00Z,0,11,0,0,0,0,35,0,222,0,1,2,0.0,0,13,21,8,44,True,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,356,0,0,0.0,0.0,2023-05-14T13:00:00Z,0,8,0,0,0,0,36,0,242,0,3,0,0.0,0,12,18,6,44,False,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,365,0,0,0.0,0.0,2023-05-21T15:00:00Z,0,6,0,0,0,0,37,0,259,0,0,1,0.0,0,12,20,8,44,True,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,314,0,0,0.0,0.0,2023-05-24T19:00:00Z,0,5,0,0,0,0,37,0,259,0,1,1,0.0,0,12,20,8,44,False,0
0,0,0,0,0.0,712,0.00,0.00,0.00,0.00,373,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,4,0,0,0,0,38,0,268,0,0,1,0.0,0,5,23,18,44,False,0
