assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,607,112,0,0,0.0,0.0,2020-12-13T16:30:00Z,0,8,0,0,0,0,12,0,0,1,1,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,607,127,0,0,0.0,0.0,2020-12-16T20:00:00Z,0,17,0,0,0,0,13,0,24,1,2,0.0,0,14,20,6,45,True,0
0,0,0,0,0.0,607,132,0,0,0.0,0.0,2020-12-19T12:30:00Z,0,6,0,0,0,0,14,0,56,7,0,0.0,0,12,19,7,45,False,0
0,0,0,0,0.0,607,144,0,0,0.0,0.0,2020-12-27T16:30:00Z,0,18,0,0,0,0,15,0,123,1,1,0.0,0,21,49,28,45,True,0
0,0,0,0,0.0,607,155,0,0,0.0,0.0,2020-12-30T20:00:00Z,0,14,0,0,0,0,16,0,133,0,0,0.0,0,0,9,9,45,False,0
0,0,0,0,0.0,607,166,0,0,0.0,0.0,2021-01-04T20:00:00Z,0,16,0,0,0,0,17,0,147,0,1,0.0,0,-1,21,22,45,False,0
0,0,0,0,0.0,607,184,0,0,0.0,0.0,2021-01-17T16:30:00Z,0,13,0,0,0,0,19,0,220,0,0,0.0,0,2,21,19,45,True,0
0,0,0,0,0.0,607,177,0,0,0.0,0.0,2021-01-21T20:00:00Z,0,4,0,0,0,0,19,0,220,1,0,0.0,0,2,21,19,45,True,0
0,0,0,0,0.0,607,198,0,0,0.0,0.0,2021-01-28T20:00:00Z,0,17,0,0,0,0,20,0,258,3,1,0.0,0,7,38,31,45,False,0
0,0,0,0,0.0,607,208,0,0,0.0,0.0,2021-01-31T16:30:00Z,0,19,0,0,0,0,21,0,247,3,1,0.0,0,-18,20,38,45,False,0
0,0,0,0,0.0,607,216,0,0,0.0,0.0,2021-02-03T20:15:00Z,0,3,0,0,0,0,22,0,265,1,0,0.0,0,2,18,16,45,True,0
0,0,0,0,0.0,607,223,0,0,0.0,0.0,2021-02-07T16:30:00Z,0,12,0,0,0,0,23,0,306,4,1,0.0,0,19,53,34,45,True,0
0,0,0,0,0.0,607,234,0,0,0.0,0.0,2021-02-13T12:30:00Z,0,9,0,0,0,0,24,0,329,1,3,0.0,0,-4,45,49,45,False,0
0,0,0,0,0.0,607,244,0,0,0.0,0.0,2021-02-20T17:30:00Z,0,7,0,0,0,0,25,0,335,2,0,0.0,0,-12,18,30,45,True,0
0,0,0,0,0.0,607,256,0,0,0.0,0.0,2021-02-28T19:15:00Z,0,15,0,0,0,0,26,0,364,2,0,0.0,0,13,56,43,45,False,0
0,0,0,0,0.0,607,283,0,0,0.0,0.0,2021-03-04T20:15:00Z,0,5,0,0,0,0,26,0,364,1,0,0.0,0,13,56,43,45,True,0
0,0,0,0,0.0,607,263,0,0,0.0,0.0,2021-03-07T14:00:00Z,0,8,0,0,0,0,27,0,388,1,0,0.0,0,4,29,25,45,True,0
0,0,0,0,0.0,607,278,0,0,0.0,0.0,2021-03-15T20:00:00Z,0,20,0,0,0,0,28,0,416,1,0,0.0,0,9,31,22,45,False,0
0,0,0,0,0.0,607,289,0,0,0.0,0.0,2021-04-03T19:00:00Z,0,1,0,0,0,0,30,0,437,3,0,0.0,0,7,22,15,45,False,0
0,0,0,0,0.0,607,303,0,0,0.0,0.0,2021-04-10T14:00:00Z,0,2,0,0,0,0,31,0,449,1,2,0.0,0,-1,12,13,45,True,0
0,0,0,0,0.0,607,313,0,0,0.0,0.0,2021-04-19T19:00:00Z,0,10,0,0,0,0,32,0,454,1,1,0.0,0,1,16,15,45,False,0
0,0,0,0,0.0,607,324,0,0,0.0,0.0,2021-04-24T11:30:00Z,0,14,0,0,0,0,33,0,470,1,1,0.0,0,1,17,16,45,True,0
0,0,0,0,0.0,607,344,0,0,0.0,0.0,2021-05-08T19:15:00Z,0,16,0,0,0,0,35,0,479,0,2,0.0,0,6,19,13,45,True,0
0,0,0,0,0.0,607,334,0,0,0.0,0.0,2021-05-13T19:15:00Z,0,13,0,0,0,0,35,0,479,4,2,0.0,0,6,19,13,45,False,0
0,0,0,0,0.0,607,353,0,0,0.0,0.0,2021-05-16T15:30:00Z,0,18,0,0,0,0,36,0,485,2,1,0.0,0,-6,8,14,45,False,0
0,0,0,0,0.0,607,360,0,0,0.0,0.0,2021-05-19T19:15:00Z,0,4,0,0,0,0,37,0,485,3,0,0.0,0,-4,4,8,45,False,0
0,0,0,0,0.0,607,374,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,6,0,0,0,0,38,0,501,0,2,0.0,0,4,21,17,45,True,0
