assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,12,0,16.4,268,0.01577,0.01577,0.00000,0.76500,6,2,0,3.0,13.4,2022-08-07T13:00:00Z,90,4,0,0,0,0,1,0,126566,1,2,2,0.0,1,0,0,0,45,True,0
1,0,14,0,1.8,268,0.00928,0.00928,0.00000,2.95650,11,4,0,1.3,9.6,2022-08-13T14:00:00Z,90,1,0,0,0,0,2,0,123456,1,2,4,2.0,3,-8455,3127,11582,45,False,0
0,0,15,0,2.9,268,0.01129,0.01129,0.00000,0.92360,26,2,0,1.4,11.0,2022-08-20T14:00:00Z,90,17,0,0,0,0,3,0,124483,1,2,1,0.0,1,-2921,10306,13227,45,True,0
0,0,19,0,32.0,268,0.15810,0.19130,0.03320,1.75160,35,2,0,7.6,32.4,2022-08-27T14:00:00Z,90,6,0,0,0,0,4,0,105319,1,1,2,12.0,1,-19996,2083,22079,44,False,0
0,0,13,0,2.8,268,0.01289,0.19779,0.18490,1.54820,46,1,0,2.4,15.2,2022-09-01T19:00:00Z,90,14,0,0,0,0,5,0,92366,1,1,0,6.0,2,-13873,1815,15688,44,True,0
0,0,8,0,17.4,268,0.03203,0.03203,0.00000,2.76230,53,5,0,2.8,8.2,2022-09-04T13:00:00Z,90,5,0,0,0,0,6,0,86705,1,2,5,2.0,0,-6712,4433,11145,43,False,0
1,0,28,0,20.7,268,0.05615,0.05615,0.00000,2.18850,79,6,0,4.2,19.6,2022-09-17T16:30:00Z,90,18,0,0,0,0,8,0,85215,1,2,6,2.0,2,2736,13835,11099,43,False,0
0,0,21,1,1.3,268,0.00522,0.03322,0.02800,1.16140,86,0,0,1.9,9.8,2022-10-03T19:00:00Z,90,16,0,0,0,0,9,0,119817,1,0,4,8.0,6,31189,47561,16372,43,True,0
0,0,17,0,12.4,268,0.01577,0.01577,0.00000,1.13580,92,2,0,2.8,15.6,2022-10-08T14:00:00Z,85,3,0,0,0,0,10,0,159096,1,1,2,0.0,1,37817,45456,7639,43,False,0
0,0,22,1,4.4,268,0.07187,0.08787,0.01600,0.39280,105,0,0,2.0,14.2,2022-10-15T11:30:00Z,90,7,0,0,0,0,11,0,176579,1,0,0,1.0,6,17052,27201,10149,43,True,0
0,1,23,1,6.1,268,0.04005,0.04005,0.00000,1.33100,117,0,0,1.5,9.0,2022-10-20T19:15:00Z,90,11,0,0,0,0,12,0,219143,1,0,2,0.0,7,23914,31664,7750,43,True,0
0,0,24,1,2.2,268,0.01635,0.01635,0.00000,2.12490,130,0,0,2.1,17.0,2022-10-23T13:00:00Z,87,20,0,0,0,0,13,0,216433,1,4,0,2.0,6,15347,26233,10886,43,False,0
0,0,16,0,14.9,268,0.01063,0.05623,0.04560,1.02820,137,1,0,3.4,14.2,2022-10-29T11:30:00Z,90,13,0,0,0,0,14,0,223016,1,1,0,5.0,2,4675,19333,14658,43,True,0
0,1,31,1,3.5,268,0.01631,0.01631,0.00000,1.23920,143,0,0,2.3,19.2,2022-11-05T17:30:00Z,90,8,0,0,0,0,15,0,236599,1,2,0,0.0,7,11985,22619,10634,43,False,0
0,0,0,0,0.0,268,0.00000,0.00000,0.00000,0.00000,159,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,19,0,0,0,0,16,0,203788,0,2,0,0.0,0,-32979,27328,60307,43,False,0
0,0,0,0,0.0,268,0.00000,0.00000,0.00000,0.00000,168,0,0,0.0,0.0,2022-12-26T15:00:00Z,0,15,0,0,0,0,17,0,85217,0,3,0,0.0,0,-118498,4128,122626,43,True,0
0,0,0,0,0.0,268,0.00000,0.00000,0.00000,0.00000,174,0,0,0.0,0.0,2022-12-30T20:00:00Z,0,12,0,0,0,0,18,0,73877,0,1,2,0.0,0,-11852,281,12133,43,False,0
0,0,0,0,0.0,268,0.00000,0.00000,0.00000,0.00000,188,0,0,0.0,0.0,2023-01-03T19:45:00Z,0,9,0,0,0,0,19,0,68639,0,1,0,0.0,0,-5278,161,5439,43,True,0
0,0,0,0,0.0,268,0.00000,0.00000,0.00000,0.00000,198,0,0,0.0,0.0,2023-01-14T15:00:00Z,0,16,0,0,0,0,20,0,62379,0,0,2,0.0,0,-6222,119,6341,42,False,0
