assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,12,0,16.4,268,0.02,0.02,0.00,0.77,6,2,0,3.0,13.4,2022-08-07T13:00:00Z,90,4,0,0,0,0,1,0,126566,1,2,2,0.0,1,0,0,0,45,True,0
1,0,14,0,1.8,268,0.01,0.01,0.00,2.96,11,4,0,1.3,9.6,2022-08-13T14:00:00Z,90,1,0,0,0,0,2,0,123456,1,2,4,2.0,3,-8455,3127,11582,45,False,0
0,0,15,0,2.9,268,0.01,0.01,0.00,0.92,26,2,0,1.4,11.0,2022-08-20T14:00:00Z,90,17,0,0,0,0,3,0,124483,1,2,1,0.0,1,-2921,10306,13227,45,True,0
0,0,19,0,32.0,268,0.16,0.19,0.03,1.75,35,2,0,7.6,32.4,2022-08-27T14:00:00Z,90,6,0,0,0,0,4,0,105319,1,1,2,12.0,1,-19996,2083,22079,44,False,0
0,0,13,0,2.8,268,0.01,0.19,0.18,1.55,46,1,0,2.4,15.2,2022-09-01T19:00:00Z,90,14,0,0,0,0,5,0,92366,1,1,0,6.0,2,-13873,1815,15688,44,True,0
0,0,8,0,17.4,268,0.03,0.03,0.00,2.76,53,5,0,2.8,8.2,2022-09-04T13:00:00Z,90,5,0,0,0,0,6,0,86705,1,2,5,2.0,0,-6712,4433,11145,43,False,0
1,0,28,0,20.7,268,0.06,0.06,0.00,2.19,79,6,0,4.2,19.6,2022-09-17T16:30:00Z,90,18,0,0,0,0,8,0,85215,1,2,6,2.0,2,2736,13835,11099,43,False,0
0,0,21,1,1.3,268,0.01,0.04,0.03,1.16,86,0,0,1.9,9.8,2022-10-03T19:00:00Z,90,16,0,0,0,0,9,0,119817,1,0,4,8.0,6,31189,47561,16372,43,True,0
0,0,17,0,12.4,268,0.02,0.02,0.00,1.14,92,2,0,2.8,15.6,2022-10-08T14:00:00Z,85,3,0,0,0,0,10,0,159096,1,1,2,0.0,1,37817,45456,7639,43,False,0
0,0,22,1,4.4,268,0.07,0.09,0.02,0.39,105,0,0,2.0,14.2,2022-10-15T11:30:00Z,90,7,0,0,0,0,11,0,176579,1,0,0,1.0,6,17052,27201,10149,43,True,0
0,1,23,1,6.1,268,0.04,0.04,0.00,1.33,117,0,0,1.5,9.0,2022-10-20T19:15:00Z,90,11,0,0,0,0,12,0,219143,1,0,2,0.0,7,23914,31664,7750,43,True,0
0,0,24,1,2.2,268,0.02,0.02,0.00,2.12,130,0,0,2.1,17.0,2022-10-23T13:00:00Z,87,20,0,0,0,0,13,0,216433,1,4,0,2.0,6,15347,26233,10886,43,False,0
0,0,16,0,14.9,268,0.01,0.06,0.05,1.03,137,1,0,3.4,14.2,2022-10-29T11:30:00Z,90,13,0,0,0,0,14,0,223016,1,1,0,5.0,2,4675,19333,14658,43,True,0
0,1,31,1,3.5,268,0.02,0.02,0.00,1.24,143,0,0,2.3,19.2,2022-11-05T17:30:00Z,90,8,0,0,0,0,15,0,236599,1,2,0,0.0,7,11985,22619,10634,43,False,0
0,0,0,0,0.0,268,0.00,0.00,0.00,0.00,159,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,19,0,0,0,0,16,0,203788,0,2,0,0.0,0,-32979,27328,60307,43,False,0
0,0,0,0,0.0,268,0.00,0.00,0.00,0.00,168,0,0,0.0,0.0,2022-12-26T15:00:00Z,0,15,0,0,0,0,17,0,85217,0,3,0,0.0,0,-118498,4128,122626,43,True,0
0,0,0,0,0.0,268,0.00,0.00,0.00,0.00,174,0,0,0.0,0.0,2022-12-30T20:00:00Z,0,12,0,0,0,0,18,0,73877,0,1,2,0.0,0,-11852,281,12133,43,False,0
0,0,0,0,0.0,268,0.00,0.00,0.00,0.00,188,0,0,0.0,0.0,2023-01-03T19:45:00Z,0,9,0,0,0,0,19,0,68639,0,1,0,0.0,0,-5278,161,5439,43,True,0
0,0,0,0,0.0,268,0.00,0.00,0.00,0.00,198,0,0,0.0,0.0,2023-01-14T15:00:00Z,0,16,0,0,0,0,20,0,62379,0,0,2,0.0,0,-6222,119,6341,42,False,0
0,0,0,0,0.0,268,0.00,0.00,0.00,0.00,206,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,5,0,0,0,0,21,0,59481,0,2,2,0.0,0,-3059,122,3181,42,True,0
0,0,0,0,0.0,268,0.00,0.00,0.00,0.00,211,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,2,0,0,0,0,22,0,55811,0,4,2,0.0,0,-3663,98,3761,42,False,0
0,0,0,0,0.0,268,0.00,0.00,0.00,0.00,226,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,18,0,0,0,0,23,0,54131,0,1,4,0.0,0,-1739,28,1767,42,True,0
0,0,0,0,0.0,268,0.00,0.00,0.00,0.00,236,0,0,0.0,0.0,2023-02-19T14:00:00Z,0,14,0,0,0,0,24,0,52818,0,0,3,0.0,0,-1342,43,1385,42,False,0
0,0,0,0,0.0,268,0.00,0.00,0.00,0.00,246,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,1,0,0,0,0,25,0,51097,0,1,0,0.0,0,-1451,66,1517,42,True,0
0,0,0,0,0.0,268,0.00,0.00,0.00,0.00,259,0,0,0.0,0.0,2023-03-04T17:30:00Z,0,17,0,0,0,0,26,0,50425,0,0,1,0.0,0,-981,34,1015,42,False,0
0,0,0,0,0.0,268,0.00,0.00,0.00,0.00,266,0,0,0.0,0.0,2023-03-11T15:00:00Z,0,6,0,0,0,0,27,0,49575,0,3,1,0.0,0,-839,48,887,42,True,0
0,0,0,0,0.0,268,0.00,0.00,0.00,0.00,273,0,0,0.0,0.0,2023-03-18T15:00:00Z,0,4,0,0,0,0,28,0,48943,0,1,1,0.0,0,-591,45,636,42,False,0
