assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,104,0,0,0.0,0.0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,11,0,641,0,2,0,0.0,0,-14,0,14,45,False,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,115,0,0,0.0,0.0,2024-11-23T15:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,12,0,627,0,4,1,0.0,0,-14,0,14,45,True,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,128,0,0,0.0,0.0,2024-12-01T13:30:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,13,0,622,0,1,1,0.0,0,-5,0,5,45,False,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,135,0,0,0.0,0.0,2024-12-05T19:30:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,14,0,617,0,1,3,0.0,0,-5,0,5,45,True,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,145,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,15,0,613,0,1,1,0.0,0,-4,0,4,45,True,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,155,0,0,0.0,0.0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,16,0,610,0,2,2,0.0,0,-3,0,3,45,False,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,165,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,17,0,606,0,0,0,0.0,0,-3,0,3,45,True,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,174,0,0,0.0,0.0,2024-12-26T15:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,18,0,603,0,2,1,0.0,0,-4,0,4,45,False,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,185,0,0,0.0,0.0,2024-12-29T15:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,19,0,597,0,2,2,0.0,0,-6,0,6,45,True,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,195,0,0,0.0,0.0,2025-01-05T14:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,20,0,592,0,2,2,0.0,0,-5,0,5,45,True,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,207,0,0,0.0,0.0,2025-01-14T19:30:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,21,0,586,0,2,3,0.0,0,-6,0,6,45,False,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,216,0,0,0.0,0.0,2025-01-18T15:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,22,0,579,0,2,0,0.0,0,-6,0,6,45,False,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,225,0,0,0.0,0.0,2025-01-26T19:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,23,0,574,0,1,0,0.0,0,-6,0,6,45,True,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,238,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,24,0,573,0,2,1,0.0,0,-1,0,1,45,False,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,244,0,0,0.0,0.0,2025-02-15T15:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,25,0,569,0,1,2,0.0,0,-4,0,4,45,True,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,255,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,26,0,566,0,2,0,0.0,0,-3,0,3,45,True,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,267,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,27,0,566,0,2,1,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,272,0,0,0.0,0.0,2025-03-08T15:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,28,0,565,0,1,2,0.0,0,-1,0,1,45,False,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,285,0,0,0.0,0.0,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,29,0,564,0,0,2,0.0,0,-1,0,1,45,True,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,291,0,0,0.0,0.0,2025-04-01T18:45:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,30,0,564,0,1,2,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,305,0,0,0.0,0.0,2025-04-06T13:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,31,0,564,0,2,3,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,312,0,0,0.0,0.0,2025-04-14T19:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,32,0,563,0,0,1,0.0,0,-1,0,1,45,False,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,325,0,0,0.0,0.0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,33,0,563,0,2,1,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,339,0,0,0.0,0.0,2025-04-26T14:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,34,0,563,0,2,1,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,342,0,0,0.0,0.0,2025-05-03T11:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,35,0,563,0,0,1,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,352,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,36,0,563,0,3,1,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,363,0,0,0.0,0.0,2025-05-18T14:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,37,0,563,0,3,2,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,372,0,0,0.0,0.0,2025-05-25T15:00:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,38,0,562,0,2,0,0.0,0,-1,0,1,45,True,0
