assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,15,0,24.7,181,1,1,0,4.4,12.4,2019-08-09T19:00:00Z,90,14,0,0,0,0,1,0,1889240,1,4,7.0,2,0,0,0,70,True,0
0,0,14,0,18.3,181,19,1,0,6.3,23.8,2019-08-17T14:00:00Z,90,16,0,0,0,0,2,0,1844951,2,1,21.0,2,-128747,22660,151407,70,False,0
0,0,21,0,49.8,181,24,1,0,11.2,25.0,2019-08-24T16:30:00Z,90,1,0,0,0,0,3,0,1626092,1,3,37.0,2,-241307,22333,263640,70,True,0
0,0,26,1,5.0,181,32,0,0,1.6,9.0,2019-08-31T16:30:00Z,90,5,0,0,0,0,4,0,1481300,3,0,2.0,6,-169054,24738,193792,69,False,0
1,0,26,0,33.7,181,44,1,0,11.2,40.8,2019-09-14T11:30:00Z,90,13,0,0,0,0,5,0,1382365,1,3,37.0,5,-119376,34980,154356,69,True,0
1,3,30,0,16.7,181,53,1,0,5.6,37.6,2019-09-22T15:30:00Z,90,6,0,0,0,0,6,0,1318624,2,1,2.0,8,-72129,21325,93454,69,False,0
0,0,26,1,17.0,181,68,0,0,3.8,18.0,2019-09-28T11:30:00Z,90,15,0,0,0,0,7,0,1336086,1,0,3.0,6,-470,57616,58086,69,False,0
0,0,20,0,16.9,181,74,1,0,5.7,19.0,2019-10-05T14:00:00Z,90,9,0,0,0,0,8,0,1347696,1,2,21.0,2,4261,37689,33428,69,True,0
1,3,32,0,33.2,181,87,1,0,7.5,40.2,2019-10-20T15:30:00Z,90,12,0,0,0,0,9,0,1332521,1,1,2.0,8,-23734,34739,58473,69,False,0
0,0,25,0,32.0,181,94,1,0,7.0,21.8,2019-10-27T16:30:00Z,90,17,0,0,0,0,10,0,1362420,1,2,16.0,2,23000,56224,33224,69,True,0
0,1,25,0,24.1,181,102,1,1,11.4,54.6,2019-11-02T15:00:00Z,90,2,0,0,0,0,11,0,1433018,2,1,35.0,9,56073,87824,31751,69,False,0
1,0,24,0,29.7,181,114,1,0,6.6,36.2,2019-11-10T16:30:00Z,90,11,0,0,0,0,12,0,1499335,1,3,0.0,5,61932,81187,19255,69,True,0
1,1,25,0,23.3,181,125,1,0,6.0,37.0,2019-11-23T15:00:00Z,90,7,0,0,0,0,13,0,1478536,2,1,0.0,6,-22245,83478,105723,70,False,0
