h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.418711,2.04268,0.418711,2.04268,"{'att': 260, 'def': 24}","{'att': 214, 'def': 29}",3,7,0,1,0.2815,l,2024-08-16 19:00:00,0,0,1,0,-1.6239689999999998
h,1.96218,0.857005,1.96218,0.857005,"{'att': 318, 'def': 31}","{'att': 274, 'def': 20}",7,1,2,1,2.1938,w,2024-08-24 14:00:00,1,0,0,3,1.105175
a,1.18883,0.707048,1.18883,0.707048,"{'att': 229, 'def': 21}","{'att': 250, 'def': 27}",4,2,1,1,1.7666,d,2024-08-31 14:00:00,0,1,0,1,0.48178200000000004
h,2.88601,0.682719,2.88601,0.682719,"{'att': 164, 'def': 35}","{'att': 213, 'def': 31}",6,4,1,1,2.7014,d,2024-09-14 14:00:00,0,1,0,1,2.203291
h,3.21141,1.09768,3.21141,1.09768,"{'att': 352, 'def': 27}","{'att': 149, 'def': 13}",7,3,3,1,2.5946000000000002,w,2024-09-21 14:00:00,1,0,0,3,2.11373
a,1.43592,0.614351,0.674751,0.614351,"{'att': 157, 'def': 19}","{'att': 281, 'def': 14}",4,8,1,0,2.1275,w,2024-09-28 14:00:00,1,0,0,3,0.06040000000000001
a,2.75846,1.36684,2.75846,1.36684,"{'att': 310, 'def': 14}","{'att': 216, 'def': 15}",11,8,2,3,2.289,l,2024-10-05 14:00:00,0,0,1,0,1.3916199999999999
h,2.63074,1.43595,1.86957,1.43595,"{'att': 247, 'def': 20}","{'att': 252, 'def': 15}",3,9,1,3,2.2527000000000004,l,2024-10-19 14:00:00,0,0,1,0,0.4336199999999999
a,1.49531,0.884845,1.49531,0.884845,"{'att': 219, 'def': 20}","{'att': 360, 'def': 17}",7,7,1,1,1.8721,d,2024-10-26 16:30:00,0,1,0,1,0.6104649999999999
h,1.43017,0.739231,1.43017,0.739231,"{'att': 156, 'def': 26}","{'att': 296, 'def': 24}",13,2,2,1,1.8809,w,2024-11-04 20:00:00,1,0,0,3,0.690939
a,2.25331,1.96037,2.25331,1.96037,"{'att': 170, 'def': 26}","{'att': 354, 'def': 26}",7,4,2,0,1.5794000000000001,w,2024-11-09 15:00:00,1,0,0,3,0.29294
h,0.717158,1.33903,0.717158,1.33903,"{'att': 238, 'def': 36}","{'att': 273, 'def': 19}",6,8,1,4,0.8195999999999999,l,2024-11-23 15:00:00,0,0,1,0,-0.621872
a,1.57274,1.01086,1.57274,1.01086,"{'att': 261, 'def': 23}","{'att': 251, 'def': 13}",7,7,1,1,1.8117,d,2024-12-01 13:30:00,0,1,0,1,0.5618799999999999
h,0.666644,1.09939,0.666644,1.09939,"{'att': 318, 'def': 17}","{'att': 232, 'def': 17}",3,2,3,1,0.9318,w,2024-12-05 19:30:00,1,0,0,3,-0.4327460000000001
h,0.150988,2.4333,0.150988,2.4333,"{'att': 341, 'def': 14}","{'att': 165, 'def': 19}",0,12,1,1,0.0306,d,2024-12-08 14:00:00,0,1,0,1,-2.282312
a,1.2862,2.09698,1.2862,2.09698,"{'att': 310, 'def': 8}","{'att': 208, 'def': 27}",6,8,2,2,0.8013000000000001,d,2024-12-14 15:00:00,0,1,0,1,-0.8107799999999998
h,1.25255,0.280031,1.25255,0.280031,"{'att': 275, 'def': 15}","{'att': 303, 'def': 26}",8,3,0,0,2.2141,d,2024-12-22 14:00:00,0,1,0,1,0.9725190000000001
a,1.77929,1.55626,1.77929,1.55626,"{'att': 304, 'def': 17}","{'att': 388, 'def': 23}",4,6,2,1,1.5630000000000002,w,2024-12-26 15:00:00,1,0,0,3,0.22303000000000006
h,0.961566,1.70692,0.961566,1.70692,"{'att': 215, 'def': 18}","{'att': 271, 'def': 26}",5,10,2,2,0.8170999999999999,d,2024-12-29 15:00:00,0,1,0,1,-0.745354
h,2.65469,1.4434,1.13235,0.682234,"{'att': 131, 'def': 16}","{'att': 330, 'def': 24}",5,2,2,2,2.294,d,2025-01-05 14:00:00,0,1,0,1,0.45011599999999996
a,2.83581,0.937322,2.83581,0.937322,"{'att': 277, 'def': 32}","{'att': 294, 'def': 17}",9,2,2,3,2.6248,l,2025-01-14 19:30:00,0,0,1,0,1.898488
a,2.36823,0.676934,2.36823,0.676934,"{'att': 206, 'def': 21}","{'att': 304, 'def': 16}",10,2,2,0,2.6144,w,2025-01-18 15:00:00,1,0,0,3,1.691296
h,0.560571,0.201988,0.560571,0.201988,"{'att': 308, 'def': 10}","{'att': 273, 'def': 17}",3,5,0,1,1.6486999999999998,l,2025-01-26 19:00:00,0,0,1,0,0.35858300000000004
a,1.60881,1.22716,1.60881,1.22716,"{'att': 223, 'def': 19}","{'att': 219, 'def': 16}",5,10,2,1,1.6649999999999998,w,2025-02-01 15:00:00,1,0,0,3,0.38165000000000004
h,2.20993,0.331301,2.20993,0.331301,"{'att': 237, 'def': 17}","{'att': 279, 'def': 11}",6,4,2,1,2.6468999999999996,w,2025-02-15 15:00:00,1,0,0,3,1.8786289999999999
h,0.23426,1.46203,0.23426,1.46203,"{'att': 178, 'def': 25}","{'att': 318, 'def': 18}",8,5,0,2,0.318,l,2025-02-22 15:00:00,0,0,1,0,-1.22777
a,1.43473,0.928973,1.43473,0.928973,"{'att': 314, 'def': 24}","{'att': 228, 'def': 17}",4,2,2,1,1.7796,w,2025-02-25 19:30:00,1,0,0,3,0.505757
a,0.708227,1.94417,0.708227,1.183,"{'att': 288, 'def': 13}","{'att': 279, 'def': 31}",1,11,1,2,0.3972,l,2025-03-08 15:00:00,0,0,1,0,-0.474773
h,1.03966,1.40865,1.03966,1.40865,"{'att': 245, 'def': 28}","{'att': 271, 'def': 27}",9,7,2,0,1.0252999999999999,w,2025-03-16 13:30:00,1,0,0,3,-0.36898999999999993
a,1.44206,2.30189,1.44206,2.30189,"{'att': 284, 'def': 14}","{'att': 252, 'def': 15}",2,11,1,2,0.7285,l,2025-04-01 19:45:00,0,0,1,0,-0.8598300000000003
h,1.72764,1.40638,1.72764,1.40638,"{'att': 326, 'def': 15}","{'att': 180, 'def': 28}",6,8,3,2,1.6276,w,2025-04-06 13:00:00,1,0,0,3,0.3212600000000001
