h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.14757,1.38064,1.14757,1.38064,"{'att': 224, 'def': 29}","{'att': 228, 'def': 18}",4,1,1,2,1.0974,l,2024-08-18 13:00:00,0,0,1,0,-0.2330700000000001
h,1.3761,1.53421,1.3761,1.53421,"{'att': 235, 'def': 34}","{'att': 302, 'def': 22}",6,5,0,2,1.2623,l,2024-08-24 14:00:00,0,0,1,0,-0.15810999999999997
a,0.459708,2.97743,0.459708,2.97743,"{'att': 376, 'def': 19}","{'att': 206, 'def': 18}",6,4,1,1,0.0791,d,2024-09-01 12:30:00,0,1,0,1,-2.517722
h,2.88716,1.65187,2.12599,1.65187,"{'att': 167, 'def': 34}","{'att': 315, 'def': 22}",15,7,2,2,2.2205999999999997,d,2024-09-14 14:00:00,0,1,0,1,0.4741199999999999
h,1.66928,2.35056,1.66928,2.35056,"{'att': 385, 'def': 21}","{'att': 165, 'def': 27}",5,12,0,0,0.9061,d,2024-09-21 16:30:00,0,1,0,1,-0.6812800000000001
a,1.12358,1.10959,1.12358,1.10959,"{'att': 168, 'def': 18}","{'att': 300, 'def': 24}",8,6,1,2,1.3546,l,2024-09-28 14:00:00,0,0,1,0,0.013989999999999947
h,0.609481,2.07332,0.609481,2.07332,"{'att': 383, 'def': 16}","{'att': 150, 'def': 27}",3,11,0,1,0.38,l,2024-10-05 11:30:00,0,0,1,0,-1.4638389999999997
a,0.835001,1.88573,0.835001,1.88573,"{'att': 208, 'def': 24}","{'att': 248, 'def': 17}",5,9,0,1,0.6484000000000001,l,2024-10-21 19:00:00,0,0,1,0,-1.050729
h,0.978611,1.0192,0.978611,1.0192,"{'att': 285, 'def': 41}","{'att': 74, 'def': 16}",7,7,1,0,1.2846000000000002,w,2024-10-27 14:00:00,1,0,0,3,-0.0405890000000001
a,2.64849,1.65018,2.64849,1.65018,"{'att': 298, 'def': 23}","{'att': 177, 'def': 29}",2,6,2,2,2.0930999999999997,d,2024-11-02 17:30:00,0,1,0,1,0.9983099999999998
h,1.96037,2.25331,1.96037,2.25331,"{'att': 354, 'def': 26}","{'att': 170, 'def': 26}",4,7,0,2,1.1876,l,2024-11-09 15:00:00,0,0,1,0,-0.29294
a,1.61437,3.04455,1.61437,2.28338,"{'att': 348, 'def': 22}","{'att': 111, 'def': 15}",2,11,2,2,0.5138,d,2024-11-23 15:00:00,0,1,0,1,-0.6690100000000001
h,2.29595,0.020989,2.29595,0.020989,"{'att': 239, 'def': 27}","{'att': 228, 'def': 24}",11,2,1,1,2.8826,d,2024-11-30 15:00:00,0,1,0,1,2.274961
a,1.65422,0.471708,1.65422,0.471708,"{'att': 312, 'def': 23}","{'att': 252, 'def': 23}",6,2,1,0,2.3167,w,2024-12-03 19:30:00,1,0,0,3,1.182512
h,1.21476,1.5846,1.21476,1.5846,"{'att': 388, 'def': 10}","{'att': 181, 'def': 22}",6,16,2,2,1.0644,d,2024-12-07 15:00:00,0,1,0,1,-0.36983999999999995
a,3.00618,1.32323,3.00618,1.32323,"{'att': 311, 'def': 22}","{'att': 176, 'def': 37}",6,9,3,1,2.4631,w,2024-12-15 14:00:00,1,0,0,3,1.6829500000000002
h,1.6052,3.05434,1.6052,3.05434,"{'att': 346, 'def': 20}","{'att': 231, 'def': 18}",3,6,1,5,0.42580000000000007,l,2024-12-21 17:30:00,0,0,1,0,-1.4491399999999999
a,0.500066,1.20189,0.500066,1.20189,"{'att': 225, 'def': 19}","{'att': 218, 'def': 34}",8,10,0,0,0.7489,d,2024-12-26 15:00:00,0,1,0,1,-0.7018239999999999
h,3.05417,1.21853,3.05417,1.21853,"{'att': 246, 'def': 35}","{'att': 181, 'def': 32}",10,1,2,1,2.5632,w,2024-12-29 15:00:00,1,0,0,3,1.8356400000000002
h,1.2766,1.51541,1.2766,1.51541,"{'att': 328, 'def': 17}","{'att': 204, 'def': 22}",6,16,1,1,1.1723,d,2025-01-04 15:00:00,0,1,0,1,-0.23880999999999997
