assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,5,0,19.8,346,0.15,0.20,0.05,1.20,4,2,0,3.2,0.6,2022-08-06T11:30:00Z,88,12,0,0,0,0,1,0,2013818,1,2,2,12.0,2,0,0,0,45,True,0
0,0,6,1,25.4,346,0.03,0.03,0.00,0.89,20,0,0,3.2,4.8,2022-08-13T14:00:00Z,85,20,0,0,0,0,2,0,2252268,1,0,0,2.0,3,110393,161518,51125,45,False,0
1,3,26,0,61.7,346,0.18,0.33,0.15,1.80,24,2,0,13.1,35.2,2022-08-20T14:00:00Z,90,4,0,0,0,0,3,0,2117882,1,2,3,34.0,8,-137623,122958,260581,45,True,0
0,0,3,0,42.5,346,0.18,0.23,0.05,1.46,31,1,0,4.8,4.0,2022-08-27T16:30:00Z,78,1,0,0,0,0,4,0,2238724,1,1,2,1.0,2,77051,192531,115480,45,False,0
1,1,20,0,19.6,346,0.03,0.06,0.03,1.04,44,1,0,3.1,6.8,2022-08-30T18:30:00Z,77,5,0,0,0,0,5,0,2288617,1,1,2,5.0,6,34143,150570,116427,45,True,0
0,0,4,0,2.7,346,0.02,0.04,0.02,1.55,59,1,0,0.5,1.6,2022-09-03T14:00:00Z,60,18,0,0,0,0,6,0,2578118,1,1,2,1.0,2,252368,318082,65714,46,False,0
0,0,7,0,37.3,346,0.06,0.23,0.17,1.41,78,2,0,6.3,10.4,2022-09-16T19:00:00Z,82,16,0,0,0,0,8,0,2777342,1,3,2,15.0,1,153678,209801,56123,46,False,1
0,0,5,0,16.1,346,0.07,0.22,0.15,3.55,84,4,0,4.6,9.6,2022-10-01T14:00:00Z,90,15,0,0,0,0,9,0,2732471,1,4,1,20.0,2,-10119,115062,125181,46,True,0
0,0,20,0,16.2,346,0.02,0.21,0.19,2.61,100,2,1,8.0,33.8,2022-10-09T13:00:00Z,76,19,0,0,0,0,10,0,2610636,1,1,3,30.0,6,-124287,59079,183366,46,False,1
1,0,15,0,45.1,346,0.52,0.57,0.05,1.05,103,2,0,7.3,22.4,2022-10-15T14:00:00Z,86,3,0,0,0,0,11,0,2638355,1,2,2,5.0,5,17827,88058,70231,46,True,0
0,0,13,1,63.1,346,0.10,0.19,0.09,1.03,116,0,0,10.7,12.4,2022-10-20T18:30:00Z,86,2,0,0,0,0,12,0,2605932,1,0,3,31.0,3,54776,93481,38705,46,True,0
2,2,33,0,63.4,346,0.23,0.71,0.48,1.71,124,2,0,13.1,46.2,2022-10-23T13:00:00Z,90,11,0,0,0,0,13,0,2707665,1,3,2,21.0,10,7773,77161,69388,46,False,0
0,0,10,1,93.1,346,0.35,0.38,0.03,0.94,136,0,0,11.2,15.8,2022-10-29T16:30:00Z,75,8,0,0,0,0,14,0,2776769,1,0,0,3.0,3,62296,114531,52235,46,True,0
0,0,18,0,0.2,346,0.00,0.79,0.79,1.18,145,1,1,5.5,37.4,2022-11-05T15:00:00Z,87,13,0,0,0,0,15,0,2630117,1,1,2,17.0,6,-143347,50298,193645,46,False,1
0,0,5,0,17.8,346,0.08,0.08,0.00,2.59,153,2,0,2.6,4.6,2022-11-13T16:30:00Z,90,14,0,0,0,0,16,0,2622877,1,2,1,4.0,2,-17225,71526,88751,46,True,0
0,0,10,1,88.8,346,0.18,0.71,0.53,0.26,165,0,0,14.3,18.2,2022-12-26T15:00:00Z,84,7,0,0,0,0,17,0,2653131,1,3,0,36.0,3,20165,547936,527771,46,False,0
1,0,10,0,6.7,346,0.03,0.29,0.26,0.79,173,1,0,1.4,0.0,2022-12-31T15:00:00Z,90,17,0,0,0,0,18,0,2644030,1,1,2,10.0,5,-11735,51639,63374,46,True,0
0,0,6,0,16.0,346,0.06,0.22,0.16,1.32,188,0,0,3.2,10.0,2023-01-03T19:45:00Z,58,10,0,0,0,0,19,0,2801760,1,1,0,6.0,1,147290,192174,44884,46,False,0
1,0,14,0,21.6,346,0.18,0.21,0.03,2.13,64,1,0,4.6,18.2,2023-01-12T20:00:00Z,90,6,0,0,0,0,19,0,2801760,1,1,2,6.0,4,147290,192174,44884,46,True,1
