assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,637,187,0,0,0.0,0.0,2021-01-16T15:00:00Z,0,4,0,0,0,0,19,0,0,0,1,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,637,175,0,0,0.0,0.0,2021-01-19T18:00:00Z,0,18,0,0,0,0,19,0,0,1,2,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,637,195,0,0,0.0,0.0,2021-01-26T18:00:00Z,0,6,0,0,0,0,20,0,568,3,2,0.0,0,312,388,76,40,False,0
0,0,0,0,0.0,637,208,0,0,0.0,0.0,2021-01-31T16:30:00Z,0,11,0,0,0,0,21,0,796,3,1,0.0,0,123,220,97,40,True,0
0,0,0,0,0.0,637,209,0,0,0.0,0.0,2021-02-03T20:15:00Z,0,2,0,0,0,0,22,0,1011,3,1,0.0,0,98,195,97,40,False,0
0,0,0,0,0.0,637,221,0,0,0.0,0.0,2021-02-06T17:30:00Z,0,8,0,0,0,0,23,0,1275,0,0,0.0,0,108,250,142,40,False,0
0,0,0,0,0.0,637,238,0,0,0.0,0.0,2021-02-15T18:00:00Z,0,15,0,0,0,0,24,0,1685,0,3,0.0,0,145,330,185,40,True,0
0,0,0,0,0.0,637,247,0,0,0.0,0.0,2021-02-21T12:00:00Z,0,17,0,0,0,0,25,0,1948,1,2,0.0,0,105,260,155,40,True,0
0,0,0,0,0.0,637,254,0,0,0.0,0.0,2021-02-27T12:30:00Z,0,12,0,0,0,0,26,0,2238,1,2,0.0,0,78,300,222,40,False,0
0,0,0,0,0.0,637,268,0,0,0.0,0.0,2021-03-08T20:00:00Z,0,10,0,0,0,0,27,0,2363,0,2,0.0,0,-10,171,181,40,True,0
0,0,0,0,0.0,637,275,0,0,0.0,0.0,2021-03-14T19:15:00Z,0,13,0,0,0,0,28,0,2521,0,1,0.0,0,50,182,132,40,False,0
0,0,0,0,0.0,637,288,0,0,0.0,0.0,2021-03-21T15:00:00Z,0,1,0,0,0,0,29,0,2667,3,3,0.0,0,-14,116,130,40,True,0
0,0,0,0,0.0,637,298,0,0,0.0,0.0,2021-04-05T19:15:00Z,0,20,0,0,0,0,30,0,2725,3,2,0.0,0,5,92,87,40,False,0
0,0,0,0,0.0,637,308,0,0,0.0,0.0,2021-04-11T13:05:00Z,0,9,0,0,0,0,31,0,2838,2,3,0.0,0,19,113,94,40,True,0
0,0,0,0,0.0,637,316,0,0,0.0,0.0,2021-04-17T11:30:00Z,0,14,0,0,0,0,32,0,3014,2,3,0.0,0,84,169,85,40,False,0
0,0,0,0,0.0,637,327,0,0,0.0,0.0,2021-04-24T16:30:00Z,0,5,0,0,0,0,33,0,3156,1,0,0.0,0,58,149,91,40,True,0
0,0,0,0,0.0,637,330,0,0,0.0,0.0,2021-05-03T19:15:00Z,0,4,0,0,0,0,34,0,3182,2,1,0.0,0,1,98,97,40,False,0
0,0,0,0,0.0,637,347,0,0,0.0,0.0,2021-05-09T15:30:00Z,0,7,0,0,0,0,35,0,3326,1,0,0.0,0,37,129,92,40,True,0
0,0,0,0,0.0,637,349,0,0,0.0,0.0,2021-05-15T19:00:00Z,0,3,0,0,0,0,36,0,3423,1,1,0.0,0,62,128,66,40,False,0
0,0,0,0,0.0,637,368,0,0,0.0,0.0,2021-05-19T19:15:00Z,0,18,0,0,0,0,37,0,3513,3,1,0.0,0,68,130,62,40,False,0
0,0,0,0,0.0,637,377,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,16,0,0,0,0,38,0,3785,0,3,0.0,0,196,289,93,40,True,0
