assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,11.9,153,3,3,0,4.6,14.8,2021-08-14T14:00:00Z,90,6,0,0,0,0,1,0,48838,0,3,19.0,2,0,0,0,60,False,0
0,0,1,0,0.7,153,13,0,0,0.5,0.4,2021-08-21T14:00:00Z,22,3,0,0,0,0,2,0,66458,0,0,4.0,1,4634,14543,9909,60,True,0
0,0,10,0,0.9,153,28,2,0,3.6,15.2,2021-08-28T14:00:00Z,90,19,0,0,0,0,3,0,55756,2,2,20.0,2,-12296,4174,16470,60,False,0
0,0,16,1,29.1,153,34,0,0,6.4,8.8,2021-09-11T11:30:00Z,85,17,0,0,0,0,4,0,48349,0,3,26.0,2,-10069,4809,14878,59,True,0
0,0,8,0,16.3,153,44,3,0,6.5,12.0,2021-09-18T14:00:00Z,90,11,0,0,0,0,5,0,47979,0,3,37.0,2,-2281,5882,8163,59,False,0
0,0,4,1,15.7,153,54,0,0,3.3,0.8,2021-09-27T19:00:00Z,85,4,0,0,0,0,6,0,47084,1,1,16.0,2,-1948,4369,6317,59,True,0
0,0,0,0,12.6,153,64,2,0,2.8,0.2,2021-10-03T13:00:00Z,52,9,0,0,0,0,7,0,45424,2,2,15.0,1,-2276,2328,4604,59,True,0
1,0,19,0,12.8,153,71,1,0,4.5,25.2,2021-10-18T19:00:00Z,70,1,0,0,0,0,8,0,44567,2,2,7.0,5,-1791,2336,4127,59,False,0
0,0,0,0,0.0,153,85,0,0,0.0,0.0,2021-10-23T14:00:00Z,0,14,0,0,0,0,9,0,48508,1,1,0.0,0,2959,5747,2788,59,True,0
0,0,4,1,10.8,153,95,0,0,1.6,0.0,2021-10-30T14:00:00Z,64,12,0,0,0,0,10,0,45965,2,0,6.0,1,-2999,3238,6237,59,False,1
