assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,12,0,0,0,0,1,0,5621,0,1,4,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,20,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,20,0,0,0,0,2,0,4093,0,4,1,0.0,0,-1441,0,1441,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,24,0,0,0.0,0.0,2023-08-26T16:30:00Z,0,19,0,0,0,0,3,0,3438,0,3,1,0.0,0,-719,0,719,45,True,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,33,0,0,0.0,0.0,2023-09-02T16:30:00Z,0,15,0,0,0,0,4,0,3048,0,1,3,0.0,0,-415,0,415,45,True,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,45,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,14,0,0,0,0,5,0,2702,0,3,1,0.0,0,-359,0,359,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,53,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,3,0,0,0,0,6,0,2532,0,1,3,0.0,0,-174,0,174,45,True,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2023-09-30T11:30:00Z,0,2,0,0,0,0,7,0,2393,0,1,6,0.0,0,-140,0,140,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,72,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,11,0,0,0,0,8,0,2271,0,2,2,0.0,0,-116,0,116,45,True,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,86,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,13,0,0,0,0,9,0,2202,0,1,2,0.0,0,-74,0,74,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,10,0,0,0,0,10,0,2147,0,1,1,0.0,0,-63,0,63,45,True,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,103,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,9,0,0,0,0,11,0,2091,0,1,1,0.0,0,-52,0,52,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,114,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,17,0,0,0,0,12,0,2039,0,1,1,0.0,0,-52,0,52,45,True,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,128,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,16,0,0,0,0,13,0,1990,0,3,2,0.0,0,-49,0,49,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,135,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,7,0,0,0,0,14,0,1976,0,2,3,0.0,0,-20,0,20,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,142,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,4,0,0,0,0,15,0,1958,0,1,2,0.0,0,-17,0,17,45,True,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,152,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,6,0,0,0,0,16,0,1942,0,1,1,0.0,0,-16,0,16,45,True,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,161,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,1,0,0,0,0,17,0,1903,0,0,2,0.0,0,-36,0,36,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2023-12-21T20:00:00Z,0,8,0,0,0,0,18,0,1879,0,1,1,0.0,0,-25,0,25,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,184,0,0,0.0,0.0,2023-12-28T19:30:00Z,0,18,0,0,0,0,19,0,1869,0,2,4,0.0,0,-11,0,11,45,True,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,199,0,0,0.0,0.0,2024-01-02T19:30:00Z,0,19,0,0,0,0,20,0,1849,0,0,0,0.0,0,-21,0,21,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,204,0,0,0.0,0.0,2024-01-22T19:45:00Z,0,20,0,0,0,0,21,0,1796,0,0,0,0.0,0,-53,0,53,45,True,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,214,0,0,0.0,0.0,2024-01-30T19:45:00Z,0,12,0,0,0,0,22,0,1782,0,0,4,0.0,0,-17,0,17,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,224,0,0,0.0,0.0,2024-02-03T15:00:00Z,0,8,0,0,0,0,23,0,1772,0,1,4,0.0,0,-11,0,11,45,True,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,238,0,0,0.0,0.0,2024-02-10T15:00:00Z,0,18,0,0,0,0,24,0,1762,0,1,2,0.0,0,-10,0,10,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,249,0,0,0.0,0.0,2024-02-18T14:00:00Z,0,17,0,0,0,0,25,0,1749,0,5,0,0.0,0,-12,0,12,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,254,0,0,0.0,0.0,2024-02-24T15:00:00Z,0,9,0,0,0,0,26,0,1742,0,1,1,0.0,0,-5,0,5,45,True,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,264,0,0,0.0,0.0,2024-03-02T15:00:00Z,0,10,0,0,0,0,27,0,1737,0,0,3,0.0,0,-8,0,8,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,274,0,0,0.0,0.0,2024-03-10T14:00:00Z,0,16,0,0,0,0,28,0,1725,0,0,1,0.0,0,-10,0,10,45,True,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,295,0,0,0.0,0.0,2024-03-31T13:00:00Z,0,11,0,0,0,0,30,0,1715,0,1,2,0.0,0,-1,0,1,45,False,0
0,0,0,0,0.0,127,0.00,0.00,0.00,0.00,303,0,0,0.0,0.0,2024-04-03T18:30:00Z,0,4,0,0,0,0,31,0,1713,0,0,0,0.0,0,-3,0,3,45,False,0
