assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,200,0,0,8,0,0,0,0.0,200,0.0,0,2016-08-14T15:00:00Z,14 Aug 16:00,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2090,0,0,0,4,3,0.0,0,0,0,0,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,200,0,0,12,0,0,0,0.0,725,0.0,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2146,0,0,0,0,2,0.0,0,-299,58,357,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,200,0,0,27,0,0,0,0.0,1265,0.0,0,2016-08-27T11:30:00Z,27 Aug 12:30,0,0,0,0,0,17,0,0,0,0,0,0,3,0,2565,0,0,0,1,1,0.0,0,-46,264,310,44,False,0,0
0,72,0,0,0,13,0,11,61,0.3,0,0,200,1,0,34,0,1,0,3.7,1815,36.2,0,2016-09-10T16:30:00Z,10 Sep 17:30,0,0,90,0,0,8,0,0,0,0,5,0,4,0,6096,0,0,0,1,4,0.0,2,1645,2707,1062,44,True,0,0
0,8,0,0,0,1,0,3,5,0.0,0,0,200,0,0,41,1,0,0,0.1,2396,0.8,0,2016-09-16T19:00:00Z,16 Sep 20:00,0,0,9,0,0,4,0,0,0,0,4,0,5,0,8243,0,0,0,2,1,0.0,0,1304,2064,760,44,False,0,1
0,0,0,0,0,0,0,0,0,0.0,0,0,200,0,0,53,0,0,0,0.0,2980,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,7,0,0,0,0,0,0,6,0,8527,0,0,0,1,5,0.0,0,-271,868,1139,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,200,0,0,67,0,0,0,0.0,3566,0.0,0,2016-10-01T11:30:00Z,01 Oct 12:30,0,0,0,0,0,16,0,0,0,0,0,0,7,0,8686,0,0,0,2,1,0.0,0,-178,636,814,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,200,0,0,75,0,0,0,0.0,4155,0.0,0,2016-10-17T19:00:00Z,17 Oct 20:00,0,0,0,0,0,11,0,0,0,0,0,0,8,0,8601,0,0,0,0,0,0.0,0,-372,283,655,44,True,0,0
0,2,0,0,0,3,0,0,1,0.0,0,0,200,0,0,87,0,0,0,0.2,4747,2.2,0,2016-10-22T16:30:00Z,22 Oct 17:30,0,0,3,0,0,19,0,0,0,0,0,0,9,0,8351,0,0,0,1,2,0.0,1,-377,136,513,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,200,0,0,91,0,0,0,0.0,5341,0.0,0,2016-10-29T16:30:00Z,29 Oct 17:30,0,0,0,0,0,5,0,0,0,0,0,0,10,0,8152,0,0,0,4,2,0.0,0,-312,103,415,44,False,0,0
