assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
1,2,24,0,11.0,542,0.01,0.38,0.37,1.37,3,1,0,6.0,32.8,2023-08-12T14:00:00Z,90,3,0,0,0,0,1,0,89660,1,1,1,16.0,7,0,0,0,50,False,0
0,0,13,0,30.9,542,0.01,0.01,0.00,2.45,19,1,0,6.1,24.4,2023-08-20T15:30:00Z,90,7,0,0,0,0,2,0,131348,1,1,3,6.0,2,20735,30042,9307,50,True,0
0,0,6,0,0.1,542,0.00,0.00,0.00,0.56,24,0,0,0.8,7.4,2023-08-26T16:30:00Z,38,5,0,0,0,0,3,0,124573,1,3,1,0.0,1,-7672,9819,17491,50,False,0
0,0,0,0,0.0,542,0.00,0.00,0.00,0.00,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,12,0,0,0,0,4,0,88827,0,2,1,0.0,0,-35661,1403,37064,50,False,0
0,0,10,0,10.8,542,0.25,0.25,0.00,3.63,49,3,0,3.8,25.4,2023-09-16T14:00:00Z,86,13,0,0,0,0,5,0,69029,1,3,1,2.0,1,-20841,766,21607,49,True,1
0,0,8,0,14.5,542,0.13,0.47,0.34,2.33,57,2,0,6.7,26.6,2023-09-24T13:00:00Z,73,11,0,0,0,0,6,0,65865,1,1,3,26.0,2,-3914,1418,5332,49,False,0
0,0,21,1,3.7,542,0.01,0.86,0.85,1.07,69,0,1,10.3,38.8,2023-09-30T14:00:00Z,90,17,0,0,0,0,7,0,64237,1,0,2,60.0,8,-1869,2658,4527,49,True,0
0,1,23,0,0.6,542,0.00,0.93,0.93,1.95,79,2,1,7.0,36.4,2023-10-08T13:00:00Z,75,15,0,0,0,0,8,0,76392,1,2,2,33.0,8,11073,17915,6842,49,True,0
0,0,3,0,0.7,542,0.00,0.11,0.11,1.65,81,2,0,0.6,0.0,2023-10-22T15:30:00Z,66,2,0,0,0,0,9,0,119608,1,1,4,8.0,2,40759,48741,7982,49,False,0
0,0,3,0,1.9,542,0.01,0.01,0.00,0.07,99,0,0,0.5,2.8,2023-10-29T13:00:00Z,17,9,0,0,0,0,10,0,136367,0,1,0,0.0,1,17331,31166,13835,49,True,0
0,0,4,0,2.3,542,0.02,0.02,0.00,1.40,101,3,0,0.8,3.4,2023-11-04T15:00:00Z,90,4,0,0,0,0,11,0,139000,1,2,3,2.0,1,2121,16249,14128,49,False,1
0,0,22,0,5.2,542,0.05,0.50,0.45,1.68,119,2,1,11.5,52.4,2023-11-12T14:00:00Z,90,16,0,0,0,0,12,0,126454,1,2,3,57.0,7,-11985,3857,15842,49,True,0
0,1,25,0,1.1,542,0.00,0.63,0.63,1.27,122,1,1,10.7,38.4,2023-11-25T15:00:00Z,90,6,0,0,0,0,13,0,148543,1,2,1,67.0,8,19459,27081,7622,49,False,0
0,0,7,0,2.8,542,0.01,0.01,0.00,0.88,140,1,0,1.2,7.6,2023-12-03T14:00:00Z,90,8,0,0,0,0,14,0,193302,1,1,1,2.0,2,43210,49923,6713,49,True,0
