assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,792,0.00,0.00,0.00,0.00,212,0,0,0.0,0.0,2024-01-30T20:00:00Z,0,17,0,0,0,0,22,0,622,0,2,3,0.0,0,609,635,26,45,True,0
0,0,18,0,11.8,792,0.02,0.02,0.00,1.53,224,4,0,3.3,21.0,2024-02-03T15:00:00Z,90,5,0,0,0,0,23,0,1744,1,1,4,0.0,-1,1056,1196,140,45,False,1
0,0,7,0,21.4,792,0.03,0.03,0.00,1.21,232,3,0,5.3,23.4,2024-02-12T20:00:00Z,90,7,0,0,0,0,24,0,2000,1,3,1,8.0,0,134,453,319,45,True,1
0,0,14,0,22.0,792,0.06,0.06,0.00,1.66,243,1,0,4.1,15.2,2024-02-19T20:00:00Z,90,9,0,0,0,0,25,0,2242,1,1,1,4.0,2,115,390,275,45,False,0
0,1,25,1,16.6,792,0.04,0.33,0.29,0.10,256,0,0,4.9,16.8,2024-02-24T15:00:00Z,90,6,0,0,0,0,26,0,10763,1,0,3,16.0,7,5376,5840,464,45,True,0
0,0,8,0,1.8,792,0.01,0.01,0.00,1.87,270,3,0,1.8,15.8,2024-03-02T15:00:00Z,90,18,0,0,0,0,27,0,7876,1,1,3,0.0,1,-105,1397,1502,45,False,0
1,0,13,0,11.8,792,0.15,0.52,0.37,0.83,276,1,0,4.8,23.0,2024-03-09T15:00:00Z,90,12,0,0,0,0,28,0,9853,1,1,1,13.0,4,1704,2233,529,45,True,1
0,0,12,0,1.3,792,0.00,0.11,0.11,0.92,298,1,0,2.6,15.2,2024-03-30T15:00:00Z,90,16,0,0,0,0,30,0,23290,1,1,1,9.0,2,13536,17395,3859,45,False,0
0,0,11,0,3.8,792,0.01,0.01,0.00,1.22,302,1,0,1.4,10.0,2024-04-02T18:45:00Z,90,3,0,0,0,0,31,0,27074,1,0,1,0.0,2,3716,5730,2014,45,False,0
0,0,9,0,2.6,792,0.02,0.02,0.00,1.91,313,4,0,1.4,9.4,2024-04-06T11:30:00Z,90,13,0,0,0,0,32,0,26294,1,4,2,2.0,0,-883,1517,2400,45,True,0
