assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,553,0,0,68,0,0,0,0.0,3751,0.0,0,2017-10-01T11:00:00Z,01 Oct 12:00,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0.0,0,0,0,0,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,553,0,0,71,0,0,0,0.0,4305,0.0,0,2017-10-15T12:30:00Z,15 Oct 13:30,0,0,0,0,0,7,0,0,0,0,0,0,8,0,146,0,0,0,1,1,0.0,0,92,159,67,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,553,0,0,90,0,0,0,0.0,4862,0.0,0,2017-10-20T19:00:00Z,20 Oct 20:00,0,0,0,0,0,20,0,0,0,0,0,0,9,0,229,0,0,0,3,0,0.0,0,48,103,55,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,553,0,0,93,0,0,0,0.0,5421,0.0,0,2017-10-29T13:30:00Z,29 Oct 13:30,0,0,0,0,0,14,0,0,0,0,0,0,10,0,278,0,0,0,1,1,0.0,0,13,76,63,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,553,0,0,107,0,0,0,0.0,5984,0.0,0,2017-11-04T15:00:00Z,04 Nov 15:00,0,0,0,0,0,16,0,0,0,0,0,0,11,0,322,0,0,0,1,0,0.0,0,11,56,45,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,553,0,0,113,0,0,0,0.0,6550,0.0,0,2017-11-20T20:00:00Z,20 Nov 20:00,0,0,0,0,0,15,0,0,0,0,0,0,12,0,368,0,0,0,2,2,0.0,0,21,60,39,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,553,0,0,124,0,0,0,0.0,7119,0.0,0,2017-11-25T15:00:00Z,25 Nov 15:00,0,0,0,0,0,12,0,0,0,0,0,0,13,0,378,0,0,0,0,1,0.0,0,-6,28,34,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,553,0,0,131,0,0,0,0.0,7689,0.0,0,2017-11-28T19:45:00Z,28 Nov 19:45,0,0,0,0,0,6,0,0,0,0,0,0,14,0,384,0,0,0,0,0,0.0,0,-2,27,29,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,553,0,0,143,0,0,0,0.0,8260,0.0,0,2017-12-02T15:00:00Z,02 Dec 15:00,0,0,0,0,0,10,0,0,0,0,0,0,15,0,402,0,0,0,5,1,0.0,0,2,30,28,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,553,0,0,153,0,0,0,0.0,8834,0.0,0,2017-12-09T15:00:00Z,09 Dec 15:00,0,0,0,0,0,8,0,0,0,0,0,0,16,0,433,0,0,0,0,2,0.0,0,7,37,30,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,553,0,0,169,0,0,0,0.0,9411,0.0,0,2017-12-13T20:00:00Z,13 Dec 20:00,0,0,0,0,0,17,0,0,0,0,0,0,17,0,432,0,0,0,0,2,0.0,0,-8,17,25,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,553,0,0,173,0,0,0,0.0,9989,0.0,0,2017-12-16T15:00:00Z,16 Dec 15:00,0,0,0,0,0,4,0,0,0,0,0,0,18,0,441,0,0,0,0,0,0.0,0,0,18,18,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,553,0,0,182,0,0,0,0.0,10569,0.0,0,2017-12-23T15:00:00Z,23 Dec 15:00,0,0,0,0,0,18,0,0,0,0,0,0,19,0,447,0,0,0,0,1,0.0,0,-10,21,31,45,True,0,0
