assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,593,37,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,9,0,0,0,0,4,0,33682,1,0,0.0,0,29555,39819,10264,40,False,0
0,0,0,0,0.0,593,45,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,16,0,0,0,0,5,0,34352,0,0,0.0,0,1736,5390,3654,40,True,0
0,0,0,0,0.0,593,53,0,0,0.0,0.0,2021-09-25T11:30:00Z,0,6,0,0,0,0,6,0,33874,1,0,0.0,0,-1037,1566,2603,40,False,0
0,0,0,0,0.0,593,66,0,0,0.0,0.0,2021-10-03T15:30:00Z,0,11,0,0,0,0,7,0,32898,2,2,0.0,0,-1209,569,1778,40,False,0
0,0,0,0,0.0,593,76,0,0,0.0,0.0,2021-10-16T14:00:00Z,0,5,0,0,0,0,8,0,32646,0,2,0.0,0,-669,1293,1962,40,True,0
0,0,0,0,0.0,593,83,0,0,0.0,0.0,2021-10-23T16:30:00Z,0,4,0,0,0,0,9,0,31427,4,1,0.0,0,-1253,346,1599,40,False,0
0,0,0,0,0.0,593,95,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,7,0,0,0,0,10,0,58352,2,0,0.0,0,17562,20762,3200,39,True,0
0,0,0,0,0.0,593,108,0,0,0.0,0.0,2021-11-06T12:30:00Z,0,13,0,0,0,0,11,0,84795,2,0,0.0,0,20852,24320,3468,39,False,0
0,0,0,0,0.0,593,115,0,0,0.0,0.0,2021-11-21T14:00:00Z,0,8,0,0,0,0,12,0,100497,0,3,0.0,0,12786,21716,8930,39,True,0
0,0,0,0,0.0,593,129,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,19,0,0,0,0,13,0,113416,1,2,0.0,0,10762,16715,5953,39,True,0
0,0,0,0,0.0,593,131,0,0,0.0,0.0,2021-12-01T20:15:00Z,0,2,0,0,0,0,14,0,124392,2,1,0.0,0,10034,14385,4351,39,False,0
0,0,0,0,0.0,593,148,0,0,0.0,0.0,2021-12-04T17:30:00Z,0,18,0,0,0,0,15,0,141455,3,1,0.0,0,14476,21175,6699,39,False,0
0,0,0,0,0.0,593,159,0,0,0.0,0.0,2021-12-11T12:30:00Z,0,20,0,0,0,0,16,0,172987,0,1,0.0,0,16225,25685,9460,39,True,0
0,0,0,0,0.0,593,170,0,0,0.0,0.0,2021-12-14T20:00:00Z,0,10,0,0,0,0,17,0,169515,0,7,0.0,0,5098,15089,9991,39,True,0
0,0,0,0,0.0,593,175,0,0,0.0,0.0,2021-12-19T14:00:00Z,0,14,0,0,0,0,18,0,176626,4,0,0.0,0,-276,12622,12898,39,False,0
