assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,14,0,1.3,8,1,2,0,2.5,16.6,2021-08-13T19:00:00Z,90,3,0,0,0,0,1,0,9359,0,2,7.0,1,0,0,0,45,False,0
0,0,21,0,11.0,8,18,2,0,5.4,38.8,2021-08-22T15:30:00Z,90,6,0,0,0,0,2,0,12789,2,0,4.0,0,-1056,849,1905,45,True,1
0,0,0,0,0.0,8,24,0,0,0.0,0.0,2021-08-28T11:30:00Z,0,12,0,0,0,0,3,0,12951,0,5,0.0,0,-745,1562,2307,45,False,0
0,0,0,0,0.0,8,31,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,15,0,0,0,0,4,0,12600,0,1,0.0,0,-1294,1624,2918,44,True,0
0,0,0,0,0.0,8,43,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,5,0,0,0,0,5,0,11480,1,0,0.0,0,-1400,277,1677,44,False,0
0,0,0,0,0.0,8,51,0,0,0.0,0.0,2021-09-26T15:30:00Z,0,17,0,0,0,0,6,0,10708,1,3,0.0,0,-986,170,1156,43,True,0
0,0,0,0,0.0,8,61,0,0,0.0,0.0,2021-10-02T16:30:00Z,0,4,0,0,0,0,7,0,10285,0,0,0.0,0,-557,131,688,43,False,0
0,0,0,0,0.0,8,71,0,0,0.0,0.0,2021-10-18T19:00:00Z,0,7,0,0,0,0,8,0,9971,2,2,0.0,0,-444,110,554,43,True,0
0,0,0,0,0.0,8,81,0,0,0.0,0.0,2021-10-22T19:00:00Z,0,2,0,0,0,0,9,0,9797,1,3,0.0,0,-267,86,353,43,True,0
0,0,0,0,0.0,8,93,0,0,0.0,0.0,2021-10-30T11:30:00Z,0,9,0,0,0,0,10,0,9339,2,0,0.0,0,-530,63,593,43,False,0
0,0,0,0,0.0,8,101,0,0,0.0,0.0,2021-11-07T14:00:00Z,0,18,0,0,0,0,11,0,8978,0,1,0.0,0,-385,17,402,43,True,0
0,0,0,0,0.0,8,114,0,0,0.0,0.0,2021-11-20T17:30:00Z,0,11,0,0,0,0,12,0,8978,0,4,0.0,0,-115,104,219,42,False,0
0,0,0,0,0.0,8,121,0,0,0.0,0.0,2021-11-27T12:30:00Z,0,14,0,0,0,0,13,0,8904,0,2,0.0,0,-116,68,184,42,True,0
0,0,0,0,0.0,8,134,0,0,0.0,0.0,2021-12-02T20:15:00Z,0,13,0,0,0,0,14,0,8865,2,3,0.0,0,-68,53,121,42,False,0
0,0,0,0,0.0,8,142,0,0,0.0,0.0,2021-12-06T20:00:00Z,0,8,0,0,0,0,15,0,8795,1,2,0.0,0,-102,44,146,42,False,0
0,0,0,0,0.0,8,151,0,0,0.0,0.0,2021-12-11T15:00:00Z,0,16,0,0,0,0,16,0,8803,0,3,0.0,0,-50,98,148,42,True,0
0,0,0,0,0.0,8,161,0,0,0.0,0.0,2021-12-15T20:00:00Z,0,19,0,0,0,0,17,0,8745,0,2,0.0,0,-76,54,130,42,True,0
0,0,0,0,0.0,8,173,0,0,0.0,0.0,2021-12-18T17:30:00Z,0,10,0,0,0,0,18,0,8750,4,1,0.0,0,-46,54,100,42,False,0
0,0,0,0,0.0,8,187,0,0,0.0,0.0,2021-12-26T15:00:00Z,0,15,0,0,0,0,19,0,8480,5,0,0.0,0,-231,13,244,42,False,0
0,0,0,0,0.0,8,201,0,0,0.0,0.0,2022-01-01T12:30:00Z,0,12,0,0,0,0,21,0,8635,2,1,0.0,0,35,135,100,42,True,0
