assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,2,27,1,18.9,306,0.05,0.07,0.02,0.49,10,0,0,3.9,15.4,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,0,3569038,1,2,0,5.0,7,0,0,0,70,False,1
1,2,36,1,21.7,306,0.07,0.11,0.04,0.13,17,0,0,4.3,9.2,2022-08-13T14:00:00Z,90,3,0,0,0,0,2,0,4003992,1,0,4,12.0,11,49346,138828,89482,70,True,0
0,0,12,0,5.3,306,0.04,0.08,0.04,1.81,28,3,0,4.2,17.0,2022-08-21T15:30:00Z,90,15,0,0,0,0,3,0,4510949,1,3,3,20.0,0,275177,362027,86850,71,False,1
0,0,16,0,22.3,306,0.08,0.08,0.00,0.12,37,2,0,3.5,13.0,2022-08-27T14:00:00Z,60,7,0,0,0,0,4,0,4624067,1,2,4,0.0,1,6770,194375,187605,71,True,0
0,0,31,1,9.2,306,0.05,0.10,0.05,0.37,49,0,1,6.1,37.2,2022-08-31T18:30:00Z,67,16,0,0,0,0,5,0,4427428,1,0,6,15.0,12,-248679,89088,337767,71,True,0
0,0,11,0,18.1,306,0.03,0.09,0.06,0.34,51,1,0,6.7,16.4,2022-09-03T16:30:00Z,90,2,0,0,0,0,6,0,4813510,1,1,1,32.0,2,248793,340374,91581,71,False,0
0,3,39,1,35.7,306,0.14,0.19,0.05,0.41,80,0,0,8.1,28.2,2022-09-17T11:30:00Z,90,20,0,0,0,0,8,0,5430281,1,3,0,17.0,9,274634,304467,29833,72,False,0
0,0,11,0,2.7,306,0.01,0.01,0.00,1.67,88,3,0,1.5,12.0,2022-10-02T13:00:00Z,90,14,0,0,0,0,9,0,5427739,1,3,6,0.0,1,83265,172878,89613,72,True,0
1,3,53,1,44.8,306,0.20,0.37,0.17,0.05,97,0,1,15.1,71.0,2022-10-08T14:00:00Z,69,17,0,0,0,0,10,0,5506710,1,0,4,35.0,18,45432,222535,177103,72,True,0
0,0,10,0,6.3,306,0.03,0.08,0.05,2.07,106,1,0,3.5,5.0,2022-10-16T15:30:00Z,90,12,0,0,0,0,11,0,5882296,1,0,1,24.0,2,334508,392136,57628,73,False,0
0,0,15,0,3.2,306,0.07,0.07,0.00,0.48,125,1,0,2.0,15.2,2022-10-22T14:00:00Z,90,5,0,0,0,0,13,0,5929322,1,1,3,2.0,2,193805,223644,29839,73,True,0
0,0,23,1,23.6,306,0.24,0.28,0.04,0.71,137,0,0,4.9,8.4,2022-10-29T11:30:00Z,90,10,0,0,0,0,14,0,6026233,1,1,0,17.0,6,78904,135043,56139,74,False,0
0,0,-7,0,3.2,306,0.04,0.04,0.00,1.90,145,1,0,0.2,0.0,2022-11-05T15:00:00Z,25,9,0,0,0,1,15,0,6226591,1,1,2,6.0,-2,165268,193659,28391,74,True,0
0,0,7,0,27.1,306,0.38,0.55,0.17,0.40,155,1,0,8.7,10.4,2022-11-12T12:30:00Z,85,4,0,0,0,0,16,0,5957230,1,2,1,49.0,1,-266652,60816,327468,74,True,1
0,0,4,0,0.7,306,0.00,0.10,0.10,0.40,167,1,0,2.2,3.0,2022-12-28T20:00:00Z,22,11,0,0,0,0,17,0,5676599,0,3,1,18.0,1,-313918,396010,709928,74,False,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,175,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,8,0,0,0,0,18,0,5607218,0,1,1,0.0,0,-79469,36589,116058,74,True,0
0,0,4,0,4.3,306,0.02,0.06,0.04,0.24,184,0,0,2.8,1.6,2023-01-05T20:00:00Z,45,6,0,0,0,0,19,0,5293847,1,1,0,22.0,1,-310124,29760,339884,73,False,0
0,0,12,0,19.3,306,0.08,0.08,0.00,1.75,196,2,0,3.5,14.0,2023-01-14T12:30:00Z,90,14,0,0,0,0,20,0,4837585,1,1,2,2.0,1,-461925,82022,543947,72,False,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2023-01-19T20:00:00Z,0,18,0,0,0,0,20,0,4837585,0,2,4,0.0,0,-461925,82022,543947,72,True,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,208,0,0,0.0,0.0,2023-01-22T14:00:00Z,0,20,0,0,0,0,21,0,4590624,0,0,3,0.0,0,-267837,54676,322513,72,True,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,219,0,0,0.0,0.0,2023-02-05T16:30:00Z,0,18,0,0,0,0,22,0,3154305,0,0,1,0.0,0,-1427216,18283,1445499,71,False,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,228,0,0,0.0,0.0,2023-02-12T16:30:00Z,0,2,0,0,0,0,23,0,2550288,0,1,3,0.0,0,-617713,0,617713,71,True,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,111,0,0,0.0,0.0,2023-02-15T19:30:00Z,0,1,0,0,0,0,23,0,2550288,0,3,1,0.0,0,-617713,0,617713,71,False,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,238,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,16,0,0,0,0,24,0,2357623,0,1,1,0.0,0,-199526,0,199526,71,False,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,241,0,0,0.0,0.0,2023-02-25T17:30:00Z,0,3,0,0,0,0,25,0,2258781,0,4,1,0.0,0,-94552,0,94552,71,False,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,257,0,0,0.0,0.0,2023-03-04T12:30:00Z,0,15,0,0,0,0,26,0,2207073,0,0,2,0.0,0,-59740,0,59740,71,True,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,262,0,0,0.0,0.0,2023-03-11T17:30:00Z,0,7,0,0,0,0,27,0,2163387,0,1,0,0.0,0,-43842,0,43842,71,False,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,287,0,0,0.0,0.0,2023-04-01T11:30:00Z,0,12,0,0,0,0,29,0,2117573,0,1,4,0.0,0,-22546,0,22546,71,True,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,298,0,0,0.0,0.0,2023-04-08T16:30:00Z,0,17,0,0,0,0,30,0,2102937,0,4,1,0.0,0,-15270,0,15270,71,False,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,305,0,0,0.0,0.0,2023-04-15T16:30:00Z,0,10,0,0,0,0,31,0,2088706,0,1,3,0.0,0,-14325,0,14325,71,True,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,329,0,0,0.0,0.0,2023-04-26T19:00:00Z,0,1,0,0,0,0,33,0,2071324,0,1,4,0.0,0,-6886,0,6886,71,True,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,336,0,0,0.0,0.0,2023-04-30T13:00:00Z,0,9,0,0,0,0,34,0,2062746,0,2,1,0.0,0,-8406,0,8406,71,False,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,277,0,0,0.0,0.0,2023-05-03T19:00:00Z,0,19,0,0,0,0,34,0,2062746,0,0,3,0.0,0,-8406,0,8406,71,True,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,345,0,0,0.0,0.0,2023-05-06T14:00:00Z,0,11,0,0,0,0,35,0,2050272,0,1,2,0.0,0,-12441,0,12441,71,True,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,356,0,0,0.0,0.0,2023-05-14T13:00:00Z,0,8,0,0,0,0,36,0,2043501,0,3,0,0.0,0,-6986,0,6986,71,False,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,365,0,0,0.0,0.0,2023-05-21T15:00:00Z,0,6,0,0,0,0,37,0,2037627,0,0,1,0.0,0,-5934,0,5934,71,True,0
0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,314,0,0,0.0,0.0,2023-05-24T19:00:00Z,0,5,0,0,0,0,37,0,2037627,0,1,1,0.0,0,-5934,0,5934,71,False,0
