assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,621,0,0,255,0,0,0,0.0,14800,0.0,0,2018-02-04T14:15:00Z,04 Feb 14:15,0,0,0,0,0,6,0,0,0,0,0,0,26,0,330,0,0,0,1,1,0.0,0,312,346,34,45,False,0,0
0,21,0,0,2,27,1,2,11,0.0,0,0,621,0,0,265,0,0,0,2.7,15425,26.8,0,2018-02-11T14:15:00Z,11 Feb 14:15,0,0,90,0,0,12,0,0,0,0,8,0,27,3,515,0,0,0,0,1,0.0,9,148,191,43,45,True,0,0
0,28,0,0,0,13,0,0,9,0.0,0,0,621,0,0,272,0,2,0,2.1,16052,21.2,0,2018-02-24T15:00:00Z,24 Feb 15:00,0,0,90,0,0,2,0,0,0,0,5,0,28,3,12356,0,0,0,2,2,0.0,2,11126,11985,859,45,False,0,0
0,25,0,0,0,11,0,1,8,0.0,0,0,621,0,0,285,0,2,0,1.1,16682,11.4,0,2018-03-03T17:30:00Z,03 Mar 17:30,0,0,90,0,0,10,0,0,0,0,10,0,29,1,13747,0,0,0,0,2,0.0,1,1254,1982,728,45,False,0,0
0,34,0,0,0,26,1,2,12,0.0,0,0,621,0,0,297,0,0,0,1.4,17315,14.4,0,2018-03-10T15:00:00Z,10 Mar 15:00,0,0,90,0,0,14,0,0,0,0,11,0,30,2,19654,0,0,0,0,3,0.0,6,5759,6431,672,45,True,0,0
0,19,0,0,0,19,1,0,15,0.0,0,0,621,0,0,317,0,0,0,0.3,18216,3.0,0,2018-03-31T14:00:00Z,31 Mar 15:00,0,0,90,0,0,8,0,0,0,0,4,0,32,0,26438,0,0,0,0,1,0.0,6,6808,9464,2656,45,True,0,0
0,22,0,0,0,8,0,0,9,0.0,0,0,621,0,0,326,0,1,0,0.2,18853,1.8,0,2018-04-07T14:00:00Z,07 Apr 15:00,0,0,90,0,0,9,0,0,0,0,6,0,33,0,29399,0,0,0,2,1,0.0,2,2829,5096,2267,45,False,0,0
0,30,0,0,0,12,0,1,13,0.0,0,0,621,0,1,336,0,1,0,1.2,19724,11.6,0,2018-04-15T12:30:00Z,15 Apr 13:30,0,0,90,0,0,1,0,0,0,0,9,0,34,2,29728,0,0,0,1,2,0.0,2,1013,2941,1928,45,True,0,0
0,17,0,0,0,8,0,1,7,0.0,0,0,621,0,0,345,0,1,0,0.1,20138,1.4,0,2018-04-23T19:00:00Z,23 Apr 20:00,0,0,90,0,0,7,0,0,0,0,6,0,35,0,48868,0,0,0,0,1,0.0,2,13233,14305,1072,45,False,0,0
0,28,0,0,0,9,0,0,22,0.0,0,0,621,0,0,356,0,1,0,1.2,20778,12.4,0,2018-04-28T14:00:00Z,28 Apr 15:00,0,0,90,0,0,19,0,0,0,0,4,0,36,1,56551,0,0,0,1,0,0.0,2,12420,14380,1960,45,True,0,0
0,30,0,0,3,39,0,1,27,0.0,0,0,621,1,0,369,0,2,0,6.8,21785,68.2,0,2018-05-05T14:00:00Z,05 May 15:00,0,0,90,0,0,18,0,0,0,1,9,0,37,6,57891,0,0,0,1,2,0.0,11,1564,4499,2935,45,False,0,0
0,32,0,0,0,20,0,1,19,0.0,0,0,621,0,0,309,0,1,0,4.3,21784,43.4,0,2018-05-09T19:00:00Z,09 May 20:00,0,0,90,0,0,17,0,0,0,0,8,0,37,6,57891,0,0,0,0,1,0.0,4,1564,4499,2935,45,False,0,0
0,29,0,0,0,23,1,0,17,0.0,0,0,621,0,0,376,0,0,0,1.9,22442,19.0,0,2018-05-13T14:00:00Z,13 May 15:00,0,0,90,0,0,5,0,0,0,0,5,0,38,2,57451,0,0,0,0,3,0.0,6,-370,1484,1854,45,True,0,0
