assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,16,1,19.4,723,0.14,0.14,0.00,2.22,213,0,0,3.4,12.4,2023-02-04T15:00:00Z,60,5,0,0,0,0,22,0,143,1,0,1,2.0,3,132,142,10,45,False,0
0,0,12,0,54.5,723,0.35,0.39,0.04,1.27,222,1,0,7.3,13.8,2023-02-11T17:30:00Z,90,15,0,0,0,0,23,0,364,1,1,1,5.0,2,191,224,33,45,True,0
0,0,13,1,23.0,723,0.23,0.27,0.04,1.14,240,0,0,3.7,10.4,2023-02-18T15:00:00Z,80,20,0,0,0,0,24,0,587,1,1,0,4.0,3,180,250,70,45,False,0
0,0,10,0,63.3,723,0.17,0.30,0.13,2.16,241,4,0,9.6,21.8,2023-02-25T17:30:00Z,75,13,0,0,0,0,25,0,1537,1,4,1,11.0,2,529,704,175,45,True,0
0,0,0,0,0.0,723,0.00,0.00,0.00,0.00,251,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,1,0,0,0,0,26,0,1415,0,2,3,0.0,0,213,452,239,45,False,0
0,0,0,0,0.0,723,0.00,0.00,0.00,0.00,261,0,0,0.0,0.0,2023-03-11T12:30:00Z,0,12,0,0,0,0,27,0,1058,0,0,1,0.0,0,-350,122,472,45,True,0
0,0,7,0,38.7,723,0.19,0.19,0.00,1.65,272,2,0,5.6,16.8,2023-03-18T15:00:00Z,31,2,0,0,0,0,28,0,940,0,0,3,0.0,1,-162,114,276,45,False,0
0,0,0,0,0.4,723,0.00,0.00,0.00,0.12,282,0,0,0.1,0.8,2023-04-01T14:00:00Z,18,9,0,0,0,0,29,0,944,0,1,2,0.0,1,1,187,186,45,True,0
0,0,2,0,19.2,723,0.07,0.90,0.83,1.38,62,1,0,4.1,8.0,2023-04-04T18:45:00Z,71,5,0,0,0,0,29,0,944,1,2,0,14.0,2,1,187,186,45,True,0
0,0,0,0,0.0,723,0.00,0.00,0.00,0.00,295,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,10,0,0,0,0,30,0,950,0,1,0,0.0,0,-8,119,127,45,False,0
0,0,0,0,0.0,723,0.00,0.00,0.00,0.00,308,0,0,0.0,0.0,2023-04-15T14:15:00Z,0,18,0,0,0,0,31,0,866,0,3,2,0.0,0,-90,35,125,45,False,0
0,0,0,0,0.0,723,0.00,0.00,0.00,0.00,312,0,0,0.0,0.0,2023-04-23T13:00:00Z,0,19,0,0,0,0,32,0,744,0,4,0,0.0,0,-111,9,120,45,True,0
0,0,0,0,0.0,723,0.00,0.00,0.00,0.00,330,0,0,0.0,0.0,2023-04-27T18:45:00Z,0,17,0,0,0,0,33,0,717,0,1,0,0.0,0,-42,20,62,45,False,0
0,0,0,0,0.0,723,0.00,0.00,0.00,0.00,332,0,0,0.0,0.0,2023-04-30T13:00:00Z,0,11,0,0,0,0,34,0,688,0,1,4,0.0,0,-31,23,54,45,True,0
0,0,0,0,0.0,723,0.00,0.00,0.00,0.00,341,0,0,0.0,0.0,2023-05-06T14:00:00Z,0,6,0,0,0,0,35,0,688,0,3,1,0.0,0,-1,57,58,45,True,0
0,0,0,0,0.0,723,0.00,0.00,0.00,0.00,355,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,7,0,0,0,0,36,0,660,0,0,2,0.0,0,-29,36,65,45,False,0
0,0,0,0,0.0,723,0.00,0.00,0.00,0.00,361,0,0,0.0,0.0,2023-05-20T14:00:00Z,0,14,0,0,0,0,37,0,704,0,1,0,0.0,0,40,100,60,45,True,0
