assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,95,0,0,0,0.0,5738,0.0,0,2016-10-30T16:00:00Z,30 Oct 16:00,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0.0,0,0,0,0,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,105,0,0,0,0.0,6336,0.0,0,2016-11-06T14:15:00Z,06 Nov 14:15,0,0,0,0,0,7,0,0,0,0,0,0,11,0,993,0,0,0,1,2,0.0,0,575,651,76,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,115,0,0,0,0.0,6935,0.0,0,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,0,0,0,9,0,0,0,0,0,0,12,0,2690,0,0,0,0,0,0.0,0,815,980,165,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,128,0,0,0,0.0,7536,0.0,0,2016-11-27T16:30:00Z,27 Nov 16:30,0,0,0,0,0,6,0,0,0,0,0,0,13,0,3073,0,0,0,0,1,0.0,0,154,292,138,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,132,0,0,0,0.0,8140,0.0,0,2016-12-03T15:00:00Z,03 Dec 15:00,0,0,0,0,0,5,0,0,0,0,0,0,14,0,3321,0,0,0,0,3,0.0,0,84,245,161,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,150,0,0,0,0.0,8745,0.0,0,2016-12-11T14:15:00Z,11 Dec 14:15,0,0,0,0,0,12,0,0,0,0,0,0,15,0,3740,0,0,0,0,1,0.0,0,209,345,136,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,159,0,0,0,0.0,9355,0.0,0,2016-12-14T20:00:00Z,14 Dec 20:00,0,0,0,0,0,14,0,0,0,0,0,0,16,0,4030,0,0,0,0,0,0.0,0,149,228,79,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,161,0,0,0,0.0,9969,0.0,0,2016-12-18T13:30:00Z,18 Dec 13:30,0,0,0,0,0,2,0,0,0,0,0,0,17,0,4179,0,0,0,3,1,0.0,0,45,173,128,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,178,0,0,0,0.0,10585,0.0,0,2016-12-28T19:45:00Z,28 Dec 19:45,0,0,0,0,0,17,0,0,0,0,0,0,18,0,4354,0,0,0,4,1,0.0,0,15,167,152,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,188,0,0,0,0.0,11203,0.0,0,2016-12-31T15:00:00Z,31 Dec 15:00,0,0,0,0,0,19,0,0,0,0,0,0,19,0,4551,0,0,0,2,1,0.0,0,102,220,118,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,193,0,0,0,0.0,11825,0.0,0,2017-01-02T15:00:00Z,02 Jan 15:00,0,0,0,0,0,6,0,0,0,0,0,0,20,0,4681,0,0,0,0,3,0.0,0,65,231,166,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,201,0,0,0,0.0,12449,0.0,0,2017-01-14T15:00:00Z,14 Jan 15:00,0,0,0,0,0,3,0,0,0,0,0,0,21,0,4943,0,0,0,0,1,0.0,0,119,400,281,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,218,0,0,0,0.0,13080,0.0,0,2017-01-22T12:00:00Z,22 Jan 12:00,0,0,0,0,0,8,0,0,0,0,0,0,22,0,5032,0,0,0,0,3,0.0,0,9,134,125,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,226,0,0,0,0.0,13714,0.0,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,0,0,0,16,0,0,0,0,0,0,23,0,5086,0,0,0,1,2,0.0,0,-25,86,111,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,237,0,0,0,0.0,14357,0.0,0,2017-02-04T15:00:00Z,04 Feb 15:00,0,0,0,0,0,20,0,0,0,0,0,0,24,0,5085,0,0,0,3,1,0.0,0,-27,45,72,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,248,0,0,0,0.0,15006,0.0,0,2017-02-11T15:00:00Z,11 Feb 15:00,0,0,0,0,0,15,0,0,0,0,0,0,25,0,5127,0,0,0,4,0,0.0,0,-19,86,105,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,268,0,0,0,0.0,16241,0.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,0,0,0,18,0,0,0,0,0,0,27,0,5177,0,0,0,4,3,0.0,0,5,80,75,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,288,0,0,0,0.0,17153,0.0,0,2017-03-19T14:15:00Z,19 Mar 14:15,0,0,0,0,0,17,0,0,0,0,0,0,29,0,5167,0,0,0,1,2,0.0,0,-13,33,46,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,298,0,0,0,0.0,17807,0.0,0,2017-04-01T16:30:00Z,01 Apr 17:30,0,0,0,0,0,2,0,0,0,0,0,0,30,0,5200,0,0,0,0,0,0.0,0,-8,60,68,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,310,0,0,0,0.0,18464,0.0,0,2017-04-05T18:45:00Z,05 Apr 19:45,0,0,0,0,0,5,0,0,0,0,0,0,31,0,5206,0,0,0,1,3,0.0,0,-3,28,31,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,319,0,0,0,0.0,19125,0.0,0,2017-04-08T14:00:00Z,08 Apr 15:00,0,0,0,0,0,19,0,0,0,0,0,0,32,0,5214,0,0,0,1,0,0.0,0,-2,38,40,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,325,0,0,0,0.0,19787,0.0,0,2017-04-15T16:30:00Z,15 Apr 17:30,0,0,0,0,0,10,0,0,0,0,0,0,33,0,5203,0,0,0,3,0,0.0,0,-46,34,80,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,334,0,0,0,0.0,20517,0.0,0,2017-04-25T18:45:00Z,25 Apr 19:45,0,0,0,0,0,4,0,0,0,0,0,0,34,0,5182,0,0,0,2,4,0.0,0,-38,21,59,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,345,0,0,0,0.0,21190,0.0,0,2017-04-29T14:00:00Z,29 Apr 15:00,0,0,0,0,0,7,0,0,0,0,0,0,35,0,5190,0,0,0,0,0,0.0,0,-12,32,44,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,357,0,0,0,0.0,21919,0.0,0,2017-05-07T12:30:00Z,07 May 13:30,0,0,0,0,0,9,0,0,0,0,0,0,36,0,5168,0,0,0,0,0,0.0,0,-31,22,53,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,257,0,0,0,0.0,21918,0.0,0,2017-05-10T18:45:00Z,10 May 19:45,0,0,0,0,0,1,0,0,0,0,0,0,36,0,5168,0,0,0,2,0,0.0,0,-31,22,53,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,365,0,0,0,0.0,22892,0.0,0,2017-05-13T14:00:00Z,13 May 15:00,0,0,0,0,0,12,0,0,0,0,0,0,37,0,5164,0,0,0,2,1,0.0,0,-13,52,65,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,279,0,0,0,0.0,22891,0.0,0,2017-05-17T18:45:00Z,17 May 19:45,0,0,0,0,0,11,0,0,0,0,0,0,37,0,5164,0,0,0,0,0,0.0,0,-13,52,65,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,378,0,0,0,0.0,23602,0.0,0,2017-05-21T14:00:00Z,21 May 15:00,0,0,0,0,0,14,0,0,0,0,0,0,38,0,5215,0,0,0,1,0,0.0,0,40,77,37,40,True,0,0
