assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,26,0,0,0,10,0,2,22,26.8,3,0,465,0,0,5,0,3,0,4.4,465,15.2,2,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,61,0,0,12,0,0,0,0,6,0,1,0,183158,4,0,0,0,4,2.0,2,0,0,0,70,False,0,0
0,51,0,0,0,9,0,3,41,25.2,4,0,465,0,0,20,2,2,0,4.5,990,15.4,1,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,90,0,0,2,0,0,0,0,2,0,2,0,178346,2,0,0,2,1,4.0,1,-14846,6497,21343,70,True,0,1
1,47,0,0,0,21,0,3,31,38.6,1,0,465,0,0,21,2,3,0,10.5,1517,33.4,3,2018-08-25T14:00:00Z,25 Aug 15:00,0,0,90,0,0,1,0,0,0,0,8,0,3,0,131561,3,2,0,1,3,33.0,5,-47094,856,47950,69,False,0,0
0,54,0,0,0,9,0,1,42,28.8,2,0,465,0,0,40,1,1,0,5.2,2048,14.2,1,2018-09-01T14:00:00Z,01 Sep 15:00,0,0,90,0,0,20,0,0,0,0,7,0,4,0,140038,3,0,0,1,0,9.0,2,3534,14707,11173,69,True,0,0
0,55,0,0,0,17,0,4,42,43.2,2,0,465,0,0,43,1,1,0,7.2,2585,22.2,3,2018-09-16T15:00:00Z,16 Sep 16:00,0,0,90,0,1,8,0,0,0,0,9,0,5,0,127016,4,2,1,3,1,7.0,2,-13533,3810,17343,69,False,0,0
0,27,0,0,0,5,1,1,19,11.8,3,0,465,0,0,60,2,0,0,3.3,3122,10.8,1,2018-09-23T12:30:00Z,23 Sep 13:30,0,0,73,0,0,6,0,0,0,0,8,0,6,0,117018,2,0,0,0,0,10.0,2,-10643,1862,12505,69,True,0,1
0,39,0,0,3,32,0,1,31,54.1,0,0,465,0,0,69,2,1,1,14.4,3660,57.2,3,2018-09-29T11:30:00Z,29 Sep 12:30,0,0,90,1,2,14,0,0,0,0,10,0,7,0,111187,1,1,0,1,3,33.0,10,-6518,1644,8162,68,True,0,0
0,59,1,0,0,22,0,0,48,87.8,0,0,465,0,0,71,0,1,0,11.4,4199,19.6,6,2018-10-05T19:00:00Z,05 Oct 20:00,0,0,90,0,1,3,0,0,0,0,5,0,8,0,151222,2,2,1,0,1,7.0,2,34783,37993,3210,68,False,0,0
0,20,0,0,0,3,0,0,17,3.0,0,0,465,0,0,89,0,1,0,1.9,4741,4.2,0,2018-10-20T14:00:00Z,20 Oct 15:00,0,0,56,0,0,17,0,0,0,0,3,0,9,0,148514,1,0,0,1,0,12.0,1,-1143,11837,12980,68,True,0,0
0,33,0,0,0,9,1,2,22,16.5,2,0,465,0,0,95,0,0,0,5.1,5287,15.4,1,2018-10-27T16:30:00Z,27 Oct 17:30,0,0,80,0,1,11,0,0,0,0,5,0,10,0,142348,3,0,0,1,1,19.0,3,-6656,6385,13041,68,False,0,0
0,75,1,1,2,44,0,0,57,29.1,3,0,465,0,0,109,1,2,2,17.5,5835,80.6,2,2018-11-03T15:00:00Z,03 Nov 15:00,0,0,90,0,0,4,0,0,0,0,9,0,11,0,137869,6,0,1,2,4,65.0,13,-5466,6373,11839,68,True,1,1
0,42,0,0,2,25,0,1,31,9.3,2,0,465,0,0,115,0,1,1,8.3,6385,36.6,0,2018-11-10T15:00:00Z,10 Nov 15:00,0,0,90,1,0,10,0,0,0,0,6,0,12,0,284567,3,0,1,1,1,37.0,9,138657,143613,4956,69,False,0,0
0,26,0,0,0,4,0,0,18,4.1,1,0,465,0,1,129,1,3,0,0.6,6937,1.4,0,2018-11-24T15:00:00Z,24 Nov 15:00,0,0,67,0,0,13,0,0,0,0,5,0,13,0,325688,2,0,0,4,0,0.0,2,42994,73904,30910,69,True,0,0
0,35,2,1,2,35,1,2,31,19.8,1,0,465,0,0,139,0,0,1,10.5,7490,49.4,2,2018-12-01T15:00:00Z,01 Dec 15:00,0,0,90,0,0,15,0,0,0,0,9,0,14,0,403580,3,0,0,3,0,36.0,10,72525,86825,14300,70,False,0,0
0,60,0,0,0,16,0,3,44,47.3,2,0,465,0,0,147,1,1,0,8.4,8046,14.8,3,2018-12-04T19:45:00Z,04 Dec 19:45,0,0,90,0,0,5,0,0,0,0,6,0,15,0,694223,1,1,0,1,3,22.0,2,279111,286094,6983,71,True,0,0
1,39,0,0,2,38,0,2,32,4.3,2,0,465,0,0,160,0,2,1,8.9,8604,42.8,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,83,0,0,7,0,0,0,0,5,0,16,0,837983,6,0,0,2,3,42.0,12,136707,159846,23139,72,True,1,0
1,42,0,0,0,25,1,3,32,25.6,2,0,465,0,0,163,1,0,0,9.0,9163,35.0,1,2018-12-15T17:30:00Z,15 Dec 17:30,0,0,90,0,2,9,0,0,0,0,7,0,17,0,1109789,2,2,1,2,0,29.0,6,268941,285343,16402,73,False,0,0
0,38,2,0,0,18,0,1,33,42.9,1,0,465,0,0,179,0,2,0,8.1,9725,18.4,3,2018-12-22T15:00:00Z,22 Dec 15:00,0,0,90,0,2,18,0,0,0,0,5,0,18,0,1208750,5,0,0,2,0,20.0,2,102023,128914,26891,74,True,0,0
0,51,0,0,3,51,0,0,40,33.3,2,0,465,0,0,188,0,1,2,18.5,10290,89.0,2,2018-12-27T19:45:00Z,27 Dec 19:45,0,0,90,0,1,16,0,0,0,0,7,0,19,0,1067133,2,0,1,2,1,63.0,15,-134581,31805,166386,73,False,1,0
0,44,0,0,0,2,0,0,28,32.2,1,0,465,0,0,192,0,2,0,5.8,10858,4.8,2,2018-12-30T14:15:00Z,30 Dec 14:15,0,0,90,0,0,4,0,0,0,0,4,0,20,0,1212431,7,0,1,0,2,21.0,2,123494,177509,54015,73,False,0,0
0,53,0,0,0,11,0,2,37,14.9,4,0,465,0,0,209,1,2,0,6.3,11426,11.0,1,2019-01-02T19:45:00Z,02 Jan 19:45,0,0,90,0,0,3,0,0,0,0,7,0,21,0,1246029,1,0,1,2,2,37.0,2,33357,130828,97471,74,True,0,0
0,38,1,0,0,18,1,2,30,56.3,5,0,465,0,0,220,1,0,0,9.3,11996,18.6,4,2019-01-12T12:30:00Z,12 Jan 12:30,0,0,90,0,1,1,0,0,0,0,4,0,22,0,1116501,4,1,2,0,1,18.0,3,-130226,80070,210296,74,True,0,0
0,63,0,0,0,6,0,1,45,25.9,2,0,465,0,0,222,1,2,0,4.7,12570,11.0,1,2019-01-19T15:00:00Z,19 Jan 15:00,0,0,90,1,2,2,0,0,0,0,11,0,23,0,1081502,8,0,0,0,2,10.0,2,-40990,110729,151719,73,False,0,0
0,53,0,0,0,3,0,0,37,5.7,3,0,465,0,0,236,0,3,0,1.3,13149,6.2,0,2019-01-29T19:45:00Z,29 Jan 19:45,0,0,90,0,0,20,0,0,0,0,9,0,24,0,946754,8,0,1,0,3,1.0,2,-136840,28883,165723,72,False,0,0
1,35,1,0,3,32,0,3,29,48.8,3,0,465,0,0,250,0,1,0,10.2,13779,37.6,4,2019-02-04T20:00:00Z,04 Feb 20:00,0,0,90,0,1,12,0,0,0,0,11,0,25,0,738978,6,2,0,1,1,16.0,8,-191585,10284,201869,71,True,0,0
0,52,1,0,0,17,0,2,38,30.8,3,0,465,0,0,252,1,1,0,6.1,14386,26.2,2,2019-02-09T15:00:00Z,09 Feb 15:00,0,0,90,0,0,7,0,0,0,0,7,0,26,0,834231,3,1,0,1,1,4.0,2,70459,124821,54362,71,False,0,0
0,54,0,0,0,9,0,0,43,40.6,1,0,465,0,0,270,1,1,0,6.3,14891,8.8,3,2019-02-22T19:45:00Z,22 Feb 19:45,0,0,75,0,1,9,0,0,0,0,5,0,27,0,1160701,3,0,1,1,3,14.0,2,248566,294841,46275,72,True,0,0
