assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,9,0,30.9,437,0.13,0.16,0.03,1.22,6,1,0,5.9,21.8,2024-08-17T14:00:00Z,90,0,0,0,0,0,0,0,False,3,0,0,0,0,1,0,43912,1,1,1,6.0,1,0,0,0,45,True,1
0,0,25,1,6.3,437,0.02,0.30,0.28,0.14,18,0,0,5.2,19.6,2024-08-24T14:00:00Z,90,0,0,0,0,0,0,0,False,17,0,0,0,0,2,0,48362,1,1,0,26.0,6,-570,3034,3604,45,False,0
0,0,1,0,11.7,437,0.03,0.15,0.12,0.74,29,1,0,2.7,7.4,2024-08-31T14:00:00Z,90,0,0,0,0,0,0,0,False,20,0,0,0,0,3,0,71770,1,1,1,8.0,2,16990,24310,7320,45,True,0
0,0,7,0,0.0,437,0.00,0.00,0.00,0.09,36,0,0,0.7,7.0,2024-09-14T14:00:00Z,10,0,0,0,0,0,0,0,False,12,0,0,0,0,4,0,66011,0,1,0,0.0,1,-6142,5611,11753,45,False,0
0,0,-1,0,0.3,437,0.00,0.00,0.00,0.55,42,0,0,0.6,5.4,2024-09-22T13:00:00Z,45,0,0,0,0,0,0,0,False,5,0,0,0,0,5,0,63914,0,2,2,0.0,0,-3094,1549,4643,45,False,1
0,0,2,0,1.1,437,0.00,0.00,0.00,0.01,59,0,0,0.5,2.2,2024-09-28T14:00:00Z,6,0,0,0,0,0,0,0,False,9,0,0,0,0,6,0,57154,0,1,0,2.0,1,-7310,1053,8363,45,True,0
0,0,0,0,0.3,437,0.00,0.16,0.16,1.03,65,0,0,3.4,5.4,2024-10-06T13:00:00Z,8,0,0,0,0,0,0,0,False,6,0,0,0,0,7,0,51831,0,1,1,28.0,0,-5839,505,6344,45,False,1
0,0,5,0,11.5,437,0.02,0.02,0.00,0.22,77,0,0,1.9,5.4,2024-10-21T19:00:00Z,12,0,0,0,0,0,0,0,False,7,0,0,0,0,8,0,49586,0,0,1,2.0,1,-2978,914,3892,44,True,0
0,0,8,0,0.5,437,0.00,0.00,0.00,0.06,88,0,0,0.8,5.0,2024-10-25T19:00:00Z,18,0,0,0,0,0,0,0,False,11,0,0,0,0,9,0,47760,0,3,1,2.0,1,-2014,587,2601,44,False,0
0,0,0,0,0.0,437,0.00,0.00,0.00,0.00,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,10,0,45551,0,0,3,0.0,0,-2438,753,3191,44,True,0
0,0,0,0,0.0,437,0.00,0.00,0.00,0.00,107,0,0,0.0,0.0,2024-11-10T14:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,11,0,43171,0,3,1,0.0,0,-2507,646,3153,43,True,0
0,0,-2,0,0.5,437,0.00,0.00,0.00,0.23,111,1,0,0.4,3.0,2024-11-23T15:00:00Z,18,0,0,0,0,0,0,0,False,1,0,0,0,0,12,0,41925,0,0,3,0.0,1,-1576,919,2495,43,False,0
0,0,19,1,20.2,437,0.11,0.14,0.03,0.44,127,0,0,3.2,10.6,2024-11-30T15:00:00Z,76,0,0,0,0,0,0,0,False,10,0,0,0,0,13,0,41677,1,0,1,1.0,6,-472,913,1385,43,True,0
0,0,0,0,0.0,437,0.00,0.00,0.00,0.00,138,0,0,0.0,0.0,2024-12-04T19:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,14,0,44733,0,0,3,0.0,0,2659,3859,1200,43,False,0
0,0,0,0,0.6,437,0.00,0.02,0.02,1.60,148,2,0,2.4,21.2,2024-12-07T17:30:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,15,0,44035,1,3,2,2.0,0,-687,1223,1910,43,False,1
0,0,14,0,3.8,437,0.02,0.11,0.09,0.42,158,1,0,3.9,15.2,2024-12-14T17:30:00Z,90,0,0,0,0,0,0,0,False,2,0,0,0,0,16,0,45172,1,1,2,20.0,2,680,2542,1862,43,True,0
1,2,35,1,12.9,437,0.10,0.13,0.03,0.72,162,0,0,4.7,28.6,2024-12-21T15:00:00Z,90,0,0,0,0,0,0,0,False,4,0,0,0,0,17,0,47082,1,2,0,5.0,11,1671,3231,1560,43,False,0
0,0,27,1,1.3,437,0.01,0.05,0.04,0.90,178,0,0,2.4,20.6,2024-12-26T15:00:00Z,90,0,0,0,0,0,0,0,False,18,0,0,0,0,18,0,58116,1,0,1,2.0,6,9985,12010,2025,43,True,0
0,0,27,1,1.2,437,0.01,0.23,0.22,0.81,184,0,0,3.3,15.0,2024-12-29T15:00:00Z,81,0,0,0,0,0,0,0,False,8,0,0,0,0,19,0,79632,1,2,0,17.0,6,20779,22835,2056,43,False,0
0,0,26,1,4.8,437,0.01,0.01,0.00,1.57,200,0,0,1.4,9.6,2025-01-06T20:00:00Z,90,0,0,0,0,0,0,0,False,20,0,0,0,0,20,0,123046,1,3,0,0.0,6,41747,51805,10058,43,False,0
0,0,7,0,0.4,437,0.00,0.00,0.00,1.97,206,1,0,3.2,32.0,2025-01-14T20:00:00Z,89,0,0,0,0,0,0,0,False,12,0,0,0,0,21,0,159353,1,1,1,0.0,2,34913,46675,11762,43,True,0
