assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,10,0,3.1,129,0.59,0.71,0.12,1.45,4,1,0,2.4,6.0,2023-08-12T14:00:00Z,90,12,0,0,0,0,1,0,360947,1,1,4,15.0,2,0,0,0,50,True,0
0,0,16,0,0.8,129,0.00,0.00,0.00,2.06,20,1,0,1.8,16.8,2023-08-19T14:00:00Z,90,20,0,0,0,0,2,0,409437,1,4,1,0.0,2,-1953,27306,29259,50,False,0
0,0,15,0,17.9,129,0.07,0.24,0.17,3.33,24,3,0,7.6,22.0,2023-08-26T16:30:00Z,90,19,0,0,0,0,3,0,396760,1,3,1,36.0,1,-23762,22701,46463,50,True,0
0,0,14,0,12.4,129,0.02,0.03,0.01,1.30,33,1,0,3.3,12.8,2023-09-02T16:30:00Z,90,15,0,0,0,0,4,0,380390,1,1,3,8.0,2,-23207,15287,38494,50,True,0
0,0,17,0,0.3,129,0.01,0.01,0.00,0.96,45,1,0,1.8,18.0,2023-09-16T14:00:00Z,90,14,0,0,0,0,5,0,383682,1,3,1,0.0,2,-8219,20600,28819,50,False,0
0,0,12,0,0.7,129,0.01,0.29,0.28,1.37,53,1,0,3.8,22.6,2023-09-24T13:00:00Z,90,3,0,0,0,0,6,0,373577,1,1,3,15.0,1,-14079,22140,36219,50,True,1
0,0,11,0,3.9,129,0.16,0.16,0.00,1.58,61,6,0,2.9,23.4,2023-09-30T11:30:00Z,90,2,0,0,0,0,7,0,358030,1,1,6,2.0,-2,-17719,13748,31467,50,False,1
0,1,27,0,15.1,129,0.06,0.85,0.79,2.49,72,2,1,10.9,52.6,2023-10-08T13:00:00Z,90,11,0,0,0,0,8,0,344242,1,2,2,41.0,8,-15319,10822,26141,50,True,0
0,0,20,0,1.1,129,0.02,0.02,0.00,0.75,86,2,0,2.2,20.6,2023-10-21T14:00:00Z,90,13,0,0,0,0,9,0,368227,1,1,2,0.0,1,17530,29657,12127,50,False,0
0,0,12,0,1.8,129,0.02,0.10,0.08,0.71,94,1,0,3.1,28.2,2023-10-29T14:00:00Z,90,10,0,0,0,0,10,0,397161,1,1,1,1.0,2,25770,40835,15065,50,True,0
0,0,11,0,3.4,129,0.05,0.19,0.14,0.71,103,1,0,4.5,30.4,2023-11-04T15:00:00Z,90,9,0,0,0,0,11,0,438002,1,1,1,11.0,1,36910,51081,14171,50,False,1
0,0,0,0,0.0,129,0.00,0.00,0.00,0.00,114,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,17,0,0,0,0,12,0,424595,0,1,1,0.0,0,-12406,36719,49125,50,True,0
0,0,6,0,2.3,129,0.40,0.52,0.12,2.55,128,2,0,3.7,21.6,2023-11-25T15:00:00Z,72,16,0,0,0,1,13,0,374505,1,3,2,13.0,-2,-50559,9726,60285,50,False,0
