assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,9,0,0,0,0.0,244,0.0,0,2016-08-14T12:30:00Z,14 Aug 13:30,0,0,0,0,0,2,0,0,0,0,0,0,1,0,47027,0,0,0,3,1,0.0,0,0,0,0,60,False,0,0
0,0,0,0,0,3,0,0,0,0.0,0,0,244,0,0,11,0,0,0,0.0,769,0.0,0,2016-08-19T19:00:00Z,19 Aug 20:00,0,0,2,0,0,13,0,0,0,0,0,0,2,0,57816,0,0,0,0,2,0.0,1,-1468,1992,3460,60,True,0,0
0,0,0,0,0,3,0,0,0,0.0,0,0,244,0,0,24,0,0,0,0.0,1309,0.0,0,2016-08-27T16:30:00Z,27 Aug 17:30,0,0,1,0,0,7,0,0,0,0,0,0,3,0,54318,0,0,0,1,0,0.0,1,-6966,652,7618,60,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,35,0,0,0,0.0,1859,0.0,0,2016-09-10T11:30:00Z,10 Sep 12:30,0,0,0,0,0,10,0,0,0,0,0,0,4,0,50147,0,0,0,2,1,0.0,0,-6195,479,6674,59,True,0,0
0,33,0,0,0,17,0,10,32,0.5,0,0,244,0,0,50,1,3,0,3.0,2440,15.8,0,2016-09-18T11:00:00Z,18 Sep 12:00,0,0,90,0,0,18,0,0,0,0,5,0,5,0,47477,0,1,2,1,3,14.0,1,-3576,335,3911,59,False,0,0
0,54,0,0,0,27,0,8,52,0.4,0,0,244,0,0,54,1,1,1,7.4,3024,52.6,0,2016-09-24T11:30:00Z,24 Sep 12:30,0,0,90,0,0,8,0,0,0,0,2,0,6,0,46598,0,0,0,1,4,21.0,8,-1886,639,2525,59,True,0,0
0,45,0,0,0,18,0,9,43,0.8,0,0,244,0,0,65,0,1,0,2.5,3610,20.0,0,2016-10-02T11:00:00Z,02 Oct 12:00,0,0,90,0,0,14,0,0,0,0,1,0,7,0,55275,0,1,0,1,1,4.0,2,6205,7231,1026,59,True,0,0
0,7,0,0,0,24,1,13,5,0.0,0,0,244,0,0,75,0,0,0,2.2,4199,21.6,0,2016-10-17T19:00:00Z,17 Oct 20:00,0,0,90,0,0,9,0,0,0,0,2,0,8,0,56773,0,0,0,0,0,0.0,6,-662,1336,1998,59,False,0,0
0,33,0,0,0,13,0,10,28,1.0,0,0,244,1,0,84,0,4,0,1.7,4791,14.4,0,2016-10-23T15:00:00Z,23 Oct 16:00,0,0,90,0,0,4,0,0,0,0,5,0,9,0,57145,0,0,0,0,4,2.0,0,-836,1455,2291,59,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,93,0,0,0,0.0,5385,0.0,0,2016-10-29T14:00:00Z,29 Oct 15:00,0,0,0,0,0,3,0,0,0,0,0,0,10,0,55630,0,0,0,0,0,0.0,0,-2145,1279,3424,59,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,109,0,0,0,0.0,5983,0.0,0,2016-11-06T15:00:00Z,06 Nov 15:00,0,0,0,0,0,16,0,0,0,0,0,0,11,0,51157,0,0,0,3,1,0.0,0,-4672,136,4808,59,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,113,0,0,0,0.0,6582,0.0,0,2016-11-19T12:30:00Z,19 Nov 12:30,0,0,0,0,0,1,0,0,0,0,0,0,12,0,47627,0,0,0,1,1,0.0,0,-3789,120,3909,58,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,127,0,0,0,0.0,7183,0.0,0,2016-11-27T16:30:00Z,27 Nov 16:30,0,0,0,0,0,20,0,0,0,0,0,0,13,0,45712,0,0,0,1,1,0.0,0,-1982,40,2022,58,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,133,0,0,0,0.0,7787,0.0,0,2016-12-04T16:00:00Z,04 Dec 16:00,0,0,0,0,0,6,0,0,0,0,0,0,14,0,44237,0,0,0,1,1,0.0,0,-1552,47,1599,58,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,149,0,0,0,0.0,8392,0.0,0,2016-12-11T14:15:00Z,11 Dec 14:15,0,0,0,0,0,17,0,0,0,0,0,0,15,0,43126,0,0,0,0,1,0.0,0,-1211,110,1321,58,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,155,0,0,0,0.0,9002,0.0,0,2016-12-14T20:00:00Z,14 Dec 20:00,0,0,0,0,0,5,0,0,0,0,0,0,16,0,42487,0,0,0,2,1,0.0,0,-692,77,769,58,False,0,0
0,0,0,0,0,3,0,0,0,0.0,0,0,244,0,0,169,0,0,0,0.0,9616,0.0,0,2016-12-17T17:30:00Z,17 Dec 17:30,0,0,1,0,0,19,0,0,0,0,0,0,17,0,42185,0,0,0,2,0,0.0,1,-379,173,552,58,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,177,0,0,0,0.0,10232,0.0,0,2016-12-26T15:00:00Z,26 Dec 15:00,0,0,0,0,0,15,0,0,0,0,0,0,18,0,42447,0,0,0,1,3,0.0,0,-133,261,394,58,True,0,0
0,24,0,0,0,6,0,3,22,0.3,0,0,244,0,0,187,1,1,0,1.0,10850,5.8,0,2016-12-31T15:00:00Z,31 Dec 15:00,0,0,71,1,0,12,0,0,0,0,3,0,19,0,42462,0,0,0,1,2,4.0,2,-205,262,467,58,True,0,0
0,10,0,0,0,5,0,4,9,0.3,0,0,244,0,0,200,0,0,0,1.2,11472,12.0,0,2017-01-02T17:15:00Z,02 Jan 17:15,0,0,26,0,0,20,0,0,0,0,0,0,20,0,42852,0,0,0,2,0,0.0,1,197,472,275,58,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,205,0,0,0,0.0,12096,0.0,0,2017-01-15T16:00:00Z,15 Jan 16:00,0,0,0,0,0,9,0,0,0,0,0,0,21,0,43190,0,0,0,1,1,0.0,0,-276,420,696,58,True,0,0
0,35,0,0,0,14,0,15,28,0.5,0,0,244,0,0,219,2,1,0,5.0,12727,25.0,0,2017-01-21T15:00:00Z,21 Jan 15:00,0,0,90,0,0,14,0,0,0,0,4,0,22,0,43284,1,0,1,1,1,24.0,2,-293,305,598,58,False,0,0
0,27,1,0,0,11,0,3,23,10.4,0,0,244,0,0,229,0,0,0,2.4,13361,11.8,1,2017-02-01T20:00:00Z,01 Feb 20:00,0,0,36,0,0,7,0,0,0,0,3,0,23,0,44437,0,1,0,0,0,2.0,1,659,994,335,58,True,0,0
1,45,0,0,1,44,1,21,41,10.3,0,0,244,0,0,235,0,0,0,7.6,14004,57.2,1,2017-02-05T16:00:00Z,05 Feb 16:00,0,0,90,0,0,8,0,0,0,0,1,0,24,0,44777,1,1,1,3,0,8.0,10,148,478,330,58,False,0,0
0,41,0,0,0,33,1,11,38,0.3,0,0,244,0,0,245,2,0,0,2.4,14653,21.4,0,2017-02-11T15:00:00Z,11 Feb 15:00,0,0,90,0,0,18,0,0,0,0,7,0,25,0,47626,0,2,0,0,2,2.0,6,2170,2473,303,58,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,263,0,0,0,0.0,15855,0.0,0,2017-03-04T12:30:00Z,04 Mar 12:30,0,0,0,0,0,2,0,0,0,0,0,0,27,0,52339,0,0,0,1,1,0.0,0,2284,2708,424,58,True,0,0
0,12,0,0,0,9,0,14,10,0.0,0,0,244,1,0,285,0,1,0,3.1,16800,24.6,0,2017-03-19T12:00:00Z,19 Mar 12:00,0,0,90,0,0,12,0,0,0,0,4,0,29,0,52461,1,0,1,3,1,6.0,2,214,641,427,58,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,297,0,0,0,0.0,17454,0.0,0,2017-04-01T14:00:00Z,01 Apr 15:00,0,0,0,0,0,19,0,0,0,0,0,0,30,0,51037,0,0,0,0,0,0.0,0,-1675,592,2267,58,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,305,0,0,0,0.0,18111,0.0,0,2017-04-04T19:00:00Z,04 Apr 20:00,0,0,0,0,0,6,0,0,0,0,0,0,31,0,49642,0,0,0,1,1,0.0,0,-1417,69,1486,58,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,317,0,0,0,0.0,18772,0.0,0,2017-04-09T12:30:00Z,09 Apr 13:30,0,0,0,0,0,15,0,0,0,0,0,0,32,0,48616,0,0,0,3,0,0.0,0,-1047,72,1119,58,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,323,0,0,0,0.0,19434,0.0,0,2017-04-16T15:00:00Z,16 Apr 16:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,47721,0,0,0,0,2,0.0,0,-946,92,1038,58,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,333,0,0,0,0.0,20125,0.0,0,2017-04-23T13:15:00Z,23 Apr 14:15,0,0,0,0,0,3,0,0,0,0,0,0,34,0,47124,0,0,0,2,0,0.0,0,-638,111,749,58,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,256,0,0,0,0.0,20124,0.0,0,2017-04-27T19:00:00Z,27 Apr 20:00,0,0,0,0,0,10,0,0,0,0,0,0,34,0,47124,0,0,0,0,0,0.0,0,-638,111,749,58,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,244,0,0,343,0,0,0,0.0,20837,0.0,0,2017-04-30T11:00:00Z,30 Apr 12:00,0,0,0,0,0,16,0,0,0,0,0,0,35,0,46774,0,0,0,1,1,0.0,0,-382,53,435,58,True,0,0
