assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,14,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,20,0,0,0,0,1,0,68531,0,0,2,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,14,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2024-08-24T16:30:00Z,0,False,2,0,0,0,0,2,0,74765,0,2,0,0.0,0,-9669,2378,12047,45,False,0
0,0,5,0,0.0,14,0.00,0.00,0.00,2.78,22,3,0,2.8,27.8,2024-08-31T14:00:00Z,90,False,4,0,0,0,0,3,4,107644,1,1,3,0.0,2,24647,41306,16659,44,False,0
0,0,12,0,0.0,14,0.00,0.00,0.00,2.67,38,3,0,4.5,45.4,2024-09-14T11:30:00Z,90,False,14,0,0,0,0,4,7,176635,1,3,0,0.0,3,56313,83072,26759,44,True,0
0,0,15,0,0.0,14,0.00,0.00,0.00,1.69,48,1,0,4.1,41.2,2024-09-21T14:00:00Z,90,False,10,0,0,0,0,5,5,206185,1,1,1,0.0,3,25228,34765,9537,44,True,0
0,0,5,0,0.0,14,0.00,0.00,0.00,1.38,52,3,0,2.3,22.8,2024-09-30T19:00:00Z,90,False,3,0,0,0,0,6,3,220949,1,1,3,0.0,2,12742,30311,17569,44,False,0
0,0,5,0,0.0,14,0.01,0.01,0.00,2.83,61,3,0,2.4,24.4,2024-10-05T14:00:00Z,90,False,1,0,0,0,0,7,3,222857,1,1,3,0.0,2,-695,14365,15060,44,False,0
0,0,-2,0,0.0,14,0.00,0.00,0.00,3.21,78,3,0,1.3,12.6,2024-10-19T14:00:00Z,90,False,11,0,0,0,0,8,1,234313,1,3,2,0.0,1,7016,17141,10125,44,True,0
0,0,24,0,0.0,14,0.00,0.00,0.00,2.95,89,1,0,4.1,41.0,2024-10-26T14:00:00Z,90,False,13,0,0,0,0,9,6,226240,1,0,1,0.0,4,-8085,5035,13120,44,False,0
0,2,33,1,0.0,14,0.00,0.00,0.00,1.56,98,0,0,3.3,32.8,2024-11-02T15:00:00Z,90,False,8,0,0,0,0,10,5,228937,1,0,1,0.0,9,-12,7559,7571,44,True,0
0,0,5,0,0.0,14,0.00,0.00,0.00,1.26,110,2,0,1.4,13.6,2024-11-09T15:00:00Z,90,False,20,0,0,0,0,11,2,245406,1,0,2,0.0,0,13422,18782,5360,44,False,1
0,0,0,0,0.0,14,0.00,0.00,0.00,0.00,120,0,0,0.0,0.0,2024-11-24T14:00:00Z,0,False,12,0,0,0,0,12,0,212243,0,3,2,0.0,0,-31217,2025,33242,44,True,0
0,0,0,0,0.0,14,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2024-11-29T20:00:00Z,0,False,5,0,0,0,0,13,0,190073,0,1,1,0.0,0,-23140,152,23292,44,False,0
0,0,0,0,0.0,14,0.00,0.00,0.00,0.00,140,0,0,0.0,0.0,2024-12-04T19:30:00Z,0,False,6,0,0,0,0,14,0,173309,0,5,1,0.0,0,-17341,207,17548,44,True,0
0,0,0,0,0.0,14,0.00,0.00,0.00,0.00,141,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,False,2,0,0,0,0,15,0,159379,0,0,1,0.0,0,-13969,144,14113,44,False,0
