assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,0,518,0.00,0.00,0.00,0.00,117,0,0,0.0,0.0,2025-11-22T15:00:00Z,0,False,12,0,0,0,0,0,12,0,5248,0,0,3,0,0.0,0,-100,0,100,54,False,0
0,0,0,0,0,0.0,0,518,0.00,0.00,0.00,0.00,127,0,0,0.0,0.0,2025-11-30T14:05:00Z,0,False,6,0,0,0,0,0,13,0,5204,0,0,2,0,0.0,0,-45,0,45,54,True,0
0,0,0,0,0,0.0,0,518,0.00,0.00,0.00,0.00,140,0,0,0.0,0.0,2025-12-03T19:30:00Z,0,False,20,0,0,0,0,0,14,0,5178,0,0,1,0,0.0,0,-28,0,28,54,False,0
0,0,0,0,0,0.0,0,518,0.00,0.00,0.00,0.00,144,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,9,0,0,0,0,0,15,0,5154,0,0,0,3,0.0,0,-26,0,26,54,False,0
0,0,0,0,0,0.0,0,518,0.00,0.00,0.00,0.00,158,0,0,0.0,0.0,2025-12-14T14:00:00Z,0,False,18,0,0,0,0,0,16,0,5107,0,0,0,3,0.0,0,-46,0,46,54,True,0
0,0,0,0,0,0.0,0,518,0.00,0.00,0.00,0.00,165,0,0,0.0,0.0,2025-12-22T20:00:00Z,0,False,10,0,0,0,0,0,17,0,5063,0,0,0,1,0.0,0,-46,0,46,54,False,0
0,0,0,0,0,0.0,0,518,0.00,0.00,0.00,0.00,178,0,0,0.0,0.0,2025-12-27T12:30:00Z,0,False,13,0,0,0,0,0,18,0,5031,0,0,2,1,0.0,0,-29,0,29,54,True,0
0,0,0,0,0,0.0,0,518,0.00,0.00,0.00,0.00,188,0,0,0.0,0.0,2025-12-30T19:30:00Z,0,False,9,0,0,0,0,0,19,0,5007,0,0,2,0,0.0,0,-25,0,25,54,True,0
0,0,0,0,0,0.0,0,518,0.00,0.00,0.00,0.00,191,0,0,0.0,0.0,2026-01-03T12:30:00Z,0,False,2,0,0,0,0,0,20,0,4994,0,0,1,3,0.0,0,-14,0,14,54,False,0
0,0,0,0,0,0.0,0,518,0.00,0.00,0.00,0.00,210,0,0,0.0,0.0,2026-01-06T20:00:00Z,0,False,19,0,0,0,0,0,21,0,4981,0,0,2,1,0.0,0,-14,0,14,54,False,0
0,0,0,0,0,0.0,0,518,0.00,0.00,0.00,0.00,217,0,0,0.0,0.0,2026-01-17T17:30:00Z,0,False,1,0,0,0,0,0,22,0,4956,0,0,0,0,0.0,0,-26,0,26,54,True,0
0,0,0,0,0,0.0,0,518,0.00,0.00,0.00,0.00,223,0,0,0.0,0.0,2026-01-25T14:00:00Z,0,False,5,0,0,0,0,0,23,0,4947,0,0,2,0,0.0,0,-7,0,7,54,False,0
0,0,0,0,0,0.0,0,518,0.00,0.00,0.00,0.00,237,0,0,0.0,0.0,2026-02-01T14:00:00Z,0,False,8,0,0,0,0,0,24,0,4929,0,0,1,1,0.0,0,-20,0,20,54,True,0
