assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,17,0,0,0,0,1,0,11502,0,1,4,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,15,0,0,0.0,0.0,2022-08-14T15:30:00Z,0,6,0,0,0,0,2,0,8823,0,2,2,0.0,0,-2549,0,2549,40,False,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,29,0,0,0.0,0.0,2022-08-20T11:30:00Z,0,20,0,0,0,0,3,0,7518,0,0,1,0.0,0,-1383,0,1383,40,True,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,38,0,0,0.0,0.0,2022-08-28T15:30:00Z,0,16,0,0,0,0,4,0,6775,0,2,0,0.0,0,-790,0,790,40,False,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,47,0,0,0.0,0.0,2022-08-31T18:45:00Z,0,19,0,0,0,0,5,0,6322,0,1,1,0.0,0,-470,0,470,40,False,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,59,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,9,0,0,0,0,6,0,5865,0,1,2,0.0,0,-458,0,458,40,True,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,79,0,0,0.0,0.0,2022-09-17T16:30:00Z,0,10,0,0,0,0,8,0,5357,0,2,6,0.0,0,-202,0,202,40,True,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,81,0,0,0.0,0.0,2022-10-01T11:30:00Z,0,1,0,0,0,0,9,0,5202,0,1,3,0.0,0,-219,0,219,40,False,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,93,0,0,0.0,0.0,2022-10-08T16:30:00Z,0,5,0,0,0,0,10,0,5036,0,1,0,0.0,0,-168,0,168,40,False,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,109,0,0,0.0,0.0,2022-10-15T16:30:00Z,0,8,0,0,0,0,11,0,4915,0,0,2,0.0,0,-128,0,128,40,True,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,119,0,0,0.0,0.0,2022-10-19T19:15:00Z,0,14,0,0,0,0,12,0,4686,0,0,2,0.0,0,-141,0,141,40,False,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,128,0,0,0.0,0.0,2022-10-23T15:30:00Z,0,15,0,0,0,0,13,0,4683,0,2,1,0.0,0,-94,0,94,40,True,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,132,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,3,0,0,0,0,14,0,4585,0,3,2,0.0,0,-104,0,104,40,False,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,148,0,0,0.0,0.0,2022-11-06T16:30:00Z,0,12,0,0,0,0,15,0,4474,0,2,1,0.0,0,-108,0,108,40,True,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,158,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,11,0,0,0,0,16,0,4402,0,3,4,0.0,0,-72,0,72,40,True,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,163,0,0,0.0,0.0,2022-12-26T12:30:00Z,0,4,0,0,0,0,17,0,4089,0,2,2,0.0,0,-317,0,317,40,False,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,178,0,0,0.0,0.0,2023-01-01T14:00:00Z,0,2,0,0,0,0,18,0,4046,0,2,0,0.0,0,-43,0,43,40,True,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,185,0,0,0.0,0.0,2023-01-04T20:00:00Z,0,7,0,0,0,0,19,0,4013,0,4,0,0.0,0,-33,0,33,40,False,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,199,0,0,0.0,0.0,2023-01-15T16:30:00Z,0,1,0,0,0,0,20,0,3959,0,2,0,0.0,0,-54,0,54,40,True,0
0,0,0,0,0.0,442,0.00000,0.00000,0.00000,0.00000,68,0,0,0.0,0.0,2023-01-19T20:00:00Z,0,13,0,0,0,0,20,0,3959,0,2,4,0.0,0,-54,0,54,40,False,0
