assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
1,3,47,0,14.2,110,0.01,1.01,1.00,0.61,8,1,1,10.8,50.2,2024-08-18T13:00:00Z,83,False,7,0,0,0,0,1,0,232431,1,1,2,44.0,11,0,0,0,60,True,1
0,0,7,0,0.8,110,0.01,0.01,0.00,2.52,16,2,0,0.8,5.0,2024-08-25T15:30:00Z,72,False,12,0,0,0,0,2,0,417530,1,0,2,2.0,2,104855,135516,30661,60,False,0
0,2,36,0,37.1,110,0.25,1.34,1.09,1.57,22,1,1,14.7,41.2,2024-08-31T14:00:00Z,90,False,17,0,0,0,0,3,0,738698,1,1,3,69.0,8,271078,368334,97256,61,True,0
0,2,31,0,4.8,110,0.00,0.34,0.34,0.68,37,2,1,7.4,33.8,2024-09-14T14:00:00Z,45,False,13,0,0,0,0,4,0,769897,1,1,2,35.0,7,29193,223277,194084,61,False,0
0,0,0,0,0.0,110,0.00,0.00,0.00,0.00,49,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,18,0,0,0,0,5,0,495998,0,1,3,0.0,0,-274961,81784,356745,61,False,0
0,0,0,0,0.0,110,0.00,0.00,0.00,0.00,53,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,19,0,0,0,0,6,0,291187,0,1,1,0.0,0,-208267,1851,210118,60,True,0
0,0,0,0,0.0,110,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,False,20,0,0,0,0,7,0,218924,0,3,5,0.0,0,-75589,1118,76707,59,True,0
0,0,1,0,1.7,110,0.01,0.01,0.00,0.36,75,0,0,0.4,0.0,2024-10-19T14:00:00Z,24,False,14,0,0,0,0,8,0,190161,0,1,2,2.0,1,-30132,2484,32616,59,False,0
1,1,38,0,2.9,110,0.02,1.46,1.44,1.30,83,3,1,9.9,40.6,2024-10-26T14:00:00Z,90,False,10,0,0,0,0,9,0,310897,1,3,4,55.0,10,112793,121111,8318,59,True,0
0,0,7,1,4.8,110,0.01,0.01,0.00,0.75,92,0,0,0.3,0.0,2024-11-04T20:00:00Z,71,False,9,0,0,0,0,10,0,576529,1,1,2,0.0,2,259084,279435,20351,60,False,0
0,3,60,0,6.0,110,0.02,0.62,0.60,2.61,101,2,2,11.9,67.4,2024-11-09T15:00:00Z,90,False,3,0,0,0,0,11,0,691218,1,2,3,46.0,13,115958,148521,32563,60,True,0
0,0,1,1,10.5,110,0.01,0.83,0.82,0.67,114,0,0,2.7,2.0,2024-11-23T15:00:00Z,71,False,8,0,0,0,0,12,0,913436,1,0,0,14.0,2,213781,275724,61943,61,False,0
0,2,36,0,15.5,110,0.05,0.83,0.78,1.06,121,1,1,7.9,42.6,2024-11-30T15:00:00Z,90,False,11,0,0,0,0,13,0,960196,1,1,4,21.0,8,44188,106630,62442,61,True,0
0,0,3,0,11.3,110,0.01,0.06,0.05,1.70,132,3,0,1.4,0.0,2024-12-04T20:15:00Z,70,False,2,0,0,0,0,14,0,1028869,1,1,3,4.0,2,68172,141044,72872,62,False,0
0,1,39,0,13.4,110,0.03,0.19,0.16,1.25,142,2,1,11.3,42.4,2024-12-07T15:00:00Z,86,False,15,0,0,0,0,15,0,1062724,1,2,4,57.0,7,33083,114561,81478,62,True,0
0,0,7,0,1.8,110,0.01,0.01,0.00,2.03,154,1,0,0.8,2.6,2024-12-15T19:00:00Z,75,False,6,0,0,0,0,16,0,1108600,1,1,2,4.0,2,40634,130103,89469,62,False,0
