assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,8,0,0,0,0.0,9,0.0,0,2016-08-14T15:00:00Z,14 Aug 16:00,0,0,0,0,0,9,0,0,0,0,0,0,1,0,279,0,0,0,4,3,0.0,0,0,0,0,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,13,0,0,0,0.0,534,0.0,0,2016-08-20T16:30:00Z,20 Aug 17:30,0,0,0,0,0,8,0,0,0,0,0,0,2,0,292,0,0,0,0,0,0.0,0,-22,9,31,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,28,0,0,0,0.0,1074,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,3,0,289,0,0,0,3,1,0.0,0,-24,10,34,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,31,0,0,0,0.0,1624,0.0,0,2016-09-10T14:00:00Z,10 Sep 15:00,0,0,0,0,0,13,0,0,0,0,0,0,4,0,361,0,0,0,1,2,0.0,0,-13,15,28,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,43,0,0,0,0.0,2205,0.0,0,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,0,0,0,7,0,0,0,0,0,0,5,0,451,0,0,0,4,1,0.0,0,-11,15,26,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,51,0,0,0,0.0,2789,0.0,0,2016-09-24T16:30:00Z,24 Sep 17:30,0,0,0,0,0,4,0,0,0,0,0,0,6,0,504,0,0,0,0,3,0.0,0,-26,14,40,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,61,0,0,0,0.0,3375,0.0,0,2016-10-02T15:30:00Z,02 Oct 16:30,0,0,0,0,0,3,0,0,0,0,0,0,7,0,559,0,0,0,1,0,0.0,0,-12,18,30,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,71,0,0,0,0.0,3964,0.0,0,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,0,0,0,16,0,0,0,0,0,0,8,0,641,0,0,0,2,3,0.0,0,-15,13,28,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,81,0,0,0,0.0,4556,0.0,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,0,0,0,12,0,0,0,0,0,0,9,0,658,0,0,0,0,0,0.0,0,-18,8,26,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,97,0,0,0,0.0,5150,0.0,0,2016-10-29T11:30:00Z,29 Oct 12:30,0,0,0,0,0,15,0,0,0,0,0,0,10,0,753,0,0,0,4,1,0.0,0,8,35,27,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,101,0,0,0,0.0,5748,0.0,0,2016-11-06T12:00:00Z,06 Nov 12:00,0,0,0,0,0,17,0,0,0,0,0,0,11,0,871,0,0,0,1,1,0.0,0,15,50,35,50,True,0,0
0,36,0,0,0,12,0,7,22,2.0,0,0,9,0,0,113,1,1,0,2.1,6347,19.4,0,2016-11-19T12:30:00Z,19 Nov 12:30,0,0,82,0,0,11,0,0,0,0,4,0,12,0,1915,1,2,0,1,1,0.0,2,842,924,82,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,121,0,0,0,0.0,6948,0.0,0,2016-11-27T14:15:00Z,27 Nov 14:15,0,0,0,0,0,2,0,0,0,0,0,0,13,0,9449,0,0,0,1,3,0.0,0,7318,7510,192,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,140,0,0,0,0.0,7552,0.0,0,2016-12-03T17:30:00Z,03 Dec 17:30,0,0,0,0,0,20,0,0,0,0,0,0,14,0,7473,0,0,0,5,1,0.0,0,-2106,501,2607,50,False,0,0
