assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,30,0,0,0,23,1,15,19,10.5,0,0,463,0,0,8,2,0,0,4.7,463,30.4,1,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,90,0,0,4,0,0,0,0,4,0,1,0,29273,1,0,1,0,0,6.0,6,0,0,0,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,463,0,0,16,0,0,0,0.0,988,0.0,0,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,0,0,0,8,0,0,0,0,0,0,2,0,32384,0,0,0,1,2,0.0,0,-179,1597,1776,50,False,0,0
0,52,0,0,0,10,0,2,46,0.8,1,0,463,0,0,28,0,2,0,1.0,1515,5.2,0,2018-08-25T14:00:00Z,25 Aug 15:00,0,0,90,0,0,11,0,0,0,0,1,0,3,0,25543,1,0,1,2,1,4.0,1,-6889,415,7304,49,True,0,0
0,41,0,0,0,27,1,10,37,0.6,0,0,463,0,0,35,1,0,0,2.9,2046,28.4,0,2018-09-01T14:00:00Z,01 Sep 15:00,0,0,90,0,0,7,0,0,0,0,2,0,4,0,23951,0,1,0,2,0,0.0,5,-2299,620,2919,49,False,0,1
0,60,0,0,0,14,0,7,44,3.3,0,0,463,0,0,47,0,2,0,2.3,2583,19.8,0,2018-09-17T19:00:00Z,17 Sep 20:00,0,0,90,0,0,3,0,0,0,0,3,0,5,0,24085,0,1,0,2,2,0.0,1,-544,1270,1814,49,True,0,0
0,52,0,0,0,18,0,12,44,0.9,0,0,463,0,0,58,1,3,0,3.6,3120,31.0,0,2018-09-22T14:00:00Z,22 Sep 15:00,0,0,90,0,0,12,0,0,0,0,6,0,6,0,22393,0,1,1,0,3,4.0,1,-1739,249,1988,49,False,0,0
0,47,0,0,0,14,0,6,40,4.0,0,0,463,0,0,70,3,2,0,3.4,3658,17.4,0,2018-09-29T14:00:00Z,29 Sep 15:00,0,0,90,0,0,20,0,0,0,0,4,0,7,0,21381,0,2,1,0,2,13.0,1,-1198,252,1450,49,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,463,0,0,78,0,0,0,0.0,4197,0.0,0,2018-10-07T13:15:00Z,07 Oct 14:15,0,0,0,0,0,6,0,0,0,0,0,0,8,0,20219,0,0,0,3,0,0.0,0,-1235,117,1352,48,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,463,0,0,82,0,0,0,0.0,4739,0.0,0,2018-10-20T14:00:00Z,20 Oct 15:00,0,0,0,0,0,2,0,0,0,0,0,0,9,0,18847,0,0,0,0,0,0.0,0,-1493,133,1626,48,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,463,0,0,98,0,0,0,0.0,5285,0.0,0,2018-10-27T14:00:00Z,27 Oct 15:00,0,0,0,0,0,15,0,0,0,0,0,0,10,0,17721,0,0,0,0,0,0.0,0,-1214,77,1291,48,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,463,0,0,107,0,0,0,0.0,5833,0.0,0,2018-11-04T15:00:00Z,04 Nov 15:00,0,0,0,0,0,13,0,0,0,0,0,0,11,0,16339,0,0,0,1,6,0.0,0,-1431,55,1486,47,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,463,0,0,120,0,0,0,0.0,6383,0.0,0,2018-11-10T15:00:00Z,10 Nov 15:00,0,0,0,0,0,18,0,0,0,0,0,0,12,0,15553,0,0,0,1,1,0.0,0,-853,71,924,47,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,463,0,0,125,0,0,0,0.0,6935,0.0,0,2018-11-24T15:00:00Z,24 Nov 15:00,0,0,0,0,0,9,0,0,0,0,0,0,13,0,14991,0,0,0,2,3,0.0,0,-641,87,728,47,False,0,0
0,30,0,0,0,12,0,10,24,0.8,0,0,463,0,0,140,2,2,0,2.0,7488,19.0,0,2018-12-01T17:30:00Z,01 Dec 17:30,0,0,90,0,0,14,0,0,0,0,7,0,14,0,14635,0,0,0,2,2,0.0,0,-395,33,428,46,True,0,1
0,0,0,0,0,0,0,0,0,0.0,0,0,463,0,0,150,0,0,0,0.0,8044,0.0,0,2018-12-05T20:00:00Z,05 Dec 20:00,0,0,0,0,0,17,0,0,0,0,0,0,15,0,14409,0,0,0,1,3,0.0,0,-261,44,305,46,False,0,0
