assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,578,0,0,166,0,0,0,0.0,9436,0.0,0,2017-12-13T20:00:00Z,13 Dec 20:00,0,0,0,0,0,10,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0.0,0,0,0,0,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,578,0,0,180,0,0,0,0.0,10014,0.0,0,2017-12-17T14:15:00Z,17 Dec 14:15,0,0,0,0,0,12,0,0,0,0,0,0,18,0,232,0,0,0,2,1,0.0,0,155,182,27,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,578,0,0,188,0,0,0,0.0,10594,0.0,0,2017-12-23T15:00:00Z,23 Dec 15:00,0,0,0,0,0,15,0,0,0,0,0,0,19,0,769,0,0,0,1,3,0.0,0,348,472,124,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,578,0,0,200,0,0,0,0.0,11179,0.0,0,2017-12-26T15:00:00Z,26 Dec 15:00,0,0,0,0,0,7,0,0,0,0,0,0,20,0,1128,0,0,0,0,0,0.0,0,232,364,132,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,578,0,0,210,0,0,0,0.0,11705,0.0,0,2017-12-31T16:30:00Z,31 Dec 16:30,0,0,0,0,0,1,0,0,0,0,0,0,21,0,1526,0,0,0,1,1,0.0,0,276,456,180,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,578,0,0,220,0,0,0,0.0,12351,0.0,0,2018-01-02T19:45:00Z,02 Jan 19:45,0,0,0,0,0,20,0,0,0,0,0,0,22,0,1748,0,0,0,1,2,0.0,0,179,335,156,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,578,0,0,230,0,0,0,0.0,12943,0.0,0,2018-01-13T15:00:00Z,13 Jan 15:00,0,0,0,0,0,3,0,0,0,0,0,0,23,0,2403,0,0,0,0,2,0.0,0,474,744,270,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,578,0,0,234,0,0,0,0.0,13541,0.0,0,2018-01-20T15:00:00Z,20 Jan 15:00,0,0,0,0,0,7,0,0,0,0,0,0,24,0,2714,0,0,0,1,1,0.0,0,211,416,205,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,578,0,0,246,0,0,0,0.0,14144,0.0,0,2018-01-31T20:00:00Z,31 Jan 20:00,0,0,0,0,0,11,0,0,0,0,0,0,25,0,3034,0,0,0,0,3,0.0,0,197,400,203,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,578,0,0,260,0,0,0,0.0,14757,0.0,0,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,0,0,0,14,0,0,0,0,0,0,26,0,3462,0,0,0,3,2,0.0,0,361,506,145,40,True,0,0
