h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.949316,1.61307,0.949316,1.61307,"{'att': 247, 'def': 30}","{'att': 188, 'def': 6}",10,3,0,2,0.7955000000000001,l,2020-09-14 17:00:00,0,0,1,0,-0.663754
a,0.849709,0.80527,0.0885404,0.80527,"{'att': 247, 'def': 14}","{'att': 89, 'def': 20}",2,17,0,1,1.4646,l,2020-09-21 17:00:00,0,0,1,0,-0.7167296000000001
h,1.53278,1.46641,1.53278,1.46641,"{'att': 335, 'def': 29}","{'att': 152, 'def': 17}",11,2,0,1,1.4471999999999998,l,2020-09-27 11:00:00,0,0,1,0,0.06637000000000004
a,0.144994,0.667131,0.144994,0.667131,"{'att': 445, 'def': 23}","{'att': 167, 'def': 12}",3,4,1,2,0.658,l,2020-10-04 13:00:00,0,0,1,0,-0.5221370000000001
h,1.66363,1.35611,0.902464,0.594945,"{'att': 349, 'def': 23}","{'att': 216, 'def': 17}",1,1,1,1,1.6344,d,2020-10-18 11:00:00,0,1,0,1,0.3075190000000001
a,1.39788,2.40286,0.636707,2.40286,"{'att': 393, 'def': 20}","{'att': 170, 'def': 12}",8,7,1,2,0.6184,l,2020-10-24 19:00:00,0,0,1,0,-1.766153
h,0.687544,1.89643,0.687544,1.89643,"{'att': 449, 'def': 24}","{'att': 188, 'def': 12}",3,9,0,1,0.4224,l,2020-10-31 12:30:00,0,0,1,0,-1.2088860000000001
a,0.743967,2.87622,0.743967,2.87622,"{'att': 470, 'def': 16}","{'att': 145, 'def': 10}",5,14,1,4,0.1844,l,2020-11-07 17:30:00,0,0,1,0,-2.132253
h,0.692374,2.1142,0.692374,2.1142,"{'att': 232, 'def': 16}","{'att': 254, 'def': 17}",7,10,0,1,0.39990000000000003,l,2020-11-22 14:00:00,0,0,1,0,-1.4218259999999998
a,3.36544,1.71644,3.36544,1.71644,"{'att': 198, 'def': 15}","{'att': 182, 'def': 19}",11,6,0,1,2.3808,l,2020-11-28 20:00:00,0,0,1,0,1.649
h,0.290743,1.3904,0.290743,1.3904,"{'att': 366, 'def': 21}","{'att': 111, 'def': 20}",3,5,1,2,0.42510000000000003,l,2020-12-06 14:15:00,0,0,1,0,-1.099657
a,0.219115,2.27973,0.219115,2.27973,"{'att': 370, 'def': 28}","{'att': 94, 'def': 18}",1,7,0,3,0.1313,l,2020-12-13 12:00:00,0,0,1,0,-2.060615
h,1.23525,1.78667,1.23525,1.78667,"{'att': 312, 'def': 29}","{'att': 146, 'def': 14}",10,6,2,3,0.9158,l,2020-12-17 20:00:00,0,0,1,0,-0.55142
a,1.03713,2.90097,1.03713,2.90097,"{'att': 266, 'def': 11}","{'att': 76, 'def': 10}",4,14,1,1,0.2956,d,2020-12-20 12:00:00,0,1,0,1,-1.86384
h,1.25106,0.568803,1.25106,0.568803,"{'att': 323, 'def': 30}","{'att': 201, 'def': 18}",3,8,0,1,2.0613,l,2020-12-26 20:00:00,0,0,1,0,0.6822570000000001
a,0.492578,0.973831,0.492578,0.973831,"{'att': 156, 'def': 19}","{'att': 248, 'def': 20}",3,7,0,1,0.8198000000000001,l,2020-12-29 18:00:00,0,0,1,0,-0.481253
a,0.323158,0.598888,0.323158,0.598888,"{'att': 187, 'def': 28}","{'att': 301, 'def': 24}",7,5,0,2,0.9681,l,2021-01-02 15:00:00,0,0,1,0,-0.27573
h,2.01315,1.04745,1.25198,1.04745,"{'att': 136, 'def': 17}","{'att': 240, 'def': 10}",12,2,1,0,2.108,w,2021-01-12 18:00:00,1,0,0,3,0.2045300000000001
