assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,827,0.00,0.00,0.00,0.00,260,0,0,0.0,0.0,2024-02-25T13:30:00Z,0,20,0,0,0,0,26,0,0,0,0,1,0.0,0,0,0,0,40,False,0
0,0,0,0,0.0,827,0.00,0.00,0.00,0.00,269,0,0,0.0,0.0,2024-03-04T20:00:00Z,0,1,0,0,0,0,27,0,103,0,6,0,0.0,0,32,34,2,40,True,0
0,0,0,0,0.0,827,0.00,0.00,0.00,0.00,273,0,0,0.0,0.0,2024-03-09T15:00:00Z,0,3,0,0,0,0,28,0,198,0,2,2,0.0,0,15,40,25,40,False,0
0,0,0,0,0.0,827,0.00,0.00,0.00,0.00,299,0,0,0.0,0.0,2024-03-30T15:00:00Z,0,10,0,0,0,0,30,0,359,0,3,3,0.0,0,8,20,12,40,True,0
0,0,0,0,0.0,827,0.00,0.00,0.00,0.00,308,0,0,0.0,0.0,2024-04-04T18:30:00Z,0,11,0,0,0,0,31,0,396,0,1,3,0.0,0,-2,11,13,40,False,0
0,0,0,0,0.0,827,0.00,0.00,0.00,0.00,318,0,0,0.0,0.0,2024-04-07T16:30:00Z,0,7,0,0,0,0,32,0,442,0,2,2,0.0,0,5,18,13,40,True,0
0,0,0,0,0.0,827,0.00,0.00,0.00,0.00,323,0,0,0.0,0.0,2024-04-13T14:00:00Z,0,4,0,0,0,0,33,0,515,0,0,2,0.0,0,17,41,24,40,False,0
0,0,0,0,0.0,827,0.00,0.00,0.00,0.00,338,0,0,0.0,0.0,2024-04-20T14:00:00Z,0,6,0,0,0,0,34,0,614,0,4,1,0.0,0,3,42,39,40,True,0
0,0,0,0,0.0,827,0.00,0.00,0.00,0.00,288,0,0,0.0,0.0,2024-04-24T19:00:00Z,0,14,0,0,0,0,34,0,614,0,2,4,0.0,0,3,42,39,40,False,0
0,0,0,0,0.0,827,0.00,0.00,0.00,0.00,346,0,0,0.0,0.0,2024-04-27T14:00:00Z,0,15,0,0,0,0,35,0,643,0,1,5,0.0,0,5,30,25,40,False,0
0,0,0,0,0.0,827,0.00,0.00,0.00,0.00,360,0,0,0.0,0.0,2024-05-04T14:00:00Z,0,16,0,0,0,0,36,0,673,0,3,1,0.0,0,-9,24,33,40,True,0
0,0,0,0,0.0,827,0.00,0.00,0.00,0.00,363,0,0,0.0,0.0,2024-05-11T14:00:00Z,0,9,0,0,0,0,37,0,799,0,0,1,0.0,0,59,79,20,40,False,0
0,0,0,0,0.0,827,0.00,0.00,0.00,0.00,380,0,0,0.0,0.0,2024-05-19T15:00:00Z,0,18,0,0,0,0,38,0,875,0,3,0,0.0,0,19,85,66,40,True,0
