assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,False,18,0,0,0,0,1,0,65236,0,1,1,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,15,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,False,9,0,0,0,0,2,0,71540,0,1,2,0.0,0,422,2677,2255,40,False,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,26,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,False,2,0,0,0,0,3,0,74080,0,2,1,0.0,0,410,5128,4718,40,True,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,34,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,False,7,0,0,0,0,4,0,71777,0,2,2,0.0,0,-3143,3110,6253,40,False,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,45,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,8,0,0,0,0,5,0,70615,0,1,1,0.0,0,-1470,1193,2663,40,True,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,51,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,1,0,0,0,0,6,0,69678,0,2,4,0.0,0,-1395,4859,6254,40,False,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,False,3,0,0,0,0,7,0,69249,0,0,1,0.0,0,-906,1860,2766,40,True,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,78,0,0,0.0,0.0,2024-10-19T14:00:00Z,0,False,17,0,0,0,0,8,0,68497,0,3,2,0.0,0,-1095,1322,2417,40,False,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2024-10-25T19:00:00Z,0,False,16,0,0,0,0,9,0,67679,0,3,1,0.0,0,-920,622,1542,40,True,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,False,10,0,0,0,0,10,0,67008,0,1,1,0.0,0,-844,903,1747,40,False,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,106,0,0,0.0,0.0,2024-11-10T14:00:00Z,0,False,14,0,0,0,0,11,0,65448,0,0,3,0.0,0,-1598,303,1901,40,False,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,117,0,0,0.0,0.0,2024-11-23T12:30:00Z,0,False,6,0,0,0,0,12,0,63626,0,2,1,0.0,0,-1931,310,2241,40,True,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,121,0,0,0.0,0.0,2024-11-30T15:00:00Z,0,False,4,0,0,0,0,13,0,62795,0,1,4,0.0,0,-964,271,1235,40,False,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,137,0,0,0.0,0.0,2024-12-03T20:15:00Z,0,False,19,0,0,0,0,14,0,61784,0,1,3,0.0,0,-1112,269,1381,40,True,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,147,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,5,0,0,0,0,15,0,60843,0,2,2,0.0,0,-991,274,1265,40,True,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,157,0,0,0.0,0.0,2024-12-14T15:00:00Z,0,False,15,0,0,0,0,16,0,60385,0,0,4,0.0,0,-642,600,1242,40,False,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,167,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,False,20,0,0,0,0,17,0,66580,0,3,0,0.0,0,4204,5555,1351,39,True,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,175,0,0,0.0,0.0,2024-12-26T20:00:00Z,0,False,12,0,0,0,0,18,0,82239,0,1,3,0.0,0,12209,14642,2433,39,False,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,187,0,0,0.0,0.0,2024-12-29T14:30:00Z,0,False,13,0,0,0,0,19,0,91145,0,2,0,0.0,0,9450,12835,3385,39,True,0
0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,191,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,False,2,0,0,0,0,20,0,102017,0,1,2,0.0,0,9155,14395,5240,39,False,0
