assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,13,1,0,0,14,1,5,9,17.9,2,0,647,0,0,234,0,0,0,2.7,14407,8.8,1,2017-02-04T15:00:00Z,04 Feb 15:00,0,0,79,0,0,9,0,0,0,0,6,0,24,0,2804,4,1,0,0,2,0.0,3,2750,2795,45,55,True,0,0
0,26,0,0,0,7,0,2,22,25.5,2,0,647,0,0,241,0,1,0,4.2,15056,10.2,1,2017-02-11T12:30:00Z,11 Feb 12:30,0,0,59,0,2,1,0,0,0,0,2,0,25,0,5017,2,0,0,0,2,6.0,1,2038,2198,160,55,False,0,0
1,18,0,0,0,17,0,2,14,24.9,1,0,647,0,0,254,0,1,0,6.8,15582,7.2,1,2017-02-25T15:00:00Z,25 Feb 15:00,0,0,90,0,2,3,0,0,0,0,1,0,26,0,6243,0,0,3,1,1,36.0,5,1124,1412,288,55,True,0,0
1,23,0,0,0,11,0,2,18,44.9,0,0,647,0,0,261,3,3,0,6.5,16295,3.6,3,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,90,0,0,8,0,0,0,0,5,0,27,0,7544,3,0,3,1,3,16.0,5,1239,1564,325,55,False,0,0
0,21,0,1,0,-1,0,1,14,23.0,3,0,647,0,0,276,2,1,0,10.4,16553,9.4,2,2017-03-11T15:00:00Z,11 Mar 15:00,0,0,90,3,0,16,0,0,0,0,1,0,28,0,15358,5,1,1,1,2,72.0,2,7587,7883,296,55,True,0,0
0,10,0,0,0,6,0,0,6,15.5,0,0,647,0,0,283,0,3,0,2.0,17203,4.0,1,2017-03-18T15:00:00Z,18 Mar 15:00,0,0,27,0,0,6,0,0,0,0,0,0,29,0,13183,0,1,0,0,4,0.0,1,-2212,493,2705,55,False,0,0
2,12,0,1,0,18,0,0,10,25.5,0,0,647,0,0,294,1,0,0,7.1,17857,34.6,2,2017-04-01T14:00:00Z,01 Apr 15:00,0,0,45,0,0,20,0,0,0,0,3,0,30,0,11987,1,0,1,1,2,11.0,7,-1251,291,1542,55,True,0,0
1,27,1,0,0,14,0,1,22,36.0,1,0,647,0,0,303,0,2,0,9.5,18514,17.2,3,2017-04-05T18:45:00Z,05 Apr 19:45,0,0,87,0,0,12,0,0,0,0,4,0,31,0,14693,6,0,3,2,4,42.0,5,2650,2960,310,55,True,0,0
0,20,0,0,0,3,0,0,16,15.3,0,0,647,0,0,314,0,3,0,4.2,19175,0.0,1,2017-04-08T14:00:00Z,08 Apr 15:00,0,0,90,0,0,10,0,0,0,0,4,0,32,0,14733,3,0,2,1,3,28.0,2,-3,1147,1150,55,False,0,0
0,28,0,0,0,6,0,1,18,17.1,3,0,647,0,0,326,0,3,0,5.6,19837,9.0,1,2017-04-15T14:00:00Z,15 Apr 15:00,0,0,90,1,0,14,0,0,0,0,2,0,33,0,14476,3,0,0,1,3,30.0,2,-308,972,1280,55,False,0,0
0,17,1,0,0,12,1,2,13,30.8,2,0,647,0,0,335,1,0,0,4.4,20570,8.8,2,2017-04-22T14:00:00Z,22 Apr 15:00,0,0,89,1,1,18,0,0,0,0,3,0,34,0,13687,2,0,0,0,2,4.0,3,-885,754,1639,55,True,0,0
0,23,0,0,0,-2,1,2,21,19.3,0,0,647,0,0,345,2,0,0,3.2,21240,0.0,1,2017-04-29T14:00:00Z,29 Apr 15:00,0,0,82,1,0,13,0,0,0,0,2,0,35,0,13275,5,0,2,0,0,13.0,3,-468,708,1176,55,False,0,0
0,31,2,0,0,11,0,3,20,27.2,1,0,647,0,0,355,1,2,0,4.7,21972,7.8,2,2017-05-06T14:00:00Z,06 May 15:00,0,0,90,0,1,15,0,0,0,0,7,0,36,0,14537,4,0,0,2,0,12.0,1,1172,2186,1014,55,True,0,1
0,28,0,0,0,8,0,0,17,23.5,2,0,647,0,0,362,1,4,0,5.7,22965,5.8,1,2017-05-14T11:00:00Z,14 May 12:00,0,0,90,0,1,5,0,0,0,0,1,0,37,0,12256,2,1,1,0,4,28.0,2,-2311,264,2575,55,False,0,0
0,8,1,0,0,8,0,1,4,14.5,1,0,647,0,0,374,1,4,0,3.3,23652,7.2,1,2017-05-21T14:00:00Z,21 May 15:00,0,0,45,0,1,17,0,0,0,0,2,0,38,0,10898,0,0,0,7,1,11.0,1,-1378,97,1475,55,True,0,0
