assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,16,0,12.6,307,0.01,0.01,0.00,1.28,9,1,0,4.1,26.4,2023-08-13T15:30:00Z,90,7,0,0,0,0,1,0,293741,1,1,1,2.0,2,0,0,0,65,False,0
0,0,19,0,50.2,307,0.21,0.21,0.00,1.29,14,1,0,7.0,19.8,2023-08-19T14:00:00Z,90,3,0,0,0,0,2,0,392028,1,1,3,0.0,2,25781,48897,23116,65,True,0
0,0,13,0,19.2,307,0.06,0.06,0.00,2.00,29,1,0,3.2,12.6,2023-08-27T15:30:00Z,90,15,0,0,0,0,3,0,395601,1,2,1,0.0,2,-17337,30615,47952,65,False,0
0,0,26,1,19.8,307,0.09,0.09,0.00,0.66,37,0,0,4.4,22.2,2023-09-03T13:00:00Z,90,2,0,0,0,0,4,0,416484,1,0,3,2.0,6,1223,30508,29285,65,True,0
0,3,36,0,35.7,307,0.11,0.53,0.42,0.63,50,1,1,11.1,54.6,2023-09-16T11:30:00Z,90,20,0,0,0,0,5,0,504069,1,3,1,21.0,11,54070,79540,25470,65,False,0
0,0,21,0,66.7,307,0.28,0.28,0.00,1.11,57,1,0,8.8,21.6,2023-09-24T13:00:00Z,90,19,0,0,0,0,6,0,671040,1,1,3,0.0,2,140724,161365,20641,66,True,0
0,0,13,0,53.3,307,0.18,0.23,0.05,2.10,68,2,0,9.2,19.2,2023-09-30T16:30:00Z,90,18,0,0,0,0,7,0,680192,1,1,2,19.0,0,4332,51171,46839,66,False,1
0,0,23,0,26.8,307,0.05,0.05,0.00,2.30,72,2,0,4.9,19.8,2023-10-08T13:00:00Z,90,5,0,0,0,0,8,0,680677,1,2,2,2.0,1,-7100,47357,54457,66,False,0
0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2023-10-21T11:30:00Z,0,9,0,0,0,0,9,0,499626,0,0,2,0.0,0,-180381,16519,196900,66,True,0
0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,97,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,16,0,0,0,0,10,0,358196,0,0,3,0.0,0,-144825,269,145094,65,True,0
0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,105,0,0,0.0,0.0,2023-11-05T16:30:00Z,0,12,0,0,0,0,11,0,302040,0,1,1,0.0,0,-58584,250,58834,65,False,0
0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,117,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,4,0,0,0,0,12,0,278401,0,0,3,0.0,0,-24437,210,24647,64,True,0
0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,126,0,0,0.0,0.0,2023-11-25T12:30:00Z,0,13,0,0,0,0,13,0,261472,0,1,1,0.0,0,-17268,226,17494,64,False,0
0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,136,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,10,0,0,0,0,14,0,254619,0,3,4,0.0,0,-7471,155,7626,64,True,0
0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,147,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,17,0,0,0,0,15,0,250349,0,2,0,0.0,0,-4497,104,4601,64,False,0
0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,153,0,0,0.0,0.0,2023-12-09T12:30:00Z,0,8,0,0,0,0,16,0,246580,0,2,1,0.0,0,-3834,116,3950,64,False,0
0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,166,0,0,0.0,0.0,2023-12-17T16:30:00Z,0,14,0,0,0,0,17,0,242605,0,0,0,0.0,0,-4027,399,4426,64,True,0
0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,174,0,0,0.0,0.0,2023-12-23T17:30:00Z,0,1,0,0,0,0,18,0,240324,0,1,1,0.0,0,-2462,163,2625,64,True,0
0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,185,0,0,0.0,0.0,2023-12-26T17:30:00Z,0,6,0,0,0,0,19,0,238712,0,2,0,0.0,0,-1717,165,1882,64,False,0
0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,194,0,0,0.0,0.0,2024-01-01T20:00:00Z,0,15,0,0,0,0,20,0,236793,0,2,4,0.0,0,-1975,206,2181,64,True,0
0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,202,0,0,0.0,0.0,2024-01-21T16:30:00Z,0,3,0,0,0,0,21,0,233888,0,4,0,0.0,0,-3052,1083,4135,64,False,0
