assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
1,0,24,0,24.6,204,3,4,0,6.2,36.4,2020-09-12T16:30:00Z,90,11,0,0,0,0,1,0,138291,3,4,1.0,5,0,0,0,50,False,0
0,0,20,0,33.6,204,13,3,0,6.0,26.4,2020-09-19T14:00:00Z,90,8,0,0,0,0,2,0,245486,3,4,0.0,2,57398,84308,26910,50,True,0
0,0,22,1,65.8,204,25,0,0,9.0,24.2,2020-09-27T11:00:00Z,90,15,0,0,0,0,3,0,237705,1,0,0.0,2,-11953,35925,47878,50,False,1
0,0,13,0,6.0,204,33,1,0,3.4,21.2,2020-10-03T16:30:00Z,90,12,0,0,0,0,4,0,228955,1,1,7.0,2,-14112,17978,32090,50,True,0
0,0,6,0,17.8,204,42,1,0,2.8,10.2,2020-10-19T19:00:00Z,90,20,0,0,0,0,5,0,211012,1,0,0.0,1,-22083,12629,34712,50,True,1
0,0,0,0,0.0,204,50,0,0,0.0,0.0,2020-10-23T19:00:00Z,0,2,0,0,0,0,6,0,160839,3,0,0.0,0,-49893,3044,52937,50,False,0
0,0,0,0,0.0,204,62,0,0,0.0,0.0,2020-11-02T20:00:00Z,0,9,0,0,0,0,7,0,123015,4,1,0.0,0,-40271,204,40475,50,True,0
0,0,0,0,0.0,204,72,0,0,0.0,0.0,2020-11-07T15:00:00Z,0,6,0,0,0,0,8,0,104253,1,4,0.0,0,-19691,193,19884,49,False,0
0,0,8,1,20.9,204,82,0,0,3.2,9.6,2020-11-22T16:30:00Z,90,1,0,0,0,0,9,0,93290,0,0,1.0,2,-11094,530,11624,49,True,1
0,0,16,1,15.1,204,93,0,0,5.8,17.6,2020-11-28T17:30:00Z,90,7,0,0,0,0,10,0,94040,1,0,25.0,3,-484,2051,2535,49,False,0
1,2,29,0,15.5,204,102,3,0,5.3,37.4,2020-12-05T20:00:00Z,90,5,0,0,0,0,11,0,94635,1,3,0.0,7,159,3469,3310,49,False,0
0,0,13,0,2.3,204,113,2,0,1.3,9.4,2020-12-11T20:00:00Z,90,19,0,0,0,0,12,0,104930,2,1,1.0,2,8928,11149,2221,49,True,0
0,0,13,0,20.8,204,122,2,0,3.7,16.0,2020-12-16T18:00:00Z,90,14,0,0,0,0,13,0,107423,2,5,0.0,1,2531,5714,3183,49,True,1
0,0,2,0,0.8,204,134,4,0,1.2,11.2,2020-12-20T16:30:00Z,45,13,0,0,0,0,14,0,106577,2,6,0.0,1,-964,3550,4514,49,False,0
0,0,16,1,0.6,204,142,0,0,2.7,26.6,2020-12-27T12:00:00Z,90,4,0,0,0,0,15,0,107124,0,1,0.0,3,-98,5379,5477,49,True,0
0,0,20,1,29.7,204,158,0,0,7.1,31.8,2020-12-29T18:00:00Z,90,18,0,0,0,0,16,0,106020,5,0,9.0,3,-1269,2189,3458,49,False,0
0,0,15,0,4.0,204,167,3,0,3.8,25.8,2021-01-02T12:30:00Z,90,17,0,0,0,0,17,0,104096,0,3,8.0,1,-2240,3018,5258,49,False,1
0,0,0,0,0.0,204,182,0,0,0.0,0.0,2021-01-16T15:00:00Z,0,3,0,0,0,0,19,0,85667,1,0,0.0,0,-6166,65,6231,49,True,0
0,0,10,0,15.1,204,196,1,0,3.0,14.4,2021-01-26T18:00:00Z,90,14,0,0,0,0,20,0,84134,2,1,0.0,2,-2269,809,3078,49,False,0
