assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
1,52,0,0,0,21,0,1,41,17.9,7,0,228,0,0,5,1,1,0,4.1,228,5.8,1,2016-08-13T16:30:00Z,13 Aug 17:30,0,0,90,0,0,15,0,0,0,0,5,0,1,0,36311,3,0,1,1,2,17.0,5,0,0,0,80,True,0,0
1,35,1,0,0,18,0,1,26,13.9,1,0,228,0,0,14,2,1,0,8.2,753,21.8,1,2016-08-20T11:30:00Z,20 Aug 12:30,0,0,90,0,0,14,0,1,0,0,10,0,2,0,90944,6,4,1,4,1,46.0,4,29043,34958,5915,80,False,0,1
0,39,0,0,3,45,0,1,33,26.4,4,0,228,0,0,29,0,1,2,16.9,1293,72.4,2,2016-08-28T15:00:00Z,28 Aug 16:00,0,0,90,0,0,20,0,0,0,0,7,0,3,0,177198,8,0,1,1,3,70.0,15,70159,85290,15131,81,True,0,0
0,21,0,0,0,2,0,0,13,5.8,0,0,228,0,0,35,0,1,0,2.1,1843,0.0,0,2016-09-10T11:30:00Z,10 Sep 12:30,0,0,59,0,0,11,0,0,0,0,3,0,4,0,514491,2,0,0,2,1,18.0,1,295797,327202,31405,82,False,0,0
1,33,1,0,2,55,1,1,31,20.5,10,0,228,0,0,45,1,0,1,21.5,2424,68.4,2,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,90,0,1,2,0,0,0,0,4,0,5,0,613427,2,1,0,0,4,126.0,13,86563,126316,39753,83,True,0,0
0,28,0,1,0,14,0,0,23,13.2,2,0,228,0,0,58,1,1,1,10.0,3008,36.0,1,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,90,2,0,16,0,0,0,0,4,0,6,0,901113,5,0,0,3,1,51.0,6,268719,298414,29695,85,False,0,1
0,24,0,0,0,-5,0,1,15,2.7,1,0,228,0,0,68,3,2,0,2.5,3594,1.6,0,2016-10-02T13:15:00Z,02 Oct 14:15,0,0,86,1,0,17,0,0,0,0,4,0,7,0,1062816,8,1,0,0,2,21.0,1,148727,175616,26889,86,False,0,1
0,44,0,0,0,12,0,1,40,16.8,2,0,228,0,0,76,0,1,0,5.9,4183,10.8,1,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,90,0,0,6,0,0,0,0,3,0,8,0,919385,6,1,0,1,1,31.0,2,-149500,40573,190073,85,True,0,0
0,36,0,0,0,5,0,1,24,30.7,4,0,228,0,0,88,0,1,0,6.9,4775,14.2,2,2016-10-23T12:30:00Z,23 Oct 13:30,0,0,90,0,1,13,0,0,0,0,5,0,9,0,876262,8,0,1,1,1,24.0,2,-46694,28735,75429,85,True,0,0
0,33,0,0,0,6,1,0,29,30.8,1,0,228,0,0,100,2,0,0,10.3,5369,6.0,2,2016-10-29T14:00:00Z,29 Oct 15:00,0,0,76,1,0,19,0,0,0,0,3,0,10,0,837197,4,0,1,4,0,66.0,3,-41900,28219,70119,84,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,228,0,0,108,0,0,0,0.0,5967,0.0,0,2016-11-05T15:00:00Z,05 Nov 15:00,0,0,0,0,0,12,0,0,0,0,0,0,11,0,759602,0,0,0,1,1,0.0,0,-79885,40596,120481,83,True,0,0
0,38,0,1,0,2,0,2,30,17.2,6,0,228,0,0,111,2,1,0,5.0,6566,11.4,1,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,90,0,0,5,0,0,0,0,4,0,12,0,621242,9,0,1,2,1,21.0,2,-140716,17901,158617,80,False,0,0
0,24,0,0,0,5,0,1,22,58.8,0,0,228,0,0,122,3,1,0,9.7,7167,8.2,5,2016-11-26T12:30:00Z,26 Nov 12:30,0,0,56,0,0,3,0,0,0,0,3,0,13,0,561110,1,0,0,2,1,30.0,1,-61170,9162,70332,79,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,228,0,0,134,0,0,0,0.0,7771,0.0,0,2016-12-03T12:30:00Z,03 Dec 12:30,0,0,0,0,0,4,0,0,0,0,0,0,14,0,459028,0,0,0,3,1,0.0,0,-102579,5579,108158,78,True,0,0
0,20,0,0,0,3,0,0,16,13.1,3,0,228,0,0,145,1,1,0,2.1,8376,3.6,1,2016-12-10T17:30:00Z,10 Dec 17:30,0,0,33,0,0,8,0,0,0,0,4,0,15,0,364861,4,0,0,2,4,4.0,1,-94664,1656,96320,77,False,0,0
1,30,1,0,0,22,1,0,20,35.2,6,0,228,0,0,157,0,0,0,8.1,8986,24.6,3,2016-12-14T20:00:00Z,14 Dec 20:00,0,0,90,1,0,18,0,0,0,0,3,0,16,0,342810,4,0,1,0,2,21.0,6,-22516,3004,25520,77,True,0,0
0,30,0,1,2,26,0,1,25,20.4,4,0,228,0,0,164,1,1,1,10.5,9600,34.6,1,2016-12-18T16:00:00Z,18 Dec 16:00,0,0,90,0,1,1,0,0,0,0,5,0,17,0,330753,6,0,2,1,2,50.0,9,-12756,4119,16875,77,True,1,0
2,33,0,0,0,26,1,1,29,22.5,2,0,228,0,0,174,1,0,0,4.4,10216,0.2,1,2016-12-26T17:15:00Z,26 Dec 17:15,0,0,90,1,0,7,0,0,0,0,5,0,18,0,372859,2,0,2,3,0,21.0,9,38897,45568,6671,76,False,0,0
