assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,8,0,0,0,0.0,30,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,19,0,0,0,0,0,0,1,0,208181,0,0,0,0,1,0.0,0,0,0,0,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,11,0,0,0,0.0,541,0.0,0,2017-08-19T14:00:00Z,19 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,2,0,187595,0,0,0,2,0,0.0,0,-23900,345,24245,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,21,0,0,0,0.0,1057,0.0,0,2017-08-26T11:30:00Z,26 Aug 12:30,0,0,0,0,0,11,0,0,0,0,0,0,3,0,163402,0,0,0,2,1,0.0,0,-24785,147,24932,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,31,0,0,0,0.0,1588,0.0,0,2017-09-09T14:00:00Z,09 Sep 15:00,0,0,0,0,0,1,0,0,0,0,0,0,4,0,146837,0,0,0,0,3,0.0,0,-17645,354,17999,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,41,0,0,0,0.0,2132,0.0,0,2017-09-15T19:00:00Z,15 Sep 20:00,0,0,0,0,0,3,0,0,0,0,0,0,5,0,135286,0,0,0,1,2,0.0,0,-12117,461,12578,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,52,0,0,0,0.0,2678,0.0,0,2017-09-23T14:00:00Z,23 Sep 15:00,0,0,0,0,0,7,0,0,0,0,0,0,6,0,123160,0,0,0,1,2,0.0,0,-12592,457,13049,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,61,0,0,0,0.0,3228,0.0,0,2017-09-30T14:00:00Z,30 Sep 15:00,0,0,0,0,0,9,0,0,0,0,0,0,7,0,114719,0,0,0,0,0,0.0,0,-8821,411,9232,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,79,0,0,0,0.0,3782,0.0,0,2017-10-14T14:00:00Z,14 Oct 15:00,0,0,0,0,0,17,0,0,0,0,0,0,8,0,108299,0,0,0,0,1,0.0,0,-6839,498,7337,43,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,87,0,0,0,0.0,4339,0.0,0,2017-10-21T14:00:00Z,21 Oct 15:00,0,0,0,0,0,15,0,0,0,0,0,0,9,0,104146,0,0,0,2,1,0.0,0,-4317,215,4532,43,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,92,0,0,0,0.0,4898,0.0,0,2017-10-28T16:30:00Z,28 Oct 17:30,0,0,0,0,0,5,0,0,0,0,0,0,10,0,99674,0,0,0,1,0,0.0,0,-4617,232,4849,43,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,104,0,0,0,0.0,5461,0.0,0,2017-11-04T15:00:00Z,04 Nov 15:00,0,0,0,0,0,13,0,0,0,0,0,0,11,0,95839,0,0,0,1,0,0.0,0,-3977,172,4149,43,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,112,0,0,0,0.0,6027,0.0,0,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,0,0,0,8,0,0,0,0,0,0,12,0,92466,0,0,0,0,4,0.0,0,-3612,261,3873,43,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,127,0,0,0,0.0,6596,0.0,0,2017-11-25T15:00:00Z,25 Nov 15:00,0,0,0,0,0,16,0,0,0,0,0,0,13,0,90401,0,0,0,0,0,0.0,0,-2218,240,2458,43,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,136,0,0,0,0.0,7166,0.0,0,2017-11-29T19:45:00Z,29 Nov 19:45,0,0,0,0,0,4,0,0,0,0,0,0,14,0,88668,0,0,0,2,1,0.0,0,-1861,237,2098,42,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,142,0,0,0,0.0,7737,0.0,0,2017-12-03T13:30:00Z,03 Dec 13:30,0,0,0,0,0,14,0,0,0,0,0,0,15,0,86926,0,0,0,1,1,0.0,0,-1869,207,2076,42,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,152,0,0,0,0.0,8311,0.0,0,2017-12-09T15:00:00Z,09 Dec 15:00,0,0,0,0,0,6,0,0,0,0,0,0,16,0,85088,0,0,0,2,2,0.0,0,-2002,207,2209,42,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,164,0,0,0,0.0,8888,0.0,0,2017-12-13T20:00:00Z,13 Dec 20:00,0,0,0,0,0,12,0,0,0,0,0,0,17,0,83874,0,0,0,0,1,0.0,0,-1316,125,1441,42,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,172,0,0,0,0.0,9466,0.0,0,2017-12-17T16:30:00Z,17 Dec 16:30,0,0,0,0,0,10,0,0,0,0,0,0,18,0,82539,0,0,0,4,0,0.0,0,-1417,125,1542,42,True,0,0
