assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,153,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,1,0,11552,0,2,0,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,153,0.00,0.00,0.00,0.00,20,0,0,0.0,0.0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,2,0,13206,0,6,2,0.0,0,-1265,982,2247,45,False,0
0,0,0,0,0.0,153,0.00,0.00,0.00,0.00,23,0,0,0.0,0.0,2024-09-01T12:30:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,3,0,13307,0,1,1,0.0,0,-1175,1286,2461,45,True,0
0,0,0,0,0.0,153,0.00,0.00,0.00,0.00,32,0,0,0.0,0.0,2024-09-14T19:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,4,0,13507,0,1,0,0.0,0,-855,1188,2043,44,False,0
0,0,0,0,0.0,153,0.00,0.00,0.00,0.00,50,0,0,0.0,0.0,2024-09-21T11:30:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,5,0,12991,0,3,0,0.0,0,-723,311,1034,44,False,0
0,0,0,0,0.0,153,0.00,0.00,0.00,0.00,54,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,6,0,12361,0,2,4,0.0,0,-771,326,1097,44,True,0
0,0,0,0,0.0,153,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2024-10-06T13:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,7,0,11912,0,1,1,0.0,0,-614,273,887,43,True,0
0,0,11,0,0.9,153,0.00,0.00,0.00,0.09,74,0,0,0.9,8.2,2024-10-20T15:30:00Z,37,0,0,0,0,0,0,0,False,12,0,0,0,0,8,0,11894,0,1,2,0.0,1,-231,347,578,43,False,0
0,0,0,0,0.0,153,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2024-10-27T14:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,9,0,12124,0,1,2,0.0,0,112,487,375,43,True,0
0,0,0,0,0.0,153,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,10,0,12003,0,1,1,0.0,0,-204,287,491,43,False,0
