assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,200,0,0,0.0,0.0,2025-01-06T20:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,20,0,0,0,3,0,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,210,0,0,0.0,0.0,2025-01-15T19:30:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,21,0,413,0,0,3,0.0,0,207,247,40,40,False,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,213,0,0,0.0,0.0,2025-01-20T20:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,22,0,490,0,1,3,0.0,0,55,106,51,40,False,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,230,0,0,0.0,0.0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,23,0,760,0,1,0,0.0,0,108,159,51,40,True,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,240,0,0,0.0,0.0,2025-02-01T17:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,24,0,1031,0,0,2,0.0,0,93,193,100,40,True,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,246,0,0,0.0,0.0,2025-02-16T14:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,25,0,1236,0,1,2,0.0,0,60,155,95,40,False,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,253,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,26,0,1371,0,1,0,0.0,0,60,139,79,40,False,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,267,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,27,0,1445,0,2,1,0.0,0,0,102,102,40,True,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,280,0,0,0.0,0.0,2025-03-08T20:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,28,0,1513,0,1,1,0.0,0,-11,106,117,40,True,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,290,0,0,0.0,0.0,2025-03-15T15:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,29,0,1805,0,2,1,0.0,0,39,104,65,40,False,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,295,0,0,0.0,0.0,2025-04-01T18:45:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,30,0,1675,0,0,1,0.0,0,-3,113,116,40,True,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,306,0,0,0.0,0.0,2025-04-05T14:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,31,0,1779,0,2,1,0.0,0,70,112,42,40,False,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,320,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,32,0,1815,0,2,4,0.0,0,-10,71,81,40,True,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,328,0,0,0.0,0.0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,33,0,2258,0,1,0,0.0,0,102,194,92,40,False,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,340,0,0,0.0,0.0,2025-04-26T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,34,0,2117,0,0,3,0.0,0,14,108,94,40,True,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,349,0,0,0.0,0.0,2025-05-02T19:00:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,35,0,2052,0,0,1,0.0,0,20,72,52,40,False,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,36,0,2103,0,2,0,0.0,0,16,83,67,40,True,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,366,0,0,0.0,0.0,2025-05-20T19:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,37,0,2136,0,2,4,0.0,0,19,61,42,40,False,0
0,0,0,0,0.0,711,0.00,0.00,0.00,0.00,380,0,0,0.0,0.0,2025-05-25T15:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,38,0,2350,0,1,1,0.0,0,134,207,73,40,True,0
