name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Reinildo Mandava,DEF,Sunderland,0.5,0,0,27,1,6,2.5,8,541,0.00,0.00,0.00,0.56,5,0,0,1.6,13.6,2025-08-16T14:00:00Z,90,False,19,0,0,0,3,0,1,0,677026,1,2,0,3,0.0,6,0,0,0,40,True,0,1
Lewis Dobbin,MID,Aston Villa,1.0,0,0,0,0,0,0.0,0,57,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2025-08-16T11:30:00Z,0,False,15,0,0,0,0,0,1,0,4994,0,0,0,0,0.0,0,0,0,0,50,True,0,1
Ryan Christie,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,87,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2025-08-15T19:00:00Z,0,False,12,0,0,0,0,0,1,0,10562,0,0,2,4,0.0,0,0,0,0,50,False,0,1
Zeki Amdouni,FWD,Burnley,0.0,0,0,0,0,0,0.0,0,216,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,18,0,0,0,0,0,1,0,6453,0,0,0,3,0.0,0,0,0,0,50,False,0,1
Lucas Tolentino Coelho de Lima,MID,West Ham,2.6,0,0,11,0,0,14.2,6,612,0.08,0.08,0.00,0.68,5,3,0,2.4,5.8,2025-08-16T14:00:00Z,90,False,17,0,0,0,5,0,1,0,110926,1,1,0,3,4.0,2,0,0,0,60,False,0,1
Jorrel Hato,DEF,Chelsea,3.1,0,0,0,0,0,0.0,0,672,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,8,0,0,0,0,0,1,0,29623,0,0,0,0,0.0,0,0,0,0,50,True,0,1
Myles Peart-Harris,MID,Brentford,1.0,0,0,0,0,0,0.0,0,133,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,16,0,0,0,0,0,1,0,3919,0,0,1,3,0.0,0,0,0,0,45,False,0,1
Ben Gannon-Doak,MID,Liverpool,0.5,0,0,0,0,0,0.0,0,391,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2025-08-15T19:00:00Z,0,False,4,0,0,0,0,0,1,0,4207,0,0,2,4,0.0,0,0,0,0,50,True,0,1
Bashir Humphreys,DEF,Burnley,0.1,0,0,0,0,0,0.0,0,193,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,18,0,0,0,0,0,1,0,6171,0,0,0,3,0.0,0,0,0,0,40,False,0,1
Romain Faivre,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,92,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2025-08-15T19:00:00Z,0,False,12,0,0,0,0,0,1,0,18512,0,0,2,4,0.0,0,0,0,0,45,False,0,1
Enock Agyei,MID,Burnley,1.0,0,0,0,0,0,0.0,0,203,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,18,0,0,0,0,0,1,0,5235,0,0,0,3,0.0,0,0,0,0,50,False,0,1
Callum Bates,MID,Everton,1.5,0,0,0,0,0,0.0,0,306,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2025-08-18T19:00:00Z,0,False,11,0,0,0,0,0,1,0,8013,0,0,0,1,0.0,0,0,0,0,45,False,0,1
Harry Tyrer,GK,Everton,1.5,0,0,0,0,0,0.0,0,289,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2025-08-18T19:00:00Z,0,False,11,0,0,0,0,0,1,0,11717,0,0,0,1,0.0,0,0,0,0,40,False,0,1
Etienne Green,GK,Burnley,0.5,0,0,0,0,0,0.0,0,184,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,18,0,0,0,0,0,1,0,40049,0,0,0,3,0.0,0,0,0,0,40,False,0,1
Destiny Udogie,DEF,Spurs,0.0,0,0,0,0,0,0.0,0,574,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,3,0,0,0,0,0,1,0,87334,0,0,0,3,0.0,0,0,0,0,45,True,0,1
Simon Moore,GK,Sunderland,0.5,0,0,0,0,0,0.0,0,529,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,19,0,0,0,0,0,1,0,47851,0,0,0,3,0.0,0,0,0,0,40,True,0,1
Ben Winterburn,MID,Bournemouth,0.0,0,0,3,0,0,0.0,0,96,0.00,0.00,0.00,0.31,1,2,0,0.0,0.0,2025-08-15T19:00:00Z,6,False,12,0,0,0,0,0,1,0,7035,0,0,2,4,0.0,1,0,0,0,45,False,0,1
Mikey Moore,MID,Spurs,0.0,0,0,0,0,0,0.0,0,592,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,3,0,0,0,0,0,1,0,1092,0,0,0,3,0.0,0,0,0,0,50,True,0,1
