name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Elliot Anderson,MID,Nott'm Forest,2.0,1,1,24,0,1,21.3,11,517,0.28,0.67,0.39,1.50,4,1,0,7.0,28.6,2025-08-17T13:00:00Z,90,False,5,0,0,0,8,0,1,0,664673,1,2,1,3,20.0,6,0,0,0,55,True,0,1
James Tarkowski,DEF,Everton,3.8,0,0,7,0,13,2.1,15,291,0.01,0.21,0.20,2.07,10,1,0,4.0,31.0,2025-08-18T19:00:00Z,90,False,11,0,0,0,3,0,1,0,704639,1,2,0,1,7.0,4,0,0,0,55,False,0,1
Ollie Watkins,FWD,Aston Villa,2.3,0,0,12,1,2,12.2,5,64,0.01,0.13,0.12,1.43,2,0,0,5.0,10.6,2025-08-16T11:30:00Z,90,False,15,0,0,0,3,0,1,0,2661379,1,0,0,0,27.0,2,0,0,0,90,True,0,1
Iliman Ndiaye,MID,Everton,2.7,0,0,11,0,1,12.1,9,299,0.02,0.02,0.00,2.07,10,1,0,2.7,12.6,2025-08-18T19:00:00Z,90,False,11,0,0,0,6,0,1,0,1180499,1,2,0,1,2.0,2,0,0,0,65,False,0,1
Charalampos Kostoulas,FWD,Brighton,1.4,0,0,0,0,0,0.0,0,181,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,10,0,0,0,0,0,1,0,41999,0,0,1,1,0.0,0,0,0,0,50,True,0,1
Jakub Kiwior,DEF,Arsenal,3.8,0,0,0,0,0,0.0,0,9,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,14,0,0,0,0,0,1,0,12048,0,0,1,0,0.0,0,0,0,0,55,False,0,1
William Saliba,DEF,Arsenal,4.5,0,1,25,1,10,0.1,14,6,0.00,0.00,0.00,1.52,9,0,0,3.2,31.4,2025-08-17T15:30:00Z,90,False,14,0,0,0,3,0,1,0,1257079,1,4,1,0,0.0,9,0,0,0,60,False,0,1
Zain Silcott-Duberry,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,95,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2025-08-15T19:00:00Z,0,False,12,0,0,0,0,0,1,0,9256,0,0,2,4,0.0,0,0,0,0,45,False,0,1
Omar Richards,DEF,Nott'm Forest,1.9,0,0,0,0,0,0.0,0,512,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,5,0,0,0,0,0,1,0,4215,0,0,1,3,0.0,0,0,0,0,45,True,0,1
Moisés Caicedo Corozo,MID,Chelsea,2.5,0,0,18,1,6,3.9,12,241,0.04,0.08,0.04,0.66,8,0,0,3.7,31.2,2025-08-17T13:00:00Z,90,False,8,0,0,0,1,0,1,0,507894,1,5,0,0,2.0,5,0,0,0,55,True,0,1
