assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,394,0,0,9,0,0,0,0.0,394,0.0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,3,0,0,0,0,0,0,1,0,19281,0,0,0,0,2,0.0,0,0,0,0,55,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,394,0,0,12,0,0,0,0.0,919,0.0,0,2018-08-19T12:30:00Z,19 Aug 13:30,0,0,0,0,0,4,0,0,0,0,0,0,2,0,14628,0,0,0,3,1,0.0,0,-5091,225,5316,55,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,394,0,0,29,0,0,0,0.0,1446,0.0,0,2018-08-26T12:30:00Z,26 Aug 13:30,0,0,0,0,0,7,0,0,0,0,0,0,3,0,11323,0,0,0,1,2,0.0,0,-3509,180,3689,54,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,394,0,0,39,0,0,0,0.0,1977,0.0,0,2018-09-02T15:00:00Z,02 Sep 16:00,0,0,0,0,0,17,0,0,0,0,0,0,4,0,9656,0,0,0,1,2,0.0,0,-1848,161,2009,54,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,394,0,0,49,0,0,0,0.0,2514,0.0,0,2018-09-15T16:30:00Z,15 Sep 17:30,0,0,0,0,0,14,0,0,0,0,0,0,5,0,8551,0,0,0,2,1,0.0,0,-1213,199,1412,54,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,394,0,0,56,0,0,0,0.0,3051,0.0,0,2018-09-22T11:30:00Z,22 Sep 12:30,0,0,0,0,0,9,0,0,0,0,0,0,6,0,7778,0,0,0,1,1,0.0,0,-826,114,940,54,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,394,0,0,61,0,0,0,0.0,3589,0.0,0,2018-09-29T14:00:00Z,29 Sep 15:00,0,0,0,0,0,1,0,0,0,0,0,0,7,0,7290,0,0,0,0,2,0.0,0,-513,61,574,54,False,0,0
0,6,0,0,0,2,0,0,5,0.7,0,0,394,0,0,80,1,0,0,0.0,4128,0.0,0,2018-10-06T14:00:00Z,06 Oct 15:00,0,0,16,0,0,2,0,0,0,0,1,0,8,0,7301,0,0,0,4,0,0.0,1,-54,297,351,54,True,0,0
0,42,0,0,0,12,1,1,39,9.0,3,0,394,0,0,90,0,0,0,2.2,4670,4.6,0,2018-10-20T14:00:00Z,20 Oct 15:00,0,0,68,0,0,20,0,0,0,0,2,0,9,0,8366,3,0,0,2,0,8.0,3,856,1297,441,54,False,0,0
0,22,0,0,0,18,1,0,18,16.5,3,0,394,0,0,100,0,0,1,9.3,5216,31.8,1,2018-10-27T14:00:00Z,27 Oct 15:00,0,0,64,1,0,10,0,0,0,0,2,0,10,0,13392,6,0,3,0,3,45.0,8,4735,5282,547,54,True,0,0
