h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.580601,2.38863,0.580601,2.38863,"{'att': 151, 'def': 27}","{'att': 158, 'def': 23}",6,4,1,3,0.2455,l,2021-08-14 14:00:00,0,0,1,0,-1.8080289999999999
h,0.587526,2.26173,0.587526,2.26173,"{'att': 275, 'def': 31}","{'att': 136, 'def': 15}",3,11,1,1,0.27690000000000003,d,2021-08-22 13:00:00,0,1,0,1,-1.674204
a,3.46036,1.19077,2.69919,1.19077,"{'att': 131, 'def': 17}","{'att': 234, 'def': 24}",10,6,2,2,2.7954999999999997,d,2021-08-28 14:00:00,0,1,0,1,1.50842
h,0.692135,0.725407,0.692135,0.725407,"{'att': 287, 'def': 12}","{'att': 231, 'def': 30}",4,1,0,0,1.2896999999999998,d,2021-09-11 14:00:00,0,1,0,1,-0.03327200000000008
a,0.490923,1.22451,0.490923,1.22451,"{'att': 363, 'def': 22}","{'att': 173, 'def': 15}",6,6,0,0,0.7269000000000001,d,2021-09-18 14:00:00,0,1,0,1,-0.733587
h,0.909342,0.909833,0.909342,0.909833,"{'att': 184, 'def': 22}","{'att': 259, 'def': 8}",7,3,0,1,1.3033,l,2021-09-26 13:00:00,0,0,1,0,-0.0004910000000000192
a,1.52634,3.79243,0.765173,3.79243,"{'att': 341, 'def': 36}","{'att': 175, 'def': 24}",4,12,1,3,0.1839,l,2021-10-02 14:00:00,0,0,1,0,-3.027257
h,1.83082,0.446173,1.83082,0.446173,"{'att': 260, 'def': 34}","{'att': 174, 'def': 31}",4,4,1,0,2.4654000000000003,w,2021-10-16 14:00:00,1,0,0,3,1.384647
h,1.42567,0.673195,1.42567,0.673195,"{'att': 95, 'def': 15}","{'att': 214, 'def': 22}",6,4,2,2,2.0092,d,2021-10-23 14:00:00,0,1,0,1,0.752475
a,1.90757,0.852556,1.90757,0.852556,"{'att': 134, 'def': 19}","{'att': 261, 'def': 26}",11,4,1,0,2.2118,w,2021-10-30 14:00:00,1,0,0,3,1.055014
h,0.89818,0.536077,0.89818,0.536077,"{'att': 131, 'def': 24}","{'att': 245, 'def': 23}",8,13,1,0,1.7231999999999998,w,2021-11-05 20:00:00,1,0,0,3,0.36210299999999995
a,1.13118,0.43778,1.13118,0.43778,"{'att': 132, 'def': 17}","{'att': 301, 'def': 28}",9,4,1,2,1.9398,l,2021-11-20 15:00:00,0,0,1,0,0.6934
a,0.966132,3.07278,0.966132,3.07278,"{'att': 350, 'def': 23}","{'att': 173, 'def': 18}",2,14,0,4,0.2162,l,2021-11-27 15:00:00,0,0,1,0,-2.106648
h,1.91169,1.4401,1.91169,1.4401,"{'att': 262, 'def': 26}","{'att': 159, 'def': 18}",10,5,2,2,1.748,d,2021-12-01 19:30:00,0,1,0,1,0.47158999999999995
h,1.34236,1.4872,1.34236,1.4872,"{'att': 199, 'def': 23}","{'att': 106, 'def': 25}",8,6,1,1,1.2105,d,2021-12-04 15:00:00,0,1,0,1,-0.14484000000000008
a,0.502215,2.08429,0.502215,2.08429,"{'att': 300, 'def': 15}","{'att': 171, 'def': 8}",2,7,0,3,0.31889999999999996,l,2021-12-11 15:00:00,0,0,1,0,-1.5820750000000001
a,0.625183,1.49244,0.625183,1.49244,"{'att': 248, 'def': 39}","{'att': 128, 'def': 24}",2,4,2,2,0.641,d,2021-12-15 19:30:00,0,1,0,1,-0.867257
a,1.35643,1.53745,0.595257,1.53745,"{'att': 206, 'def': 22}","{'att': 172, 'def': 18}",2,10,3,2,1.1727,w,2021-12-26 15:00:00,1,0,0,3,-0.942193
h,0.353043,2.80917,0.353043,2.048,"{'att': 228, 'def': 28}","{'att': 107, 'def': 14}",0,10,1,1,0.1031,d,2021-12-28 15:00:00,0,1,0,1,-1.694957
h,1.59306,0.621466,1.59306,0.621466,"{'att': 223, 'def': 26}","{'att': 176, 'def': 18}",1,3,4,1,2.1879,w,2022-01-11 21:45:00,1,0,0,3,0.971594
a,0.91728,2.29917,0.91728,1.538,"{'att': 167, 'def': 13}","{'att': 237, 'def': 25}",8,4,1,3,0.3762,l,2022-01-15 15:00:00,0,0,1,0,-0.62072
h,1.00222,1.62907,1.00222,1.62907,"{'att': 356, 'def': 17}","{'att': 147, 'def': 30}",1,17,1,1,0.8467,d,2022-01-22 17:30:00,0,1,0,1,-0.6268499999999999
a,1.73293,1.74286,1.73293,1.74286,"{'att': 237, 'def': 25}","{'att': 206, 'def': 19}",7,4,3,2,1.3425000000000002,w,2022-02-09 19:45:00,1,0,0,3,-0.009929999999999994
a,0.677386,2.99207,0.677386,2.99207,"{'att': 263, 'def': 29}","{'att': 244, 'def': 23}",7,8,1,1,0.1409,d,2022-02-12 12:30:00,0,1,0,1,-2.3146839999999997
h,2.72851,0.19991,2.72851,0.19991,"{'att': 153, 'def': 26}","{'att': 267, 'def': 27}",9,8,2,0,2.8855000000000004,w,2022-02-19 15:00:00,1,0,0,3,2.5286
h,3.08863,0.424877,3.08863,0.424877,"{'att': 197, 'def': 21}","{'att': 220, 'def': 14}",9,4,2,0,2.8648,w,2022-02-25 20:00:00,1,0,0,3,2.6637530000000003
a,1.32947,2.85379,1.32947,2.85379,"{'att': 181, 'def': 22}","{'att': 304, 'def': 18}",4,12,0,4,0.48929999999999996,l,2022-03-05 15:00:00,0,0,1,0,-1.5243200000000001
h,1.79835,0.812233,1.79835,0.812233,"{'att': 146, 'def': 18}","{'att': 322, 'def': 22}",8,5,1,2,2.1947,l,2022-03-10 19:30:00,0,0,1,0,0.9861169999999999
h,1.25696,1.29385,1.25696,1.29385,"{'att': 118, 'def': 18}","{'att': 235, 'def': 17}",5,5,1,2,1.3351,l,2022-03-13 14:00:00,0,0,1,0,-0.03688999999999987
