goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DMC,West Ham,West Bromwich Albion,2,1,2021-01-19,14611,2020,443160,0.027980700135231018,0,1,0,0,0.6368433237075806,0.6088626384735107
0,0,0,90,DMC,West Ham,Burnley,1,0,2021-01-16,14623,2020,442277,0,0,0,0,0,0,0
1,2,0.6046821475028992,90,DMC,Everton,West Ham,0,1,2021-01-01,14595,2020,438860,0,0,0,1,0.6046821475028992,0.938721239566803,0.3340391218662262
0,1,0.05639148876070976,90,MC,Southampton,West Ham,0,0,2020-12-29,14588,2020,438451,0,0,0,0,0.05639148876070976,0.04446914419531822,0.04446914419531822
1,3,0.6426867246627808,90,MC,West Ham,Brighton,2,2,2020-12-27,14583,2020,438244,0,0,0,1,0.6426867246627808,0.544599175453186,0.544599175453186
0,2,0.08195564150810242,90,DMC,Chelsea,West Ham,3,0,2020-12-21,14567,2020,437124,0,0,0,0,0.08195564150810242,0.04887177422642708,0
0,0,0,90,DMC,West Ham,Crystal Palace,1,1,2020-12-16,14561,2020,435370,0,0,0,0,0,0.17416952550411224,0.17416952550411224
1,1,0.05938237905502319,90,DMC,Leeds,West Ham,1,2,2020-12-11,14548,2020,432687,0.045341216027736664,0,1,1,0.05938237905502319,0.1667230725288391,0.12138185650110245
1,1,0.650097131729126,90,MC,West Ham,Manchester United,1,3,2020-12-05,14544,2020,431518,0,0,0,1,0.650097131729126,0.3795129358768463,0.3795129358768463
0,1,0.08784230053424835,90,MC,West Ham,Aston Villa,2,1,2020-11-30,14526,2020,430869,0,0,0,0,0.08784230053424835,0.08784230053424835,0
0,2,0.5452637672424316,90,MC,Sheffield United,West Ham,0,1,2020-11-22,14522,2020,428542,0,0,0,0,0.5452637672424316,0.5552917718887329,0.0648302435874939
1,2,0.4041613042354584,90,MC,West Ham,Fulham,1,0,2020-11-07,14514,2020,426578,0.019236644729971886,0,1,1,0.4041613042354584,0.45502302050590515,0.03162505105137825
0,1,0.03778643533587456,90,MC,Liverpool,West Ham,2,1,2020-10-31,14499,2020,424662,0,0,0,0,0.03778643533587456,0,0
0,1,0.032426055520772934,90,MC,West Ham,Manchester City,1,1,2020-10-24,14493,2020,422616,0,0,0,0,0.032426055520772934,0.1663549393415451,0.13392889499664307
0,2,0.17367292940616608,90,MC,Tottenham,West Ham,3,3,2020-10-18,14483,2020,422066,0.10235214233398438,0,1,0,0.17367292940616608,0.38421615958213806,0.21054323017597198
0,2,0.15068726241588593,90,MC,Leicester,West Ham,0,3,2020-10-04,14470,2020,419947,0,0,0,0,0.15068726241588593,0.1527312695980072,0.13251815736293793
0,5,0.9591750502586365,90,MC,West Ham,Wolverhampton Wanderers,4,0,2020-09-27,14113,2020,418460,0,0,0,0,0.9591750502586365,0.919447660446167,0
0,2,0.06012839823961258,90,MC,Arsenal,West Ham,2,1,2020-09-19,14099,2020,416071,0.069483682513237,0,1,0,0.06012839823961258,0.6076520681381226,0.47804000973701477
0,3,0.28344058990478516,90,DMC,West Ham,Newcastle United,0,2,2020-09-12,14091,2020,414738,0.14934119582176208,0,2,0,0.28344058990478516,0.37571316957473755,0.20199663937091827
0,0,0,90,DMC,West Ham,Aston Villa,1,1,2020-07-26,12013,2019,411446,0,0,0,0,0,0.015115062706172466,0.015115062706172466
0,0,0,90,DMC,Manchester United,West Ham,1,1,2020-07-22,12007,2019,410794,0.015314771793782711,0,1,0,0,0.05285712704062462,0.05285712704062462
1,2,0.21626758575439453,90,DMC,West Ham,Watford,3,1,2020-07-17,12001,2019,409578,0,0,0,1,0.21626758575439453,0.21626758575439453,0.1478368192911148
0,4,0.6310334205627441,90,DMC,Norwich,West Ham,0,4,2020-07-11,11988,2019,407344,0,0,0,0,0.6310334205627441,1.0148236751556396,0.4413798749446869
0,6,0.5861828923225403,90,DMC,West Ham,Burnley,0,1,2020-07-08,11982,2019,406520,0.0875505805015564,0,1,0,0.5861828923225403,0.5322483777999878,0.02123279683291912
1,3,0.32550132274627686,90,DMC,Newcastle United,West Ham,2,2,2020-07-05,11968,2019,405623,0.029370248317718506,0,1,1,0.32550132274627686,0.3312721252441406,0.11797962337732315
1,2,0.28394681215286255,90,DMC,West Ham,Chelsea,3,2,2020-07-01,11962,2019,404598,0.11173664778470993,0,1,1,0.28394681215286255,1.0167063474655151,0.9049696922302246
0,0,0,90,DMC,Tottenham,West Ham,2,0,2020-06-23,11944,2019,402204,0,0,0,0,0,0.07996387034654617,0.07996387034654617
0,1,0.01718994230031967,90,DMC,West Ham,Wolverhampton Wanderers,0,2,2020-06-20,11934,2019,401367,0,0,0,0,0.01718994230031967,0.30403226613998413,0.28684231638908386
0,0,0,8,Sub,Arsenal,West Ham,1,0,2020-03-07,11923,2019,387778,0,0,0,0,0,0.09393743425607681,0.09393743425607681
0,0,0,48,DMC,Liverpool,West Ham,3,2,2020-02-24,11911,2019,387391,0,0,0,0,0,0,0
0,0,0,90,MC,Manchester City,West Ham,2,0,2020-02-19,11898,2019,387118,0,0,0,0,0,0,0
0,2,0.35825204849243164,86,MC,West Ham,Brighton,3,3,2020-02-01,11892,2019,386640,0.09928299486637115,0,1,0,0.35825204849243164,0.21597199141979218,0.023714622482657433
