h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.92315,0.541983,1.16198,0.541983,"{'att': 161, 'def': 26}","{'att': 264, 'def': 22}",7,3,1,0,2.4766,w,2022-08-06 16:30:00,1,0,0,3,0.619997
h,1.83945,1.58708,1.83945,1.58708,"{'att': 193, 'def': 29}","{'att': 258, 'def': 21}",12,2,2,2,1.554,d,2022-08-14 15:30:00,0,1,0,1,0.25237
a,0.692492,2.20971,0.692492,2.20971,"{'att': 139, 'def': 30}","{'att': 274, 'def': 32}",7,1,0,3,0.2243,l,2022-08-21 13:00:00,0,0,1,0,-1.5172179999999997
h,1.74916,1.96023,1.74916,1.96023,"{'att': 281, 'def': 25}","{'att': 258, 'def': 12}",3,10,2,1,1.2501,w,2022-08-27 14:00:00,1,0,0,3,-0.21106999999999987
a,1.5047,1.44086,1.5047,1.44086,"{'att': 92, 'def': 27}","{'att': 291, 'def': 24}",7,3,1,2,1.4181000000000001,l,2022-08-30 18:45:00,0,0,1,0,0.0638399999999999
h,0.707333,1.4196,0.707333,1.4196,"{'att': 164, 'def': 17}","{'att': 327, 'def': 14}",4,1,2,1,0.5895,w,2022-09-03 14:00:00,1,0,0,3,-0.712267
a,1.25506,0.70987,1.25506,0.70987,"{'att': 203, 'def': 26}","{'att': 357, 'def': 21}",12,2,2,1,1.8501,w,2022-10-01 14:00:00,1,0,0,3,0.5451900000000001
h,2.43092,0.748449,2.43092,0.748449,"{'att': 271, 'def': 24}","{'att': 313, 'def': 8}",11,4,3,0,2.4922999999999997,w,2022-10-08 14:00:00,1,0,0,3,1.682471
a,1.23643,2.44542,1.23643,2.44542,"{'att': 203, 'def': 15}","{'att': 379, 'def': 27}",5,6,2,0,0.5770000000000001,w,2022-10-16 13:00:00,1,0,0,3,-1.20899
a,0.557405,1.45228,0.557405,1.45228,"{'att': 147, 'def': 14}","{'att': 284, 'def': 17}",14,7,0,0,0.5537,d,2022-10-19 18:30:00,0,1,0,1,-0.894875
h,1.20238,0.730935,0.441206,0.730935,"{'att': 240, 'def': 15}","{'att': 212, 'def': 13}",3,8,1,1,1.8624,d,2022-10-22 15:30:00,0,1,0,1,-0.289729
a,1.07554,2.881,1.07554,2.881,"{'att': 200, 'def': 16}","{'att': 295, 'def': 13}",8,5,1,4,0.296,l,2022-10-29 14:00:00,0,0,1,0,-1.8054599999999998
h,0.278815,2.37846,0.278815,2.37846,"{'att': 248, 'def': 29}","{'att': 185, 'def': 31}",5,3,0,1,0.11019999999999999,l,2022-11-06 12:00:00,0,0,1,0,-2.099645
a,0.359105,1.3601,0.359105,1.3601,"{'att': 235, 'def': 22}","{'att': 297, 'def': 35}",2,7,0,1,0.461,l,2022-11-12 17:30:00,0,0,1,0,-1.000995
h,1.91378,0.44307,1.91378,0.44307,"{'att': 178, 'def': 17}","{'att': 367, 'def': 24}",7,4,2,0,2.4991,w,2022-12-27 17:30:00,1,0,0,3,1.47071
a,1.37305,0.985219,1.37305,0.985219,"{'att': 135, 'def': 22}","{'att': 463, 'def': 24}",6,10,1,1,1.7223000000000002,d,2023-01-01 16:30:00,0,1,0,1,0.38783100000000015
h,0.493576,1.71972,0.493576,1.71972,"{'att': 326, 'def': 24}","{'att': 332, 'def': 26}",5,10,0,1,0.3875,l,2023-01-05 20:00:00,0,0,1,0,-1.226144
a,2.39911,0.711266,2.39911,0.711266,"{'att': 227, 'def': 26}","{'att': 321, 'def': 22}",7,2,1,2,2.5559,l,2023-01-12 19:00:00,0,0,1,0,1.687844
h,2.12987,0.837366,2.12987,0.837366,"{'att': 132, 'def': 23}","{'att': 322, 'def': 28}",9,3,1,0,2.3394,w,2023-01-15 14:00:00,1,0,0,3,1.2925039999999999
a,1.84467,1.30125,1.84467,1.30125,"{'att': 265, 'def': 27}","{'att': 338, 'def': 32}",7,7,0,0,1.7712999999999999,d,2023-01-21 12:30:00,0,1,0,1,0.54342
h,1.41471,0.493341,1.41471,0.493341,"{'att': 141, 'def': 33}","{'att': 434, 'def': 22}",5,5,0,0,2.1542,d,2023-02-03 20:00:00,0,1,0,1,0.9213689999999999
a,0.900465,1.07615,0.900465,1.07615,"{'att': 113, 'def': 20}","{'att': 384, 'def': 18}",10,6,1,1,1.1671,d,2023-02-11 12:30:00,0,1,0,1,-0.17568499999999998
h,1.61723,0.619532,1.61723,0.619532,"{'att': 170, 'def': 29}","{'att': 299, 'def': 42}",11,3,0,1,2.2223,l,2023-02-18 15:00:00,0,0,1,0,0.997698
a,0.262281,0.926313,0.262281,0.926313,"{'att': 241, 'def': 30}","{'att': 287, 'def': 25}",5,5,0,2,0.5469999999999999,l,2023-02-26 13:30:00,0,0,1,0,-0.6640320000000001
h,1.8678,0.633995,1.8678,0.633995,"{'att': 211, 'def': 25}","{'att': 340, 'def': 19}",8,4,1,0,2.3222,w,2023-03-04 15:00:00,1,0,0,3,1.2338049999999998
a,1.49478,2.36139,1.49478,2.36139,"{'att': 290, 'def': 22}","{'att': 331, 'def': 31}",6,6,3,1,0.7435,w,2023-03-11 15:00:00,1,0,0,3,-0.8666100000000001
h,1.90027,1.64675,1.1391,1.64675,"{'att': 107, 'def': 15}","{'att': 311, 'def': 24}",9,1,2,2,1.5468,d,2023-03-18 17:30:00,0,1,0,1,-0.5076499999999999
h,2.38024,0.765794,2.38024,0.765794,"{'att': 159, 'def': 35}","{'att': 295, 'def': 24}",19,2,0,2,2.449,l,2023-04-01 16:30:00,0,0,1,0,1.614446
h,2.18903,0.202217,2.18903,0.202217,"{'att': 315, 'def': 20}","{'att': 323, 'def': 31}",12,8,0,0,2.7888,d,2023-04-04 19:00:00,0,1,0,1,1.9868129999999997
a,0.815308,0.601153,0.815308,0.601153,"{'att': 173, 'def': 17}","{'att': 281, 'def': 28}",14,3,0,1,1.4924999999999997,l,2023-04-08 14:00:00,0,0,1,0,0.21415499999999998
h,0.46331,2.52107,0.46331,2.52107,"{'att': 311, 'def': 20}","{'att': 249, 'def': 24}",6,11,1,2,0.2155,l,2023-04-15 14:00:00,0,0,1,0,-2.05776
h,1.21124,0.695344,1.21124,0.695344,"{'att': 125, 'def': 15}","{'att': 288, 'def': 20}",10,3,0,2,1.8124999999999998,l,2023-04-26 18:45:00,0,0,1,0,0.5158960000000001
a,0.785202,2.7832,0.785202,2.7832,"{'att': 309, 'def': 13}","{'att': 299, 'def': 24}",8,13,1,3,0.26580000000000004,l,2023-05-02 19:00:00,0,0,1,0,-1.997998
a,1.76852,1.21755,1.76852,1.21755,"{'att': 146, 'def': 23}","{'att': 309, 'def': 16}",13,9,3,1,1.8037,w,2023-05-06 14:00:00,1,0,0,3,0.5509700000000002
h,0.999181,1.96797,0.999181,1.96797,"{'att': 103, 'def': 20}","{'att': 361, 'def': 26}",10,2,2,2,0.652,d,2023-05-13 14:00:00,0,1,0,1,-0.968789
a,1.15648,1.20557,1.15648,1.20557,"{'att': 434, 'def': 19}","{'att': 223, 'def': 23}",7,12,0,1,1.3201,l,2023-05-21 15:00:00,0,0,1,0,-0.04909000000000008
a,1.68364,4.92231,1.68364,4.16115,"{'att': 234, 'def': 20}","{'att': 378, 'def': 26}",11,18,1,4,0.0826,l,2023-05-25 19:00:00,0,0,1,0,-2.47751
h,2.01924,1.51899,2.01924,1.51899,"{'att': 195, 'def': 29}","{'att': 294, 'def': 18}",17,5,1,1,1.7055999999999998,d,2023-05-28 15:30:00,0,1,0,1,0.5002499999999999
