h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.92315,0.541983,1.16198,0.541983,"{'att': 161, 'def': 26}","{'att': 264, 'def': 22}",7,3,1,0,2.4766,w,2022-08-06 16:30:00,1,0,0,3,0.619997
h,1.83945,1.58708,1.83945,1.58708,"{'att': 193, 'def': 29}","{'att': 258, 'def': 21}",12,2,2,2,1.554,d,2022-08-14 15:30:00,0,1,0,1,0.25237
a,0.692492,2.20971,0.692492,2.20971,"{'att': 139, 'def': 30}","{'att': 274, 'def': 32}",7,1,0,3,0.2243,l,2022-08-21 13:00:00,0,0,1,0,-1.5172179999999997
h,1.74916,1.96023,1.74916,1.96023,"{'att': 281, 'def': 25}","{'att': 258, 'def': 12}",3,10,2,1,1.2501,w,2022-08-27 14:00:00,1,0,0,3,-0.21106999999999987
a,1.5047,1.44086,1.5047,1.44086,"{'att': 92, 'def': 27}","{'att': 291, 'def': 24}",7,3,1,2,1.4181000000000001,l,2022-08-30 18:45:00,0,0,1,0,0.0638399999999999
h,0.707333,1.4196,0.707333,1.4196,"{'att': 164, 'def': 17}","{'att': 327, 'def': 14}",4,1,2,1,0.5895,w,2022-09-03 14:00:00,1,0,0,3,-0.712267
a,1.25506,0.70987,1.25506,0.70987,"{'att': 203, 'def': 26}","{'att': 357, 'def': 21}",12,2,2,1,1.8501,w,2022-10-01 14:00:00,1,0,0,3,0.5451900000000001
h,2.43092,0.748449,2.43092,0.748449,"{'att': 271, 'def': 24}","{'att': 313, 'def': 8}",11,4,3,0,2.4922999999999997,w,2022-10-08 14:00:00,1,0,0,3,1.682471
a,1.23643,2.44542,1.23643,2.44542,"{'att': 203, 'def': 15}","{'att': 379, 'def': 27}",5,6,2,0,0.5770000000000001,w,2022-10-16 13:00:00,1,0,0,3,-1.20899
a,0.557405,1.45228,0.557405,1.45228,"{'att': 147, 'def': 14}","{'att': 284, 'def': 17}",14,7,0,0,0.5537,d,2022-10-19 18:30:00,0,1,0,1,-0.894875
h,1.20238,0.730935,0.441206,0.730935,"{'att': 240, 'def': 15}","{'att': 212, 'def': 13}",3,8,1,1,1.8624,d,2022-10-22 15:30:00,0,1,0,1,-0.289729
a,1.07554,2.881,1.07554,2.881,"{'att': 200, 'def': 16}","{'att': 295, 'def': 13}",8,5,1,4,0.296,l,2022-10-29 14:00:00,0,0,1,0,-1.8054599999999998
h,0.278815,2.37846,0.278815,2.37846,"{'att': 248, 'def': 29}","{'att': 185, 'def': 31}",5,3,0,1,0.11019999999999999,l,2022-11-06 12:00:00,0,0,1,0,-2.099645
a,0.359105,1.3601,0.359105,1.3601,"{'att': 235, 'def': 22}","{'att': 297, 'def': 35}",2,7,0,1,0.461,l,2022-11-12 17:30:00,0,0,1,0,-1.000995
h,1.91378,0.44307,1.91378,0.44307,"{'att': 178, 'def': 17}","{'att': 367, 'def': 24}",7,4,2,0,2.4991,w,2022-12-27 17:30:00,1,0,0,3,1.47071
