goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.019924186170101166,90,MC,Leeds,Everton,2,2,2021-08-21,16390,2021,476989,0.090700164437294,0,2,0,0.019924186170101166,0.1457722783088684,0.055072106420993805
1,2,0.04849298670887947,90,MC,Leeds,West Bromwich Albion,3,1,2021-05-23,14808,2020,473313,0.029268071055412292,0,1,1,0.04849298670887947,0.16748251020908356,0.1514713615179062
0,0,0,47,MC,Southampton,Leeds,0,2,2021-05-18,14802,2020,472338,0.015989232808351517,0,1,0,0,0.017122700810432434,0.017122700810432434
0,0,0,90,DMC,Burnley,Leeds,0,4,2021-05-15,14786,2020,470686,0.18408618867397308,0,1,0,0,0.552427351474762,0.552427351474762
0,0,0,1,Sub,Leeds,Tottenham,3,1,2021-05-08,14778,2020,468399,0,0,0,0,0,0,0
0,0,0,90,DMC,Leeds,Manchester United,0,0,2021-04-25,14758,2020,466011,0.06610176712274551,0,3,0,0,0.16114863753318787,0.10386233031749725
0,0,0,90,DMC,Leeds,Liverpool,1,1,2021-04-19,14749,2020,463980,0.3807148337364197,0,2,0,0,0.7066501975059509,0.36445510387420654
0,0,0,90,DMC,Manchester City,Leeds,1,2,2021-04-10,14740,2020,460952,0,0,0,0,0,0.06275536119937897,0.06275536119937897
0,2,0.030946403741836548,90,DMC,Leeds,Sheffield United,2,1,2021-04-03,14729,2020,459649,0.05408318713307381,0,1,0,0.030946403741836548,0.15624427795410156,0.08572547137737274
0,2,0.07173626124858856,90,DMC,Fulham,Leeds,1,2,2021-03-19,14718,2020,457865,0.04775363206863403,0,1,0,0.07173626124858856,0.5063120126724243,0.45855841040611267
0,0,0,90,DMC,Leeds,Chelsea,0,0,2021-03-13,14709,2020,456093,0,0,0,0,0,0.10147872567176819,0.10147872567176819
0,1,0.01051787193864584,90,DMC,West Ham,Leeds,2,0,2021-03-08,14704,2020,455623,0.012307481840252876,0,1,0,0.01051787193864584,0.1545369029045105,0.14401903748512268
0,0,0,89,DMC,Leeds,Crystal Palace,2,0,2021-02-08,14658,2020,448678,0.5383580327033997,0,3,0,0,0.13761858642101288,0.13761858642101288
0,0,0,90,DMC,Leeds,Everton,1,2,2021-02-03,14648,2020,447009,0.09804340451955795,0,2,0,0,0.1326480209827423,0.1326480209827423
0,0,0,90,DMC,Leicester,Leeds,1,3,2021-01-31,14643,2020,446130,0.2169470340013504,0,2,0,0,0.03919415920972824,0.03919415920972824
0,0,0,90,DMC,Newcastle United,Leeds,1,2,2021-01-26,14631,2020,444969,0.0986139178276062,0,1,0,0,0.07455311715602875,0.07455311715602875
0,1,0.03859670087695122,90,DMC,Tottenham,Leeds,3,0,2021-01-02,14599,2020,438915,0,0,0,0,0.03859670087695122,0.17756491899490356,0.17756491899490356
0,1,0.015509034506976604,90,DMC,West Bromwich Albion,Leeds,0,5,2020-12-29,14590,2020,438476,0.1757277101278305,0,2,0,0.015509034506976604,1.3697378635406494,1.3542287349700928
0,0,0,90,DMC,Leeds,Burnley,1,0,2020-12-27,14578,2020,438217,0,0,0,0,0,0.4655478894710541,0.4655478894710541
0,0,0,48,DMC,Manchester United,Leeds,6,2,2020-12-20,14570,2020,436864,0,0,0,0,0,0.031174754723906517,0.031174754723906517
0,0,0,90,DMC,Leeds,Newcastle United,5,2,2020-12-16,14558,2020,434645,0.04652231186628342,0,1,0,0,0.7491124272346497,0.7491124272346497
0,1,0.021327171474695206,90,DMC,Leeds,West Ham,1,2,2020-12-11,14548,2020,432673,0,0,0,0,0.021327171474695206,0.1289510428905487,0.1076238751411438
0,0,0,90,MC,Chelsea,Leeds,3,1,2020-12-05,14538,2020,431622,0.5061317682266235,1,1,0,0,0.7637395262718201,0.25760772824287415
0,2,0.08728432655334473,90,DMC,Everton,Leeds,0,1,2020-11-28,14531,2020,429866,0.018164055421948433,0,1,0,0.08728432655334473,0.6790780425071716,0.5917937159538269
0,1,0.011149690486490726,90,DMC,Leeds,Arsenal,0,0,2020-11-22,14518,2020,428825,0.0632345899939537,0,1,0,0.011149690486490726,0.6008760929107666,0.5897263884544373
0,0,0,90,DMC,Leeds,Wolverhampton Wanderers,0,1,2020-10-19,14478,2020,422407,0.045551177114248276,0,1,0,0,0.14467470347881317,0.14467470347881317
0,1,0.017163582146167755,90,DMC,Leeds,Manchester City,1,1,2020-10-03,14469,2020,419637,0,0,0,0,0.017163582146167755,0.17649421095848083,0.15933062136173248
0,0,0,90,DMC,Sheffield United,Leeds,0,1,2020-09-27,14110,2020,417869,0.3478589355945587,0,5,0,0,0.5392658114433289,0.423140287399292
0,0,0,90,DMC,Leeds,Fulham,4,3,2020-09-19,14097,2020,415784,0.1979825347661972,0,2,0,0,0,0
0,1,0.03589872643351555,90,DMC,Liverpool,Leeds,4,3,2020-09-12,14090,2020,414692,0.0896182656288147,1,2,0,0.03589872643351555,0.1628376692533493,0.0732194110751152
