assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,609,136,0,0,0.0,0.0,2020-12-19T15:00:00Z,0,16,0,0,0,0,14,0,0,1,0,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,609,145,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,14,0,0,0,0,15,0,59,0,2,0.0,0,22,31,9,45,True,0
0,0,0,0,0.0,609,161,0,0,0.0,0.0,2021-01-03T16:30:00Z,0,5,0,0,0,0,17,0,88,3,1,0.0,0,1,19,18,45,False,0
0,0,0,0,0.0,609,178,0,0,0.0,0.0,2021-01-13T18:00:00Z,0,3,0,0,0,0,18,0,206,0,1,0.0,0,18,47,29,45,True,0
0,0,0,0,0.0,609,185,0,0,0.0,0.0,2021-01-17T19:15:00Z,0,6,0,0,0,0,19,0,176,0,4,0.0,0,5,28,23,45,True,0
0,0,0,0,0.0,609,380,0,0,0.0,0.0,2021-01-20T18:00:00Z,0,2,0,0,0,0,19,0,176,0,2,0.0,0,5,28,23,45,True,0
0,0,0,0,0.0,609,193,0,0,0.0,0.0,2021-01-26T20:15:00Z,0,18,0,0,0,0,20,0,201,5,0,0.0,0,3,28,25,45,False,0
0,0,0,0,0.0,609,205,0,0,0.0,0.0,2021-01-30T15:00:00Z,0,15,0,0,0,0,21,0,213,0,1,0.0,0,-7,13,20,45,True,0
0,0,0,0,0.0,609,210,0,0,0.0,0.0,2021-02-03T18:00:00Z,0,4,0,0,0,0,22,0,226,2,0,0.0,0,4,19,15,45,False,0
0,0,0,0,0.0,609,223,0,0,0.0,0.0,2021-02-07T16:30:00Z,0,11,0,0,0,0,23,0,241,4,1,0.0,0,1,21,20,45,False,0
0,0,0,0,0.0,609,235,0,0,0.0,0.0,2021-02-13T17:30:00Z,0,17,0,0,0,0,24,0,236,0,3,0.0,0,-19,18,37,45,True,0
0,0,0,0,0.0,609,153,0,0,0.0,0.0,2021-02-17T20:15:00Z,0,7,0,0,0,0,24,0,236,3,1,0.0,0,-19,18,37,45,False,0
0,0,0,0,0.0,609,239,0,0,0.0,0.0,2021-02-21T16:30:00Z,0,1,0,0,0,0,25,0,248,1,0,0.0,0,-4,22,26,45,False,0
0,0,0,0,0.0,609,254,0,0,0.0,0.0,2021-02-27T12:30:00Z,0,19,0,0,0,0,26,0,273,1,2,0.0,0,6,23,17,45,True,0
0,0,0,0,0.0,609,284,0,0,0.0,0.0,2021-03-02T20:00:00Z,0,20,0,0,0,0,26,0,273,1,4,0.0,0,6,23,17,45,True,0
0,0,0,0,0.0,609,264,0,0,0.0,0.0,2021-03-07T16:30:00Z,0,13,0,0,0,0,27,0,276,2,0,0.0,0,-6,10,16,45,True,0
0,0,0,0,0.0,609,325,0,0,0.0,0.0,2021-03-10T18:00:00Z,0,16,0,0,0,0,27,0,276,2,5,0.0,0,-6,10,16,45,True,0
0,0,0,0,0.0,609,272,0,0,0.0,0.0,2021-03-13T20:00:00Z,0,8,0,0,0,0,28,0,281,3,0,0.0,0,-5,10,15,45,False,0
0,0,0,0,0.0,609,294,0,0,0.0,0.0,2021-04-03T16:30:00Z,0,9,0,0,0,0,30,0,297,2,0,0.0,0,-1,9,10,45,False,0
0,0,0,0,0.0,609,304,0,0,0.0,0.0,2021-04-10T11:30:00Z,0,10,0,0,0,0,31,0,298,2,1,0.0,0,-4,3,7,45,True,0
0,0,0,0,0.0,609,310,0,0,0.0,0.0,2021-04-21T19:15:00Z,0,2,0,0,0,0,32,0,303,2,1,0.0,0,0,5,5,45,False,0
0,0,0,0,0.0,609,332,0,0,0.0,0.0,2021-05-01T11:30:00Z,0,6,0,0,0,0,34,0,323,2,0,0.0,0,6,13,7,45,False,0
0,0,0,0,0.0,609,345,0,0,0.0,0.0,2021-05-08T16:30:00Z,0,5,0,0,0,0,35,0,323,2,1,0.0,0,-4,11,15,45,True,0
0,0,0,0,0.0,609,356,0,0,0.0,0.0,2021-05-14T19:00:00Z,0,14,0,0,0,0,36,0,333,4,3,0.0,0,2,12,10,45,False,0
0,0,0,0,0.0,609,359,0,0,0.0,0.0,2021-05-18T18:00:00Z,0,3,0,0,0,0,37,0,341,2,3,0.0,0,1,11,10,45,False,0
0,0,0,0,0.0,609,375,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,7,0,0,0,0,38,0,348,0,5,0.0,0,4,13,9,45,True,0
