assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,16,0,0,0,5,0,4,11,0.9,0,0,474,0,0,1,3,2,0,1.0,474,8.8,0,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,81,0,0,1,0,0,0,0,4,0,1,0,6163,1,0,0,3,4,0.0,2,0,0,0,45,False,0,0
0,44,0,0,0,13,1,2,37,11.5,0,0,474,0,0,13,1,0,0,2.8,985,7.2,1,2017-08-19T14:00:00Z,19 Aug 15:00,0,0,90,0,0,3,0,0,0,0,12,0,2,0,13400,1,0,1,0,2,9.0,3,1461,2592,1131,45,True,0,0
0,40,0,0,0,6,0,6,30,1.8,0,0,474,0,0,25,1,2,0,1.7,1501,13.8,0,2017-08-26T16:30:00Z,26 Aug 17:30,0,0,90,0,0,12,0,0,0,0,5,0,3,0,21152,1,0,1,0,2,1.0,1,4237,7093,2856,45,False,0,1
0,34,0,0,0,11,0,4,26,2.2,1,0,474,0,0,34,2,2,0,1.8,2032,7.6,0,2017-09-09T14:00:00Z,09 Sep 15:00,0,0,77,0,0,5,0,0,0,0,1,0,4,0,23490,0,1,0,2,1,8.0,2,490,3187,2697,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,43,0,0,0,0.0,2576,0.0,0,2017-09-16T14:00:00Z,16 Sep 15:00,0,0,0,0,0,8,0,0,0,0,0,0,5,0,24146,0,0,0,1,1,0.0,0,-144,3098,3242,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,53,0,0,0,0.0,3122,0.0,0,2017-09-23T16:30:00Z,23 Sep 17:30,0,0,0,0,0,10,0,0,0,0,0,0,6,0,20069,0,0,0,3,2,0.0,0,-4146,165,4311,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,61,0,0,0,0.0,3672,0.0,0,2017-09-30T14:00:00Z,30 Sep 15:00,0,0,0,0,0,2,0,0,0,0,0,0,7,0,17017,0,0,0,0,0,0.0,0,-3083,79,3162,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,74,0,0,0,0.0,4226,0.0,0,2017-10-16T19:00:00Z,16 Oct 20:00,0,0,0,0,0,19,0,0,0,0,0,0,8,0,15223,0,0,0,1,1,0.0,0,-1820,46,1866,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,88,0,0,0,0.0,4783,0.0,0,2017-10-21T14:00:00Z,21 Oct 15:00,0,0,0,0,0,16,0,0,0,0,0,0,9,0,14307,0,0,0,2,1,0.0,0,-919,28,947,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,96,0,0,0,0.0,5342,0.0,0,2017-10-29T16:00:00Z,29 Oct 16:00,0,0,0,0,0,7,0,0,0,0,0,0,10,0,13213,0,0,0,0,2,0.0,0,-1100,26,1126,45,True,0,0
