assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,3,28,1,0.0,353,10,0,0,3.2,31.8,2021-08-15T15:30:00Z,90,12,0,0,0,0,1,4,224734,0,1,0.0,10,0,0,0,55,True,0
0,3,35,1,10.0,353,17,0,0,5.4,44.0,2021-08-22T13:00:00Z,90,20,0,0,0,0,2,6,363408,1,0,0.0,11,32520,49646,17126,55,False,0
0,0,23,1,0.0,353,27,0,0,1.8,18.0,2021-08-29T13:00:00Z,90,18,0,0,0,0,3,2,564232,0,1,0.0,6,116927,141787,24860,55,True,0
0,0,11,0,0.0,353,34,3,0,1.2,11.6,2021-09-11T11:30:00Z,90,7,0,0,0,0,4,1,995983,0,3,0.0,1,337135,416968,79833,56,False,0
0,0,19,0,0.0,353,48,3,0,5.2,52.0,2021-09-19T15:30:00Z,90,6,0,0,0,0,5,6,877029,3,0,0.0,3,-107263,36324,143587,56,True,0
0,0,16,0,0.0,353,51,3,0,2.7,27.4,2021-09-26T15:30:00Z,90,1,0,0,0,0,6,4,856648,1,3,0.0,2,-39745,29133,68878,56,False,0
0,0,16,0,10.0,353,68,1,0,2.6,16.2,2021-10-03T13:00:00Z,90,2,0,0,0,0,7,2,802843,1,2,0.0,2,-57984,10070,68054,56,True,0
0,0,8,0,0.0,353,77,2,0,0.3,2.8,2021-10-17T15:30:00Z,90,14,0,0,0,0,8,0,814377,3,2,0.0,1,-516,38514,39030,55,False,0
0,0,15,0,3.0,353,90,1,0,3.3,29.6,2021-10-24T13:00:00Z,90,19,0,0,0,0,9,3,765737,0,1,0.0,3,-47242,9183,56425,55,False,0
0,0,9,0,0.0,353,98,3,0,0.7,7.4,2021-10-30T16:30:00Z,90,13,0,0,0,0,10,1,716353,3,0,0.0,1,-52132,4842,56974,55,True,0
0,0,25,1,0.0,353,106,0,0,1.4,14.0,2021-11-07T14:00:00Z,90,8,0,0,0,0,11,2,693686,0,0,0.0,6,-27786,8121,35907,54,False,0
0,0,21,0,0.0,353,118,1,0,3.8,38.2,2021-11-21T16:30:00Z,90,10,0,0,0,0,12,6,744936,1,2,0.0,4,43659,62085,18426,54,True,0
0,1,26,1,0.0,353,140,0,0,2.0,20.4,2021-12-02T19:30:00Z,90,3,0,0,0,0,14,2,743921,0,2,0.0,7,-2778,13230,16008,54,True,0
0,0,24,1,0.0,353,147,0,0,1.6,16.0,2021-12-05T14:00:00Z,90,15,0,0,0,0,15,1,764951,0,3,0.0,6,16187,28421,12234,54,True,0
0,0,19,0,0.0,353,177,2,0,2.6,26.4,2021-12-19T16:30:00Z,90,11,0,0,0,0,18,4,672889,2,2,0.0,2,-14705,4994,19699,54,True,0
0,0,18,1,0.0,353,188,0,0,0.2,1.6,2021-12-26T15:00:00Z,90,7,0,0,0,0,19,0,703854,0,3,0.0,6,9098,21932,12834,54,True,0
0,0,11,0,0.0,353,199,1,0,0.7,7.0,2021-12-28T15:00:00Z,90,16,0,0,0,0,20,1,793807,1,1,0.0,2,75642,83382,7740,54,False,0
0,1,31,1,0.0,353,210,0,0,2.9,29.2,2022-01-01T15:00:00Z,90,18,0,0,0,0,21,4,766426,1,0,0.0,8,-5040,26126,31166,54,False,0
0,0,10,0,0.0,353,166,2,0,1.4,14.4,2022-01-19T19:30:00Z,90,9,0,0,0,0,22,2,817329,3,2,0.0,1,30790,71135,40345,54,False,0
0,0,18,0,0.0,353,223,2,0,3.3,32.6,2022-01-23T16:30:00Z,90,6,0,0,0,0,23,5,774908,0,2,0.0,2,-24141,5835,29976,54,False,0
0,0,21,0,0.0,353,240,3,0,4.6,46.4,2022-02-09T19:45:00Z,90,16,0,0,0,0,24,6,766321,3,2,0.0,3,-12572,11375,23947,54,True,0
0,0,17,0,0.0,353,249,2,0,3.4,34.2,2022-02-13T14:00:00Z,90,20,0,0,0,0,25,5,743549,2,0,0.0,2,-21476,4789,26265,54,True,0
0,0,8,0,0.0,353,257,2,0,0.5,4.6,2022-02-19T17:30:00Z,90,12,0,0,0,0,26,2,713218,3,2,0.0,0,-26109,6091,32200,54,False,1
0,0,16,0,0.0,353,124,1,0,2.4,24.0,2022-02-23T19:30:00Z,90,5,0,0,0,0,26,3,713218,0,1,0.0,3,-26109,6091,32200,54,False,0
0,0,23,1,0.0,353,267,0,0,1.7,16.8,2022-02-26T12:30:00Z,90,10,0,0,0,0,27,2,711911,4,0,0.0,6,-4627,11144,15771,54,False,0
0,0,20,1,0.0,353,278,0,0,0.3,3.4,2022-03-07T20:00:00Z,90,8,0,0,0,0,28,0,688349,0,5,0.0,6,-23301,6207,29508,54,True,0
0,0,14,0,0.0,353,288,3,0,2.6,26.2,2022-03-12T17:30:00Z,90,13,0,0,0,0,29,3,722156,2,3,0.0,2,19785,35478,15693,54,False,0
0,0,19,1,0.0,353,153,0,0,0.4,3.6,2022-03-16T19:30:00Z,90,4,0,0,0,0,29,0,722156,2,0,0.0,6,19785,35478,15693,54,False,0
0,0,7,0,0.0,353,298,1,0,0.2,2.2,2022-03-20T16:30:00Z,90,19,0,0,0,0,30,0,716378,1,3,0.0,2,1862,14382,12520,54,True,0
0,0,7,0,0.0,353,308,1,0,0.2,1.6,2022-04-03T15:30:00Z,90,14,0,0,0,0,31,0,721431,1,5,0.0,2,1465,16009,14544,54,True,0
0,2,37,1,0.0,353,312,0,0,5.0,50.4,2022-04-09T16:30:00Z,90,2,0,0,0,0,32,8,717597,4,0,0.0,10,-4895,6745,11640,54,False,0
0,0,19,0,0.0,353,327,1,0,2.1,20.8,2022-04-16T11:30:00Z,90,4,0,0,0,0,33,3,731253,1,0,0.0,3,14090,26113,12023,54,True,0
0,0,22,1,0.0,353,332,0,0,1.0,10.2,2022-04-23T16:30:00Z,90,3,0,0,0,0,34,1,730396,0,0,0.0,6,-4247,10938,15185,54,False,0
0,0,9,0,0.0,353,347,1,0,1.2,12.0,2022-05-01T13:00:00Z,90,9,0,0,0,0,35,1,727954,1,3,0.0,2,-3966,7178,11144,54,True,0
0,0,13,0,0.0,353,358,1,0,1.1,11.0,2022-05-07T18:45:00Z,90,11,0,0,0,0,36,2,707196,1,1,0.0,2,-16938,5924,22862,54,False,0
0,1,30,1,0.0,353,218,0,0,2.6,25.6,2022-05-12T18:45:00Z,90,1,0,0,0,0,36,4,707196,0,3,0.0,8,-16938,5924,22862,54,True,0
0,0,19,1,0.0,353,367,0,0,1.0,10.0,2022-05-15T11:00:00Z,90,5,0,0,0,0,37,1,722096,0,1,0.0,5,10966,21366,10400,54,True,1
0,0,19,1,0.0,353,380,0,0,0.0,0.0,2022-05-22T15:00:00Z,90,15,0,0,0,0,38,0,797928,5,0,0.0,6,51821,62594,10773,55,False,0
