assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,13,0,3.5,185,0.02,0.14,0.12,1.64,3,1,0,3.9,10.0,2022-08-06T16:30:00Z,90,6,0,0,0,0,1,0,18221,1,1,0,25.0,2,0,0,0,55,True,0
0,0,3,0,0.6,185,0.00,0.00,0.00,0.37,12,1,0,0.3,0.2,2022-08-13T11:30:00Z,34,2,0,0,0,0,2,0,24075,1,1,2,2.0,1,691,3774,3083,55,False,0
0,0,0,0,0.0,185,0.00,0.00,0.00,0.00,23,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,16,0,0,0,0,3,0,14337,0,1,1,0.0,0,-9541,269,9810,54,True,0
0,0,0,0,0.0,185,0.00,0.00,0.00,0.00,33,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,4,0,0,0,0,4,0,10094,0,1,1,0.0,0,-4665,57,4722,54,False,0
0,0,0,0,0.0,185,0.00,0.00,0.00,0.00,45,0,0,0.0,0.0,2022-08-30T19:00:00Z,0,11,0,0,0,0,5,0,8484,0,1,1,0.0,0,-1722,28,1750,53,False,0
0,0,0,0,0.0,185,0.00,0.00,0.00,0.00,55,0,0,0.0,0.0,2022-09-03T11:30:00Z,0,12,0,0,0,0,6,0,7352,0,0,0,0.0,0,-1174,52,1226,53,True,0
0,0,3,0,0.8,185,0.01,0.01,0.00,0.33,75,0,0,0.1,0.6,2022-09-18T13:15:00Z,9,19,0,0,0,0,8,0,6677,0,0,1,0.0,1,-153,82,235,53,True,0
0,0,3,0,0.0,185,0.00,0.00,0.00,0.23,89,0,0,0.0,0.0,2022-10-01T14:00:00Z,1,17,0,0,0,0,9,0,6861,0,2,1,0.0,1,36,292,256,53,False,0
0,0,0,0,0.0,185,0.00,0.00,0.00,0.00,96,0,0,0.0,0.0,2022-10-09T18:00:00Z,0,14,0,0,0,0,10,0,6981,0,2,1,0.0,0,-7,330,337,53,True,0
0,0,0,0,0.0,185,0.00,0.00,0.00,0.00,109,0,0,0.0,0.0,2022-10-15T16:30:00Z,0,18,0,0,0,0,11,0,6996,0,0,2,0.0,0,-101,177,278,53,False,0
0,0,0,0,0.0,185,0.00,0.00,0.00,0.00,120,0,0,0.0,0.0,2022-10-19T18:30:00Z,0,15,0,0,0,0,12,0,6980,0,0,1,0.0,0,-75,121,196,53,False,0
0,0,3,0,0.1,185,0.00,0.00,0.00,0.07,123,0,0,0.0,0.2,2022-10-22T14:00:00Z,4,7,0,0,0,0,13,0,6965,0,0,3,0.0,1,-72,127,199,53,True,0
0,0,0,0,0.0,185,0.00,0.00,0.00,0.00,136,0,0,0.0,0.0,2022-10-29T16:30:00Z,0,9,0,0,0,0,14,0,6976,0,0,0,0.0,0,-73,161,234,53,False,0
0,0,3,0,3.5,185,0.03,0.03,0.00,0.83,143,1,0,0.8,0.6,2022-11-05T17:30:00Z,29,10,0,0,0,0,15,0,6914,0,2,0,4.0,1,-117,125,242,53,True,0
0,0,3,0,0.7,185,0.00,0.00,0.00,0.21,151,0,0,0.3,2.2,2022-11-12T15:00:00Z,15,3,0,0,0,0,16,0,6880,0,0,3,0.0,1,-90,101,191,53,False,0
0,0,3,0,0.6,185,0.00,0.00,0.00,0.23,166,1,0,0.1,0.2,2022-12-26T15:00:00Z,7,20,0,0,0,0,17,0,7045,0,2,1,0.0,1,65,428,363,53,True,0
0,0,3,0,0.0,185,0.00,0.00,0.00,0.48,175,0,0,0.1,1.0,2022-12-31T15:00:00Z,1,13,0,0,0,0,18,0,7004,0,1,1,0.0,1,-94,64,158,53,False,0
0,0,-2,0,0.4,185,0.00,0.06,0.06,0.33,186,0,0,0.1,0.0,2023-01-03T19:45:00Z,32,5,0,0,0,0,19,0,6982,0,4,1,4.0,0,-45,69,114,53,True,1
0,0,0,0,0.0,185,0.00,0.00,0.00,0.00,195,0,0,0.0,0.0,2023-01-14T15:00:00Z,0,17,0,0,0,0,20,0,6968,0,2,1,0.0,0,-63,112,175,53,True,0
0,0,0,0,0.0,185,0.00,0.00,0.00,0.00,210,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,19,0,0,0,0,21,0,6919,0,0,2,0.0,0,-76,48,124,53,False,0
0,0,6,1,11.8,185,0.01,0.25,0.24,0.86,215,0,0,3.3,11.4,2023-02-04T12:30:00Z,90,1,0,0,0,0,22,0,6846,1,0,1,10.0,3,-108,63,171,53,True,0
