assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,-1,0,1.6,436,6,1,0,3.0,2.8,2020-09-12T19:00:00Z,23,14,0,0,0,0,1,0,14140,2,0,26.0,0,0,0,0,60,True,1
0,0,4,0,4.7,436,9,1,0,0.7,2.2,2020-09-19T19:00:00Z,7,1,0,0,0,0,2,0,11308,1,2,0.0,1,-4121,512,4633,59,False,0
0,0,0,0,0.0,436,28,0,0,0.0,0.0,2020-09-27T18:00:00Z,0,20,0,0,0,0,3,0,9759,0,4,0.0,0,-2231,917,3148,59,True,0
0,0,0,0,0.0,436,34,0,0,0.0,0.0,2020-10-04T11:00:00Z,0,9,0,0,0,0,4,0,8650,3,0,0.0,0,-1504,527,2031,58,False,0
0,0,3,0,0.6,436,47,0,0,0.1,0.4,2020-10-18T15:30:00Z,13,17,0,0,0,0,5,0,7565,3,3,0.0,1,-1438,268,1706,57,False,0
0,0,1,0,10.3,436,57,0,0,1.2,0.0,2020-10-24T11:30:00Z,38,12,0,0,0,0,6,0,7267,1,1,3.0,1,-509,274,783,57,True,0
0,0,1,0,1.3,436,63,1,0,0.1,0.0,2020-10-31T17:30:00Z,16,11,0,0,0,0,7,0,7017,1,2,0.0,1,-433,235,668,57,False,0
0,0,0,0,0.0,436,78,0,0,0.0,0.0,2020-11-07T20:00:00Z,0,8,0,0,0,0,8,0,6960,0,1,0.0,0,-217,337,554,57,True,0
0,0,0,0,0.0,436,86,0,0,0.0,0.0,2020-11-22T14:00:00Z,0,15,0,0,0,0,9,0,6250,1,0,0.0,0,-773,128,901,56,False,0
0,0,0,0,0.0,436,98,0,0,0.0,0.0,2020-11-30T20:00:00Z,0,2,0,0,0,0,10,0,5903,1,2,0.0,0,-379,16,395,56,True,0
0,0,0,0,0.0,436,108,0,0,0.0,0.0,2020-12-05T17:30:00Z,0,13,0,0,0,0,11,0,5596,3,1,0.0,0,-327,45,372,56,True,0
0,0,0,0,0.0,436,113,0,0,0.0,0.0,2020-12-11T20:00:00Z,0,10,0,0,0,0,12,0,5622,2,1,0.0,0,-65,108,173,56,False,0
0,0,5,0,1.0,436,125,0,0,0.5,4.4,2020-12-16T20:00:00Z,10,6,0,0,0,0,13,0,5618,1,1,0.0,1,-45,93,138,56,True,0
0,0,0,0,0.0,436,131,0,0,0.0,0.0,2020-12-21T20:00:00Z,0,5,0,0,0,0,14,0,5598,0,3,0.0,0,-74,70,144,56,False,0
0,0,6,0,16.8,436,147,1,0,3.6,9.2,2020-12-27T14:15:00Z,45,3,0,0,0,0,15,0,5659,2,2,10.0,1,-46,125,171,55,True,0
0,0,5,1,6.9,436,156,0,0,2.3,6.0,2020-12-29T18:00:00Z,71,16,0,0,0,0,16,0,5712,0,0,10.0,2,13,98,85,55,False,1
0,0,4,0,10.3,436,163,0,0,1.3,2.2,2021-01-01T17:30:00Z,17,7,0,0,0,0,17,0,5754,1,0,0.0,1,-24,118,142,55,False,0
0,0,1,0,10.0,436,187,0,0,4.9,1.0,2021-01-16T15:00:00Z,8,4,0,0,0,0,19,0,5852,0,1,38.0,1,51,172,121,55,True,0
1,0,15,0,12.3,436,175,0,0,5.3,21.2,2021-01-19T18:00:00Z,28,18,0,0,0,0,19,0,5852,1,2,19.0,4,51,172,121,55,True,0
0,0,1,0,0.0,436,195,1,0,0.0,0.2,2021-01-26T18:00:00Z,7,6,0,0,0,0,20,0,5866,3,2,0.0,1,-50,136,186,55,False,0
0,0,3,0,1.3,436,208,2,0,0.2,0.4,2021-01-31T16:30:00Z,28,11,0,0,0,0,21,0,5781,3,1,0.0,1,-113,50,163,55,True,0
0,0,0,0,0.0,436,209,0,0,0.0,0.0,2021-02-03T20:15:00Z,0,2,0,0,0,0,22,0,5787,3,1,0.0,0,-42,47,89,55,False,0
0,0,-4,0,0.5,436,221,0,0,0.0,0.0,2021-02-06T17:30:00Z,34,8,0,0,0,0,23,0,5790,0,0,0.0,0,-49,65,114,55,False,1
0,0,0,0,0.0,436,238,0,0,0.0,0.0,2021-02-15T18:00:00Z,0,15,0,0,0,0,24,0,5674,0,3,0.0,0,-160,37,197,55,True,0
0,0,0,0,0.0,436,247,0,0,0.0,0.0,2021-02-21T12:00:00Z,0,17,0,0,0,0,25,0,5552,1,2,0.0,0,-129,9,138,55,True,0
0,0,0,0,0.0,436,254,0,0,0.0,0.0,2021-02-27T12:30:00Z,0,12,0,0,0,0,26,0,5453,1,2,0.0,0,-101,23,124,55,False,0
0,0,0,0,0.0,436,268,0,0,0.0,0.0,2021-03-08T20:00:00Z,0,10,0,0,0,0,27,0,5373,0,2,0.0,0,-88,13,101,55,True,0
0,0,0,0,0.0,436,275,0,0,0.0,0.0,2021-03-14T19:15:00Z,0,13,0,0,0,0,28,0,5336,0,1,0.0,0,-38,34,72,55,False,0
0,0,0,0,0.0,436,288,0,0,0.0,0.0,2021-03-21T15:00:00Z,0,1,0,0,0,0,29,0,5331,3,3,0.0,0,-6,42,48,55,True,0
0,0,0,0,0.0,436,298,0,0,0.0,0.0,2021-04-05T19:15:00Z,0,20,0,0,0,0,30,0,5300,3,2,0.0,0,-36,15,51,55,False,0
