assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,11,0,11.2,435,6,2,0,2.2,10.4,2020-09-12T19:00:00Z,90,14,0,0,0,0,1,0,70232,2,0,0.0,1,0,0,0,50,True,0
0,0,17,0,35.0,435,9,2,0,6.2,27.0,2020-09-19T19:00:00Z,90,1,0,0,0,0,2,0,62831,1,2,0.0,1,-12662,1523,14185,50,False,0
0,1,32,1,52.5,435,28,0,0,8.8,35.8,2020-09-27T18:00:00Z,90,20,0,0,0,0,3,0,58281,0,4,0.0,7,-7282,2292,9574,49,True,0
2,3,57,1,52.5,435,34,0,0,10.5,52.8,2020-10-04T11:00:00Z,90,9,0,0,0,0,4,0,61303,3,0,0.0,15,77,5241,5164,49,False,0
1,1,27,0,34.0,435,47,3,0,6.8,32.6,2020-10-18T15:30:00Z,90,17,0,0,0,0,5,0,255018,3,3,1.0,5,148325,175436,27111,49,False,0
0,0,14,0,14.8,435,57,1,0,2.4,9.4,2020-10-24T11:30:00Z,90,12,0,0,0,0,6,0,409738,1,1,0.0,2,144609,167136,22527,50,True,0
0,0,11,0,0.5,435,63,2,0,2.4,23.4,2020-10-31T17:30:00Z,90,11,0,0,0,0,7,0,495472,1,2,0.0,1,79483,102254,22771,50,False,0
0,0,28,1,64.7,435,78,0,0,9.8,25.0,2020-11-07T20:00:00Z,90,8,0,0,0,0,8,0,591798,0,1,8.0,6,86430,129763,43333,51,True,0
0,1,29,1,20.5,435,86,0,0,4.0,19.4,2020-11-22T14:00:00Z,90,15,0,0,0,0,9,0,701664,1,0,0.0,7,91007,124019,33012,51,False,0
0,0,8,0,4.3,435,98,1,0,1.9,14.6,2020-11-30T20:00:00Z,90,2,0,0,0,0,10,0,799406,1,2,0.0,2,105082,125744,20662,52,True,0
0,0,15,0,30.8,435,108,3,0,5.2,14.4,2020-12-05T17:30:00Z,90,13,0,0,0,0,11,0,826057,3,1,7.0,1,33441,72092,38651,52,True,0
1,0,24,0,29.3,435,113,1,0,6.3,33.2,2020-12-11T20:00:00Z,90,10,0,0,0,0,12,0,828738,2,1,0.0,5,-4686,39220,43906,52,False,0
0,0,4,0,6.7,435,125,1,0,1.1,3.2,2020-12-16T20:00:00Z,90,6,0,0,0,0,13,0,886573,1,1,1.0,2,50874,66585,15711,52,True,0
0,0,14,0,20.6,435,131,3,0,3.9,10.0,2020-12-21T20:00:00Z,90,5,0,0,0,0,14,0,891542,0,3,8.0,1,5430,37935,32505,52,False,0
1,0,21,0,22.9,435,147,2,0,4.4,13.0,2020-12-27T14:15:00Z,90,3,0,0,0,0,15,0,951670,2,2,8.0,4,54438,95615,41177,53,True,0
0,0,22,1,9.3,435,156,0,0,2.0,8.6,2020-12-29T18:00:00Z,90,16,0,0,0,0,16,0,967983,0,0,2.0,6,15432,49964,34532,53,False,0
1,2,33,1,7.1,435,163,0,0,2.6,6.4,2021-01-01T17:30:00Z,90,7,0,0,0,0,17,0,997919,1,0,12.0,11,26545,67591,41046,53,False,0
0,2,26,1,3.5,435,187,0,0,1.8,14.4,2021-01-16T15:00:00Z,90,4,0,0,0,0,19,0,1432683,0,1,0.0,8,286229,317337,31108,54,True,0
0,0,14,0,43.0,435,175,1,0,6.8,25.0,2021-01-19T18:00:00Z,90,18,0,0,0,0,19,0,1432683,1,2,0.0,2,286229,317337,31108,54,True,0
1,1,25,0,22.1,435,195,2,0,4.7,20.4,2021-01-26T18:00:00Z,90,6,0,0,0,0,20,0,1518027,3,2,4.0,5,144620,196418,51798,54,False,0
1,0,21,0,0.8,435,208,3,0,1.7,14.4,2021-01-31T16:30:00Z,90,11,0,0,0,0,21,0,1583952,3,1,2.0,4,63371,117855,54484,55,True,0
0,0,10,0,24.8,435,209,1,0,5.1,12.8,2021-02-03T20:15:00Z,90,2,0,0,0,0,22,0,1737759,3,1,13.0,1,146283,165208,18925,56,False,1
0,3,27,1,35.3,435,221,0,0,5.3,16.2,2021-02-06T17:30:00Z,90,8,0,0,0,0,23,0,1924880,0,0,1.0,9,176569,203603,27034,57,False,0
1,3,37,1,29.9,435,238,0,0,6.1,29.8,2021-02-15T18:00:00Z,90,15,0,0,0,0,24,0,2066573,0,3,1.0,12,129954,170054,40100,58,True,0
0,0,18,0,19.1,435,247,1,0,4.3,23.4,2021-02-21T12:00:00Z,90,17,0,0,0,0,25,0,2132355,1,2,0.0,2,58278,120087,61809,58,True,0
0,0,11,0,25.3,435,254,2,0,3.8,12.8,2021-02-27T12:30:00Z,90,12,0,0,0,0,26,0,1951095,1,2,0.0,1,-166541,81280,247821,58,False,0
1,3,44,1,36.8,435,268,0,0,7.8,33.0,2021-03-08T20:00:00Z,90,10,0,0,0,0,27,0,2033246,0,2,8.0,12,48508,85189,36681,58,True,0
0,0,14,0,2.0,435,275,1,0,1.9,17.2,2021-03-14T19:15:00Z,90,13,0,0,0,0,28,0,2124645,0,1,0.0,2,84034,113181,29147,58,False,0
0,0,8,0,12.7,435,288,3,0,2.3,10.4,2021-03-21T15:00:00Z,90,1,0,0,0,0,29,0,2475507,3,3,0.0,0,204684,221244,16560,59,True,1
0,0,11,0,14.3,435,298,2,0,2.1,6.6,2021-04-05T19:15:00Z,90,20,0,0,0,0,30,0,2332090,3,2,0.0,1,-7051,41567,48618,59,False,0
