assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,20,0,0.0,213,3,4,0,1.8,17.8,2020-09-12T16:30:00Z,90,11,0,0,0,0,1,3,55373,3,4,0.0,1,0,0,0,45,False,0
0,0,19,0,10.0,213,13,3,0,3.2,22.2,2020-09-19T14:00:00Z,90,8,0,0,0,0,2,3,108204,3,4,0.0,2,27672,40170,12498,45,True,0
0,3,36,1,0.0,213,25,0,0,3.2,31.6,2020-09-27T11:00:00Z,90,15,0,0,0,0,3,4,115077,1,0,0.0,10,1355,18907,17552,45,False,0
0,0,11,0,0.0,213,33,1,0,0.3,3.0,2020-10-03T16:30:00Z,90,12,0,0,0,0,4,1,166512,1,1,0.0,2,36748,52330,15582,45,True,0
0,0,12,0,0.0,213,42,1,0,1.6,16.4,2020-10-19T19:00:00Z,90,20,0,0,0,0,5,2,239566,1,0,0.0,2,59536,81587,22051,45,True,0
0,0,27,1,0.0,213,50,0,0,2.4,23.6,2020-10-23T19:00:00Z,90,2,0,0,0,0,6,3,255397,3,0,0.0,7,16184,30162,13978,45,False,0
0,0,16,0,0.0,213,62,4,0,2.7,26.8,2020-11-02T20:00:00Z,90,9,0,0,0,0,7,4,301937,4,1,0.0,1,37712,46275,8563,45,True,0
0,0,12,0,0.0,213,72,4,0,1.9,18.8,2020-11-07T15:00:00Z,90,6,0,0,0,0,8,3,311335,1,4,0.0,1,8611,20451,11840,45,False,0
0,0,23,1,0.0,213,82,0,0,2.0,20.2,2020-11-22T16:30:00Z,90,1,0,0,0,0,9,2,300945,0,0,0.0,6,-10090,9754,19844,45,True,0
0,3,38,1,0.0,213,93,0,0,5.2,51.6,2020-11-28T17:30:00Z,90,7,0,0,0,0,10,8,301635,1,0,0.0,11,-1702,7817,9519,45,False,0
0,0,21,0,0.0,213,102,3,0,5.4,54.2,2020-12-05T20:00:00Z,90,5,0,0,0,0,11,7,352439,1,3,0.0,3,43826,52241,8415,46,False,0
0,0,25,0,0.0,213,113,2,0,4.9,49.0,2020-12-11T20:00:00Z,90,19,0,0,0,0,12,6,409595,2,1,0.0,3,50380,58168,7788,46,True,0
0,0,12,0,0.0,213,122,2,0,2.1,20.6,2020-12-16T18:00:00Z,90,14,0,0,0,0,13,2,423337,2,5,0.0,1,13573,23788,10215,46,True,0
0,0,23,0,0.0,213,134,6,0,6.0,60.2,2020-12-20T16:30:00Z,90,13,0,0,0,0,14,8,421572,2,6,0.0,1,-1904,15291,17195,46,False,0
0,3,38,1,0.0,213,142,0,0,4.5,45.0,2020-12-27T12:00:00Z,90,4,0,0,0,0,15,6,433220,0,1,0.0,11,8746,25540,16794,46,True,0
0,0,25,1,0.0,213,158,0,0,1.0,9.8,2020-12-29T18:00:00Z,90,18,0,0,0,0,16,1,475464,5,0,0.0,6,38201,47975,9774,46,False,0
0,0,21,0,0.0,213,167,3,0,3.8,37.6,2021-01-02T12:30:00Z,90,17,0,0,0,0,17,4,492569,0,3,0.0,2,17051,44161,27110,46,False,0
0,0,0,0,0.0,213,182,0,0,0.0,0.0,2021-01-16T15:00:00Z,0,3,0,0,0,0,19,0,517440,1,0,0.0,0,14028,57118,43090,47,True,0
0,0,17,0,0.0,213,196,1,0,2.4,23.8,2021-01-26T18:00:00Z,90,14,0,0,0,0,20,4,466179,2,1,0.0,3,-58108,6429,64537,47,False,0
0,0,24,0,0.0,213,204,1,0,3.9,39.0,2021-01-31T14:00:00Z,90,9,0,0,0,0,21,7,453699,3,1,0.0,4,-13957,5408,19365,47,False,0
0,0,16,0,0.0,213,212,2,0,3.2,31.8,2021-02-03T19:30:00Z,90,7,0,0,0,0,22,4,449538,2,1,0.0,2,-5262,6877,12139,47,True,0
0,3,34,1,0.0,213,222,0,0,2.3,23.4,2021-02-08T20:00:00Z,90,6,0,0,0,0,23,3,452769,0,2,0.0,10,1805,15611,13806,47,True,0
0,0,6,0,0.0,213,229,4,0,0.0,0.0,2021-02-14T16:30:00Z,90,1,0,0,0,0,24,1,449567,2,4,0.0,0,-2507,19215,21722,47,False,0
0,0,13,0,0.0,213,248,1,0,2.6,26.2,2021-02-19T20:00:00Z,90,20,1,0,0,0,25,5,469219,0,1,0.0,1,15057,32545,17488,47,False,0
0,2,34,1,0.0,213,172,0,0,4.2,42.0,2021-02-23T18:00:00Z,90,16,0,0,0,0,25,5,469219,0,3,0.0,9,15057,32545,17488,47,True,0
0,0,13,0,0.0,213,252,1,0,2.0,19.6,2021-02-27T17:30:00Z,90,2,0,0,0,0,26,3,445023,1,0,0.0,3,-21833,16649,38482,46,True,0
0,2,36,0,0.0,213,268,2,0,4.1,41.0,2021-03-08T20:00:00Z,90,19,0,0,1,0,27,3,451902,0,2,0.0,9,2045,13789,11744,46,False,0
