assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,538,18,0,0,0.0,0.0,2020-09-21T19:15:00Z,0,20,0,0,0,0,2,0,0,3,1,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,538,24,0,0,0.0,0.0,2020-09-27T15:30:00Z,0,9,0,0,0,0,3,0,431,5,2,0.0,0,105,136,31,45,True,0
0,0,0,0,0.0,538,33,0,0,0.0,0.0,2020-10-03T16:30:00Z,0,10,0,0,0,0,4,0,892,1,1,0.0,0,54,120,66,45,False,0
0,0,0,0,0.0,538,44,0,0,0.0,0.0,2020-10-17T16:30:00Z,0,1,0,0,0,0,5,0,1324,0,1,0.0,0,2,154,152,45,True,0
0,0,0,0,0.0,538,57,0,0,0.0,0.0,2020-10-24T11:30:00Z,0,19,0,0,0,0,6,0,1519,1,1,0.0,0,-27,105,132,45,False,0
0,0,0,0,0.0,538,66,0,0,0.0,0.0,2020-10-31T12:30:00Z,0,15,0,0,0,0,7,0,1692,1,0,0.0,0,-27,83,110,45,False,0
0,0,0,0,0.0,538,75,0,0,0.0,0.0,2020-11-08T16:30:00Z,0,11,0,0,0,0,8,0,1776,1,1,0.0,0,-44,53,97,45,True,0
0,0,0,0,0.0,538,87,0,0,0.0,0.0,2020-11-21T17:30:00Z,0,17,0,0,0,0,9,0,1868,0,2,0.0,0,-48,62,110,45,False,0
0,0,0,0,0.0,538,95,0,0,0.0,0.0,2020-11-28T15:00:00Z,0,4,0,0,0,0,10,0,1903,0,5,0.0,0,-45,29,74,45,True,0
0,0,0,0,0.0,538,104,0,0,0.0,0.0,2020-12-05T15:00:00Z,0,8,0,0,0,0,11,0,1962,0,2,0.0,0,-47,42,89,45,True,0
0,0,0,0,0.0,538,115,0,0,0.0,0.0,2020-12-12T17:30:00Z,0,13,0,0,0,0,12,0,2029,0,0,0.0,0,-24,53,77,45,False,0
0,0,0,0,0.0,538,128,0,0,0.0,0.0,2020-12-15T20:00:00Z,0,18,0,0,0,0,13,0,2069,1,1,0.0,0,-17,31,48,45,True,0
0,0,0,0,0.0,538,136,0,0,0.0,0.0,2020-12-19T15:00:00Z,0,16,0,0,0,0,14,0,2121,1,0,0.0,0,-8,35,43,45,False,0
0,0,0,0,0.0,538,145,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,14,0,0,0,0,15,0,2232,0,2,0.0,0,-2,60,62,45,True,0
0,0,8,0,0.0,538,161,1,0,1.0,9.6,2021-01-03T16:30:00Z,90,5,0,0,0,0,17,1,2918,3,1,0.0,2,589,783,194,44,False,0
0,0,0,0,0.0,538,178,0,0,0.0,0.0,2021-01-13T18:00:00Z,0,3,0,0,0,0,18,0,51256,0,1,0.0,0,12940,20183,7243,44,True,0
0,0,0,0,0.0,538,185,0,0,0.0,0.0,2021-01-17T19:15:00Z,0,6,0,0,0,0,19,0,10001,0,4,0.0,0,-4871,823,5694,44,True,0
0,0,0,0,0.0,538,380,0,0,0.0,0.0,2021-01-20T18:00:00Z,0,2,0,0,0,0,19,0,10001,0,2,0.0,0,-4871,823,5694,44,True,0
0,0,0,0,0.0,538,193,0,0,0.0,0.0,2021-01-26T20:15:00Z,0,18,0,0,0,0,20,0,8419,5,0,0.0,0,-2646,396,3042,44,False,0
0,0,0,0,0.0,538,205,0,0,0.0,0.0,2021-01-30T15:00:00Z,0,15,0,0,0,0,21,0,7309,0,1,0.0,0,-1235,157,1392,44,True,0
0,0,0,0,0.0,538,210,0,0,0.0,0.0,2021-02-03T18:00:00Z,0,4,0,0,0,0,22,0,6865,2,0,0.0,0,-523,136,659,44,False,0
0,0,0,0,0.0,538,223,0,0,0.0,0.0,2021-02-07T16:30:00Z,0,11,0,0,0,0,23,0,6532,4,1,0.0,0,-448,180,628,44,False,0
0,0,0,0,0.0,538,235,0,0,0.0,0.0,2021-02-13T17:30:00Z,0,17,0,0,0,0,24,0,5851,0,3,0.0,0,-735,202,937,44,True,0
0,0,0,0,0.0,538,153,0,0,0.0,0.0,2021-02-17T20:15:00Z,0,7,0,0,0,0,24,0,5851,3,1,0.0,0,-735,202,937,44,False,0
0,0,0,0,0.0,538,239,0,0,0.0,0.0,2021-02-21T16:30:00Z,0,1,0,0,0,0,25,0,5758,1,0,0.0,0,-261,147,408,44,False,0
0,0,0,0,0.0,538,254,0,0,0.0,0.0,2021-02-27T12:30:00Z,0,19,0,0,0,0,26,0,5444,1,2,0.0,0,-377,184,561,44,True,0
0,0,0,0,0.0,538,284,0,0,0.0,0.0,2021-03-02T20:00:00Z,0,20,0,0,0,0,26,0,5444,1,4,0.0,0,-377,184,561,44,True,0
0,0,0,0,0.0,538,264,0,0,0.0,0.0,2021-03-07T16:30:00Z,0,13,0,0,0,0,27,0,5200,2,0,0.0,0,-332,81,413,44,True,0
0,0,0,0,0.0,538,325,0,0,0.0,0.0,2021-03-10T18:00:00Z,0,16,0,0,0,0,27,0,5200,2,5,0.0,0,-332,81,413,44,True,0
0,0,0,0,0.0,538,272,0,0,0.0,0.0,2021-03-13T20:00:00Z,0,8,0,0,0,0,28,0,5101,3,0,0.0,0,-150,70,220,44,False,0
0,0,0,0,0.0,538,294,0,0,0.0,0.0,2021-04-03T16:30:00Z,0,9,0,0,0,0,30,0,5048,2,0,0.0,0,-45,86,131,44,False,0
