assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,131,0,0,0.0,0.0,2024-12-04T20:15:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,14,0,0,0,0,2,0.0,0,0,0,0,40,False,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,148,0,0,0.0,0.0,2024-12-07T17:30:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,15,0,158,0,3,2,0.0,0,64,75,11,40,True,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,156,0,0,0.0,0.0,2024-12-15T16:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,16,0,351,0,2,1,0.0,0,59,98,39,40,False,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,168,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,17,0,460,0,3,0,0.0,0,7,55,48,40,True,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,180,0,0,0.0,0.0,2024-12-26T17:30:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,18,0,564,0,0,2,0.0,0,1,56,55,40,False,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,188,0,0,0.0,0.0,2024-12-30T20:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,19,0,615,0,2,0,0.0,0,-6,44,50,40,True,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,196,0,0,0.0,0.0,2025-01-05T16:30:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,20,0,771,0,2,2,0.0,0,19,89,70,40,False,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,209,0,0,0.0,0.0,2025-01-16T20:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,21,0,921,0,1,3,0.0,0,-18,56,74,40,True,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,217,0,0,0.0,0.0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,22,0,974,0,3,1,0.0,0,-8,34,42,40,True,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,225,0,0,0.0,0.0,2025-01-26T19:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,23,0,1067,0,1,0,0.0,0,-11,50,61,40,False,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,237,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,24,0,1190,0,2,0,0.0,0,12,59,47,40,True,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,249,0,0,0.0,0.0,2025-02-16T16:30:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,25,0,1340,0,0,1,0.0,0,8,74,66,40,False,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,254,0,0,0.0,0.0,2025-02-22T12:30:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,26,0,1422,0,2,2,0.0,0,17,70,53,40,False,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,270,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,27,0,1426,0,2,3,0.0,0,-34,32,66,40,True,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,276,0,0,0.0,0.0,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,28,0,1468,0,1,1,0.0,0,-21,32,53,40,True,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,287,0,0,0.0,0.0,2025-03-16T19:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,29,0,1531,0,3,0,0.0,0,-23,21,44,40,False,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,294,0,0,0.0,0.0,2025-04-01T19:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,30,0,1538,0,0,1,0.0,0,-10,30,40,40,False,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,308,0,0,0.0,0.0,2025-04-06T15:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,31,0,1552,0,0,0,0.0,0,0,21,21,40,True,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,317,0,0,0.0,0.0,2025-04-13T15:30:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,32,0,1593,0,1,4,0.0,0,8,29,21,40,False,0
0,0,0,0,0.0,691,0.00,0.00,0.00,0.00,328,0,0,0.0,0.0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,33,0,1658,0,1,0,0.0,0,-5,25,30,40,True,0
