assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,526,0,0,16,0,0,0,0.0,1051,0.0,0,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,0,0,0,16,0,0,0,0,0,0,2,0,1194,0,0,0,1,2,0.0,0,422,476,54,50,True,0,0
0,2,0,0,0,3,0,0,1,0.0,0,0,526,0,0,22,0,0,0,0.0,1578,0.0,0,2018-08-25T14:00:00Z,25 Aug 15:00,0,0,1,0,0,2,0,0,0,0,1,0,3,0,3383,0,0,0,2,2,0.0,1,544,996,452,50,False,0,0
0,67,0,0,0,11,0,5,60,1.5,0,0,526,0,0,36,0,1,0,2.0,2109,13.6,0,2018-09-01T14:00:00Z,01 Sep 15:00,0,0,90,0,0,10,0,0,0,0,7,0,4,0,6371,1,0,2,1,1,5.0,2,1732,2512,780,50,True,0,0
0,55,0,0,0,14,0,6,46,1.0,0,0,526,0,0,43,0,3,0,2.5,2646,23.6,0,2018-09-16T15:00:00Z,16 Sep 16:00,0,0,90,0,0,19,0,0,0,0,4,0,5,0,7942,0,0,0,3,1,0.0,1,472,1328,856,50,True,0,0
0,21,0,0,0,8,0,4,15,0.2,1,0,526,0,0,51,1,2,0,1.0,3183,9.6,0,2018-09-23T15:00:00Z,23 Sep 16:00,0,0,90,0,0,1,0,0,0,0,1,0,6,0,7818,0,0,0,0,2,0.0,1,-529,442,971,50,False,0,0
0,44,0,0,2,27,1,7,40,0.1,0,0,526,0,0,65,2,0,0,1.5,3721,11.0,0,2018-09-29T14:00:00Z,29 Sep 15:00,0,0,90,1,0,9,0,0,0,0,6,0,7,0,8615,0,1,1,0,3,4.0,8,270,916,646,50,True,0,0
1,40,0,0,1,24,0,8,35,10.4,0,0,526,0,0,75,1,1,0,6.4,4260,32.0,1,2018-10-06T14:00:00Z,06 Oct 15:00,0,0,90,0,0,11,0,0,0,0,6,0,8,0,10358,0,0,1,2,1,22.0,6,1174,1711,537,50,False,0,0
0,56,0,0,0,25,1,5,51,1.4,0,0,526,0,0,85,3,0,0,2.5,4802,14.0,0,2018-10-21T15:00:00Z,21 Oct 16:00,0,0,90,0,0,7,0,0,0,0,6,0,9,0,14760,0,0,0,0,2,10.0,6,3093,3899,806,50,True,0,0
0,59,0,0,0,13,0,10,51,0.9,0,0,526,0,0,97,1,2,0,2.5,5348,23.6,0,2018-10-28T16:00:00Z,28 Oct 16:00,0,0,90,0,0,14,0,0,0,0,4,0,10,0,15926,2,0,0,1,2,0.0,1,829,1897,1068,50,False,0,0
0,59,0,0,0,14,0,5,52,0.8,0,0,526,0,0,105,0,1,0,2.2,5896,13.0,0,2018-11-03T15:00:00Z,03 Nov 15:00,0,0,90,0,0,3,0,0,0,0,5,0,11,0,18547,1,2,2,1,3,8.0,2,1720,2783,1063,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,526,0,0,113,0,0,0,0.0,6446,0.0,0,2018-11-11T14:15:00Z,11 Nov 14:15,0,0,0,0,0,6,0,0,0,0,0,0,12,0,14520,0,0,0,0,0,0.0,0,-3696,207,3903,50,False,0,0
0,1,0,0,0,3,0,0,0,0.0,0,0,526,0,0,124,0,0,0,0.0,6998,0.0,0,2018-11-24T15:00:00Z,24 Nov 15:00,0,0,1,0,0,5,0,0,0,0,0,0,13,0,15368,0,0,0,0,1,0.0,1,298,1116,818,50,True,0,0
0,1,0,0,0,2,0,0,0,0.0,0,0,526,0,0,137,1,1,0,0.0,7551,0.0,0,2018-12-02T16:15:00Z,02 Dec 16:15,0,0,1,0,0,12,0,0,0,0,0,0,14,0,14770,0,0,0,0,1,0.0,1,-621,192,813,50,False,0,0
0,75,0,0,1,19,0,5,72,11.5,0,0,526,0,0,149,0,1,0,3.4,8107,22.0,1,2018-12-05T19:45:00Z,05 Dec 19:45,0,0,90,0,0,15,0,0,0,0,2,0,15,0,14340,0,2,0,1,1,0.0,3,-563,213,776,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,526,0,0,156,0,0,0,0.0,8665,0.0,0,2018-12-10T20:00:00Z,10 Dec 20:00,0,0,0,0,0,18,0,0,0,0,0,0,16,0,14780,0,0,0,2,2,0.0,0,208,656,448,50,True,0,0
0,31,0,0,0,15,0,6,26,0.8,1,0,526,0,0,166,0,3,0,2.5,9224,24.2,0,2018-12-15T12:30:00Z,15 Dec 12:30,0,0,90,0,0,13,0,0,0,0,4,0,17,0,14304,0,0,0,1,3,0.0,1,-657,368,1025,50,False,0,0
