assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,193,0,0,0.0,0.0,2026-01-03T15:00:00Z,0,False,6,0,0,0,0,0,20,0,0,0,0,0,2,0.0,0,0,0,0,45,False,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,204,0,0,0.0,0.0,2026-01-07T20:15:00Z,0,False,14,0,0,0,0,0,21,0,49,0,0,2,2,0.0,0,28,35,7,45,True,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,215,0,0,0.0,0.0,2026-01-17T15:00:00Z,0,False,12,0,0,0,0,0,22,0,172,0,0,1,1,0.0,0,96,123,27,45,False,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,224,0,0,0.0,0.0,2026-01-24T15:00:00Z,0,False,18,0,0,0,0,0,23,0,159,0,0,2,2,0.0,0,-38,22,60,45,True,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,238,0,0,0.0,0.0,2026-02-02T20:00:00Z,0,False,17,0,0,0,0,0,24,0,171,0,0,0,3,0.0,0,-9,34,43,45,False,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,244,0,0,0.0,0.0,2026-02-07T15:00:00Z,0,False,19,0,0,0,0,0,25,0,217,0,0,2,0,0.0,0,14,47,33,45,True,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,254,0,0,0.0,0.0,2026-02-11T19:40:00Z,0,False,8,0,0,0,0,0,26,0,261,0,0,3,2,0.0,0,19,51,32,45,False,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,263,0,0,0.0,0.0,2026-02-21T15:00:00Z,0,False,7,0,0,0,0,0,27,0,308,0,0,1,1,0.0,0,15,47,32,45,False,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,274,0,0,0.0,0.0,2026-02-28T15:00:00Z,0,False,5,0,0,0,0,0,28,0,320,0,0,4,3,0.0,0,0,26,26,45,True,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,284,0,0,0.0,0.0,2026-03-03T19:30:00Z,0,False,9,0,0,0,0,0,29,0,343,0,0,0,2,0.0,0,3,35,32,45,False,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,293,0,0,0.0,0.0,2026-03-14T15:00:00Z,0,False,4,0,0,0,0,0,30,0,361,0,0,0,0,0.0,0,-7,33,40,45,True,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,305,0,0,0.0,0.0,2026-03-21T15:00:00Z,0,False,10,0,0,0,0,0,31,0,374,0,0,1,3,0.0,0,-2,15,17,45,False,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,313,0,0,0.0,0.0,2026-04-11T14:00:00Z,0,False,6,0,0,0,0,0,32,0,404,0,0,2,0,0.0,0,8,28,20,45,True,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,329,0,0,0.0,0.0,2026-04-19T13:00:00Z,0,False,16,0,0,0,0,0,33,0,425,0,0,1,4,0.0,0,-7,17,24,45,False,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,334,0,0,0.0,0.0,2026-04-22T19:00:00Z,0,False,13,0,0,0,0,0,33,0,425,0,0,1,0,0.0,0,-7,17,24,45,True,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,347,0,0,0.0,0.0,2026-05-01T19:00:00Z,0,False,11,0,0,0,0,0,35,0,436,0,0,1,3,0.0,0,3,13,10,45,False,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,352,0,0,0.0,0.0,2026-05-10T13:00:00Z,0,False,2,0,0,0,0,0,36,0,461,0,0,2,2,0.0,0,3,17,14,45,True,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,361,0,0,0.0,0.0,2026-05-18T19:00:00Z,0,False,1,0,0,0,0,0,37,0,470,0,0,0,1,0.0,0,-4,15,19,45,False,0
0,0,0,0,0,0.0,0,784,0.00,0.00,0.00,0.00,372,0,0,0.0,0.0,2026-05-24T15:00:00Z,0,False,20,0,0,0,0,0,38,0,484,0,0,1,1,0.0,0,2,16,14,45,True,0
