code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id
3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1200,1250,1130,1150,1220,1210,1
7,0,,2,0,Aston Villa,0,0,0,AVL,3,,False,0,1100,1160,1120,1140,1080,1100,2
94,0,,3,0,Brentford,0,0,0,BRE,2,,False,0,1010,1020,1020,1030,1020,1030,130
36,0,,4,0,Brighton,0,0,0,BHA,3,,False,0,1100,1130,1150,1190,1100,1130,131
90,0,,5,0,Burnley,0,0,0,BUR,2,,False,0,1060,1070,1040,1090,1040,1080,43
8,0,,6,0,Chelsea,0,0,0,CHE,4,,False,0,1250,1280,1260,1300,1250,1310,4
31,0,,7,0,Crystal Palace,0,0,0,CRY,3,,False,0,1090,1090,1030,1120,1010,1020,6
11,0,,8,0,Everton,0,0,0,EVE,3,,False,0,1250,1130,1130,1100,1200,1140,7
13,0,,9,0,Leicester,0,0,0,LEI,4,,False,0,1240,1180,1190,1150,1150,1230,26
2,0,,10,0,Leeds,0,0,0,LEE,3,,False,0,1160,1170,1060,1150,1210,1170,9
14,0,,11,0,Liverpool,0,0,0,LIV,4,,False,0,1250,1260,1190,1210,1300,1230,10
43,0,,12,0,Man City,0,0,0,MCI,5,,False,0,1340,1360,1280,1320,1340,1350,11
1,0,,13,0,Man Utd,0,0,0,MUN,4,,False,0,1250,1320,1250,1280,1240,1310,12
4,0,,14,0,Newcastle,0,0,0,NEW,2,,False,0,1050,1070,1050,1060,1030,1110,23
45,0,,15,0,Norwich,0,0,0,NOR,2,,False,0,1020,1030,1030,1040,1020,1030,14
20,0,,16,0,Southampton,0,0,0,SOU,3,,False,0,1060,1100,1030,1110,1110,1160,20
6,0,,17,0,Spurs,0,0,0,TOT,4,,False,0,1190,1250,1130,1170,1250,1290,21
57,0,,18,0,Watford,0,0,0,WAT,2,,False,0,1020,1030,1030,1050,1010,1040,33
21,0,,19,0,West Ham,0,0,0,WHU,4,,False,0,1150,1260,1140,1190,1260,1290,25
39,0,,20,0,Wolves,0,0,0,WOL,3,,False,0,1080,1110,1120,1130,1040,1120,38
