assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,11,625,None,None,11,80201,None,,0,0,0,0,0.0,455,50,None,,0,1,3.6,None,0,Bernd,0.0,37,0,70.3,198,13,1,False,702.2,42,12,3131,,None,50,1,0,None,1,,80201.jpg,3.7,1,86,Leno,2.3,False,None,a,1,3,2.0,333,4,131,0,0,0,0,0.0,26.2,Leno,0
0,0,8,None,None,0,115918,None,,0,0,0,0,0.0,356,19,None,,0,1,2.0,None,0,Rúnar Alex,0.0,0,0,1.7,362,32,2,False,16.6,353,31,15,,None,40,0,0,None,0,,115918.jpg,1.0,0,2,Rúnarsson,1.3,False,None,a,1,3,0.0,348,15,1,0,0,0,0,0.0,0.2,Rúnarsson,0
7,9,306,None,None,3,47431,1,,0,0,0,0,534.8,49,36,2,,0,3,3.2,None,0,Willian,0.0,17,1,102.3,124,71,3,False,256.2,224,96,1398,,None,65,0,0,None,0,,47431.jpg,3.1,0,0,Borges Da Silva,0.3,False,None,a,1,3,228.0,146,85,78,0,0,0,0,0.0,12.0,Willian,0
3,11,358,None,None,10,54694,None,,0,0,0,0,361.5,90,12,None,,0,4,4.2,None,0,Pierre-Emerick,0.0,26,10,167.4,50,18,4,False,493.8,125,18,2330,,None,100,1,0,1,0,,54694.jpg,4.5,0,0,Aubameyang,4.3,False,None,a,1,3,823.0,32,16,131,0,0,0,0,0.0,13.1,Aubameyang,2
1,3,125,None,None,2,58822,None,,0,0,0,0,114.8,209,52,5,,0,2,2.7,None,0,Cédric,0.0,11,0,29.2,295,101,5,False,110.8,299,110,744,,None,45,0,0,None,0,,58822.jpg,2.8,0,0,Soares,0.3,False,None,a,1,3,66.0,265,87,28,0,0,0,0,0.0,6.2,Cédric,1
3,21,452,None,None,7,59966,None,,0,0,0,0,307.4,113,18,3,,0,4,3.7,None,0,Alexandre,0.0,21,13,170.4,48,17,6,False,602.4,64,8,1916,,None,85,0,0,2,0,,59966.jpg,4.2,0,0,Lacazette,4.4,False,None,a,1,3,797.0,36,18,129,0,0,0,0,0.0,15.2,Lacazette,3
2,1,396,None,None,10,84450,None,,0,0,0,0,327.6,102,66,1,,0,3,2.4,None,0,Granit,0.0,27,1,94.0,140,78,7,False,456.0,145,55,2519,,None,50,0,0,None,0,,84450.jpg,2.3,1,0,Xhaka,0.8,False,None,a,1,3,154.0,191,103,70,0,0,0,0,0.0,14.0,Xhaka,7
0,1,182,None,None,4,92371,None,,0,0,0,0,26.4,299,108,None,,0,2,2.7,None,0,Pablo,0.0,8,0,20.6,311,109,8,False,163.2,273,102,900,,None,45,0,0,None,0,,92371.jpg,3.4,0,0,Marí,0.1,False,None,a,1,3,16.0,313,118,34,0,0,0,0,0.0,7.6,Marí,2
3,17,421,None,None,7,98745,None,,0,0,0,0,351.8,96,20,None,,0,2,3.2,None,0,Héctor,0.0,24,1,94.7,139,33,9,False,362.8,181,68,2089,,None,50,0,0,None,0,,98745.jpg,3.8,0,0,Bellerín,1.0,False,None,a,1,3,232.0,145,26,94,0,0,0,0,0.0,18.8,Bellerín,8
3,3,168,None,None,2,101184,None,,0,0,0,0,169.4,174,39,None,,0,2,2.7,None,0,Calum,0.0,10,0,41.9,264,88,10,False,171.8,266,98,751,,None,45,0,0,None,0,,101184.jpg,3.6,0,0,Chambers,0.5,False,None,a,1,3,77.0,260,86,36,0,0,0,0,0.0,8.0,Chambers,0
